,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,Unnamed: 0,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,ID,ID2,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2
48,exeter times advocate weekender,,1.06,335.0,1160.0,10.0,175.0,10.0,2013,0.0,2013.0,Friday,107,82,,1.06,335.0,1160.0,exeter times advocate weekender,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
55,fergus elora news express,,1.21,,294.0,10.0,161.0,10.0,2017,2015.0,2.0,Wednesday,109,83,,1.21,,294.0,fergus elora news express,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
57,forest watford standard guide advocate,1692.5,1.2,,282.0,6.0,210.0,5.0,2018,2016.0,2.0,Thursday,114,87,1692.5,1.2,,282.0,forest watford standard guide advocate,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
58,forest watford standard guide advocate,1466.0,1.2,,282.0,6.0,210.0,5.0,2019,2018.0,1.0,Thursday,114,87,1466.0,1.2,,282.0,forest watford standard guide advocate,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
61,grand bend lakeshore advance,,0.73,,353.0,9.0,160.0,3.0,2018,2015.0,3.0,Wednesday,128,99,,0.73,,353.0,grand bend zurich lakeshore advance,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
107,minto express,,0.97,,1160.0,10.0,161.0,10.0,2017,2015.0,2.0,Wednesday,224,174,,0.97,,1160.0,harriston minto express,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
74,innisfil scope,12533.0,1.4,88.0,176.0,6.0,210.0,5,2014,2013.0,1.0,Wednesday,157,122,12533.0,1.4,88.0,176.0,innisfil scope,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
87,kingston emc,44717.0,1.41,335.0,1160.0,6.0,218.0,5.0,2013,2012.0,1.0,Thursday,174,136,44717.0,1.41,335.0,1160.0,kingston emc,left_only,,Kingston,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
90,kirkland lake northern news this week,,0.82,,294.0,10.0,287.0,10.0,2016,0.0,2016.0,Friday,181,141,,0.82,,294.0,kirkland lake northern news this week,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
91,kirkland lake northern news this week,,0.82,,294.0,10.0,287.0,10.0,2017,0.0,2017.0,Friday,181,141,,0.82,,294.0,kirkland lake northern news this week,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
92,kirkland lake northern news this week,,0.82,,294.0,10.0,287.0,10.0,2018,0.0,2018.0,Friday,181,141,,0.82,,294.0,kirkland lake northern news this week,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
101,leamington southpoint sun,,1.18,,529.0,6.0,204.0,5.0,2018,2016.0,2.0,Wednesday,189,147,,1.18,,529.0,leamington southpoint sun,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
116,mount forest confederate,,0.94,,1160.0,10.0,161.0,10.0,2017,2015.0,2.0,Wednesday,234,181,,0.94,,1160.0,mount forest confederate,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
117,muskoka district weekender,26430.0,2.97,1160.0,1160.0,10.0,161.0,10,2014,2013.0,1.0,Thursday,236,182,26430.0,2.97,1160.0,1160.0,muskoka district weekender,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
126,newmarket era aurora banner,42590.0,3.52,1160.0,1160.0,10.0,301.0,10,2014,2013.0,1.0,Thursday,245,190,42590.0,3.52,1160.0,1160.0,newmarket aurora era banner aurora banner,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
80,kemptville north grenville times,,0.65,412.0,412.0,6.0,217.0,5,2014,0.0,2014.0,Wednesday,166,130,,0.65,412.0,412.0,north grenville times,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
247,toronto north toronto town crier,,3.53,176.0,588.0,6.0,192.0,9.0,2013,2010.0,3.0,Monthly,393,311,,3.53,176.0,588.0,north toronto town crier,both,,,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
130,northumberland today.com,,1.14,118.0,353.0,10.0,301.0,3.0,2015,2013.0,2.0,Friday,259,200,21618.0,1.218,118.0,353.0,northumberland today,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
135,northumberland today.com,,1.14,118.0,353.0,10.0,301.0,3.0,2015,2013.0,2.0,Monday,260,200,21618.0,1.218,118.0,353.0,northumberland today,both,,,,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
138,northumberland today.com,21618.0,1.53,118.0,353.0,10.0,301.0,3.0,2015,2014.0,1.0,Thursday,261,200,21618.0,1.218,118.0,353.0,northumberland today,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
143,northumberland today.com,,1.14,118.0,353.0,10.0,301.0,3.0,2015,2013.0,2.0,Tuesday,262,200,21618.0,1.218,118.0,353.0,northumberland today,both,,,,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
148,northumberland today.com,,1.14,118.0,353.0,10.0,301.0,3.0,2015,2013.0,2.0,Wednesday,263,200,21618.0,1.218,118.0,353.0,northumberland today,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
131,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2016,2014.0,2.0,Friday,259,200,,1.218,,353.0,northumberland today,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
136,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2016,2014.0,2.0,Monday,260,200,,1.218,,353.0,northumberland today,both,,,,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
139,northumberland today.com,,1.53,,353.0,10.0,287.0,10.0,2016,2014.0,2.0,Thursday,261,200,,1.218,,353.0,northumberland today,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
144,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2016,2014.0,2.0,Tuesday,262,200,,1.218,,353.0,northumberland today,both,,,,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
149,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2016,2014.0,2.0,Wednesday,263,200,,1.218,,353.0,northumberland today,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
132,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Friday,259,200,,1.218,,353.0,northumberland today,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
137,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Monday,260,200,,1.218,,353.0,northumberland today,both,,,,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
140,northumberland today.com,,1.53,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Thursday,261,200,,1.218,,353.0,northumberland today,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
145,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Tuesday,262,200,,1.218,,353.0,northumberland today,both,,,,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
150,northumberland today.com,,1.14,,353.0,10.0,287.0,10.0,2017,2015.0,2.0,Wednesday,263,200,,1.218,,353.0,northumberland today,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
152,ottawa community voice south,,2.71,,206.0,6.0,147.0,5.0,2019,0.0,2019.0,Thursday,288,219,,2.71,,206.0,ottawa community voice south,left_only,,Ottawa,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
155,parkhill glencoe gazette transcript free press,,1.2,,282.0,6.0,210.0,5.0,2018,2016.0,2.0,Thursday,297,227,,1.2,,282.0,parkhill glencoe gazette transcript free press,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
156,parkhill glencoe gazette transcript free press,,1.2,,282.0,6.0,210.0,5.0,2019,2017.0,2.0,Thursday,297,227,,1.2,,282.0,parkhill glencoe gazette transcript free press,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
158,petrolia lambton independent,,0.6,,,9.0,192.0,3.0,2017,0.0,2017.0,Thursday,305,234,,0.6,,,petrolia lambton the independent,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
159,petrolia lambton independent,,0.6,,353.0,9.0,192.0,3.0,2018,0.0,2018.0,Thursday,305,234,,0.6,,353.0,petrolia lambton the independent,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
160,petrolia lambton independent,,0.6,,353.0,9.0,192.0,3.0,2019,0.0,2019.0,Thursday,305,234,,0.6,,353.0,petrolia lambton the independent,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
166,port perry uxbridge the standard,12231.0,1.22,100.0,176.0,6.0,196.0,5.0,2013,2012.0,1.0,Thursday,313,242,12231.0,1.22,100.0,176.0,port perry uxbridge the standard,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
167,port perry uxbridge the standard,,1.22,100.0,176.0,6.0,196.0,5,2014,2012.0,2.0,Thursday,313,242,,1.22,100.0,176.0,port perry uxbridge the standard,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
168,red lake northern sun news,,1.28,,294.0,6.0,160.0,5.0,2018,2016.0,2.0,Wednesday,318,247,,1.28,,294.0,red lake northern sun news,both,,,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
169,richmond hill thornhill liberal,83846.0,5.94,,1160.0,10.0,161.0,10.0,2016,2015.0,1.0,Thursday,321,250,83846.0,5.94,,1160.0,richmond hill thornhill the liberal,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
170,richmond hill thornhill liberal,84078.0,5.94,,1160.0,10.0,161.0,10.0,2017,2015.0,2.0,Thursday,321,250,84078.0,5.94,,1160.0,richmond hill thornhill the liberal,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
263,toronto salam toronto,,1.42,,,4.0,203.0,8.0,2018,2015.0,3.0,Thursday,398,316,,1.42,,,salam toronto,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
264,toronto salam toronto,,1.47,,,4.0,203.0,8.0,2019,2016.0,3.0,Thursday,398,316,,1.47,,,salam toronto,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
187,st. lawrence news,28330.0,1.39,335.0,1160.0,6.0,218.0,5.0,2013,2012.0,1.0,Thursday,339,265,28330.0,1.39,335.0,1160.0,snap st. lawrence,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
181,south bruce independent extra,,0.86,,382.0,6.0,217.0,5.0,2017,0.0,2017.0,Thursday,337,263,,0.86,,382.0,south bruce independent extra,left_only,,South Bruce,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
182,south bruce independent extra,,0.86,,382.0,6.0,217.0,5.0,2018,0.0,2018.0,Thursday,337,263,,0.86,,382.0,south bruce independent extra,left_only,,South Bruce,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
183,south bruce independent extra,,0.86,,382.0,6.0,217.0,5.0,2019,0.0,2019.0,Thursday,337,263,,0.86,,382.0,south bruce independent extra,left_only,,South Bruce,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
184,south bruce weekender,,0.86,159.0,382.0,6.0,217.0,5,2014,0.0,2014.0,Thursday,338,264,,0.86,159.0,382.0,south bruce weekender,left_only,,South Bruce,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
185,south bruce weekender,,0.86,159.0,382.0,6.0,217.0,5.0,2015,0.0,2015.0,Thursday,338,264,,0.86,159.0,382.0,south bruce weekender,left_only,,South Bruce,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
186,south bruce weekender,,0.86,,382.0,6.0,217.0,5.0,2016,0.0,2016.0,Thursday,338,264,,0.86,,382.0,south bruce weekender,left_only,,South Bruce,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
191,tillsonburg news,,1.08,,556.0,10.0,287.0,10.0,2018,2015.0,3.0,Friday,369,290,,1.08,,556.0,tillsonburg news,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
192,tillsonburg news,,1.08,,556.0,10.0,287.0,10.0,2019,2015.0,4.0,Friday,369,290,,1.08,,556.0,tillsonburg news,both,,,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
194,toronto aaj kaal,,1.18,118.0,471.0,5.0,220.0,-,2014,0.0,2014.0,Friday,371,292,,1.18,118.0,471.0,toronto aaj kaal,left_only,,Toronto,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
195,toronto aaj kaal,,1.18,235.0,235.0,5.0,220.0,-,2015,0.0,2015.0,Friday,371,292,,1.18,235.0,235.0,toronto aaj kaal,left_only,,Toronto,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
196,toronto bloor west parkdale liberty villager,57907.0,,250.0,,10.0,175.0,,2013,2012.0,1.0,Thursday,372,293,57907.0,,250.0,,toronto bloor west parkdale liberty villager,left_only,,Toronto,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
197,toronto bloor west parkdale neighbourhood voice,39877.0,3.48,,1160.0,10.0,161.0,10.0,2019,2018.0,1.0,Thursday,373,294,39877.0,3.48,,1160.0,toronto bloor west parkdale neighbourhood voice,left_only,,Toronto,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
198,toronto bloor west villager,34154.0,2.9,,1160.0,10.0,161.0,10.0,2017,2016.0,1.0,Thursday,375,296,34154.0,2.9,,1160.0,toronto bloor west villager,both,,,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
199,toronto can india news,,2.17,600.0,600.0,6.0,217.0,5,2014,2012.0,2.0,Friday,376,297,,2.17,600.0,600.0,toronto can india news,left_only,,Toronto,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
200,toronto can india news,,2.24,600.0,600.0,6.0,217.0,5.0,2015,2013.0,2.0,Friday,376,297,,2.24,600.0,600.0,toronto can india news,left_only,,Toronto,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
201,toronto can india news,,2.29,,659.0,6.0,217.0,5.0,2016,2013.0,3.0,Friday,376,297,,2.29,,659.0,toronto can india news,left_only,,Toronto,,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
202,toronto caribbean,,0.65,118.0,118.0,4.0,182.0,8,2014,0.0,2014.0,Wednesday,377,298,,0.65,118.0,118.0,toronto caribbean,left_only,,Toronto,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
203,toronto caribbean,,0.65,118.0,118.0,4.0,182.0,8.0,2015,0.0,2015.0,Wednesday,377,298,,0.65,118.0,118.0,toronto caribbean,left_only,,Toronto,,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
204,toronto city centre mirror,45540.0,4.34,335.0,1160.0,10.0,175.0,10.0,2013,2012.0,1.0,Thursday,378,299,45540.0,4.34,335.0,1160.0,toronto city centre mirror,left_only,,Toronto,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
205,toronto city centre mirror,46701.0,4.74,1160.0,1160.0,10.0,161.0,10,2014,2013.0,1.0,Thursday,378,299,46701.0,4.74,1160.0,1160.0,toronto city centre mirror,left_only,,Toronto,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
206,toronto city centre mirror,47154.0,4.74,1160.0,1160.0,10.0,161.0,10.0,2015,2014.0,1.0,Thursday,378,299,47154.0,4.74,1160.0,1160.0,toronto city centre mirror,left_only,,Toronto,,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
