,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,MarketAndNewspaper,CSDs,ID,Swap2017Affected,first_year,equal_to_previous
20,18.0,Wednesday,T,2017,mitchell,advocate,postmedia network inc.,1745.0,ON,1763.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
21,19.0,Wednesday,T,2018,mitchell,advocate,postmedia network inc.,1552.0,ON,1571.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
22,18.0,Wednesday,T,2019,mitchell,advocate,postmedia network inc.,1446.0,ON,1464.0,postmedia network inc.,"['mitchell ,ON, Canada']",8865.0,8919.0,-0.6,3500.0,3364.0,15.3,579.36,40.3,6985.0,1495.0,2210.0,3285.0,160.0,770.0,6990.0,6795.0,37529.0,8730.0,8255.0,455.0,"[(43.467942, -81.197899)]",advocate,,,,,0.0,mitchell,mitchell advocate,['West Perth'],4,0,2013,False
23,0.0,Thursday,T,2013,strathroy,age dispatch,sun media corporation,2263.0,ON,2263.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",age dispatch,,,,,0.0,strathroy,strathroy age dispatch,['Strathroy-Caradoc'],5,0,2013,False
24,,Thursday,T,2014,strathroy,age dispatch,sun media corporation,1480.0,ON,1480.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",,,,,,0.0,strathroy,strathroy age dispatch,['Strathroy-Caradoc'],5,0,2013,False
25,,Thursday,T,2015,strathroy,age dispatch,sun media corporation,843.0,ON,843.0,sun media corporation,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",,,,,,0.0,strathroy,strathroy age dispatch,['Strathroy-Caradoc'],5,0,2013,False
26,,Thursday,T,2016,strathroy,age dispatch,sun media corporation,,ON,,postmedia network inc.,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",,,,,,0.0,strathroy,strathroy age dispatch,['Strathroy-Caradoc'],5,0,2013,True
27,,Thursday,T,2017,strathroy,age dispatch,postmedia network inc.,,ON,,postmedia network inc.,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",,,,,,0.0,strathroy,strathroy age dispatch,['Strathroy-Caradoc'],5,0,2013,True
28,,Thursday,T,2018,strathroy,age dispatch,postmedia network inc.,,ON,,postmedia network inc.,"['strathroy ,ON, Canada']",20867.0,20978.0,-0.5,8455.0,8294.0,77.1,270.77,42.3,17005.0,4005.0,4995.0,8005.0,215.0,1990.0,17005.0,16430.0,35032.0,20535.0,17940.0,2585.0,"[(42.966146, -81.59100834347846)]",,,,,,0.0,strathroy,strathroy age dispatch,['Strathroy-Caradoc'],5,0,2013,True
29,15150.0,Thursday,T,2019,strathroy&middlesex,age dispatch,postmedia network inc.,0.0,ON,15150.0,postmedia network inc.,"['strathroy ,ON, Canada', 'middlesex ,ON, Canada']",17029.0,16989.0,0.5,6808.5,6609.0,53.75,352.38,42.0,13942.5,2922.5,4055.0,6962.5,227.5,1772.5,13942.5,13475.0,38567.5,16857.5,14957.5,1892.5,"[(42.966146, -81.59100834347846), (42.9791385, -80.9305313)]",,,,,,0.0,strathroy middlesex,strathroy middlesex age dispatch,"['Thames Centre', 'Strathroy-Caradoc']",5,0,2013,False
