AdvNewspaper,Issued,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,MarketAndNewspaper,_merge1,FreeCirculation,EDITION,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,CSDs,ID,ID2,Swap2017Affected,_merge2,first_year,equal_to_previous,EverPaid,EverFree,OpCross2017,OpPost2017
strathroy middlesex age dispatch,Thursday,15150.0,0.99,118.0,352.0,10.0,160.0,10.0,2019,strathroy middlesex age dispatch,both,15150.0,Thursday,T,strathroy&middlesex,age dispatch,postmedia network inc.,0.0,ON,15150.0,postmedia network inc.,"['strathroy ,ON, Canada', 'middlesex ,ON, Canada']",17029.0,16989.0,0.5,6808.5,6609.0,53.75,352.38,42.0,13942.5,2922.5,4055.0,6962.5,227.5,1772.5,13942.5,13475.0,38567.5,16857.5,14957.5,1892.5,"[(42.966146, -81.59100834347846), (42.9791385, -80.9305313)]",age dispatch,,,,,0.0,strathroy middlesex,"['Thames Centre', 'Strathroy-Caradoc']",5.0,5.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
alliston herald,Thursday,22553.0,3.21,335.0,1160.0,10.0,175.0,10.0,2013,alliston herald,both,22127.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22127.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
alliston herald,Thursday,22127.0,3.51,1160.0,1160.0,10.0,161.0,10,2014,alliston herald,both,22266.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22266.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
alliston herald,Thursday,22266.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2015,alliston herald,both,22403.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22403.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
alliston herald,Thursday,22403.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2016,alliston herald,both,22860.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22860.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
alliston herald,Thursday,22860.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2017,alliston herald,both,23199.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,23199.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
alliston herald,Thursday,23199.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2018,alliston herald,both,23229.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,23229.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
alliston herald,Thursday,22890.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2019,alliston herald,both,22879.0,Thursday,T,alliston,alliston herald,metroland media group ltd.,0.0,ON,22879.0,metroland media group ltd.,"['alliston ,ON, Canada']",34242.0,30234.0,13.3,13191.0,12906.0,124.9,274.21,41.8,27900.0,5375.0,9330.0,13190.0,435.0,3935.0,27900.0,26950.0,38281.0,33735.0,28800.0,4835.0,"[(44.1539369, -79.8692321)]",,,,,,0.0,alliston,['New Tecumseth'],6.0,6.0,0.0,both,2013.0,0.0,0.0,1.0,1.0,1.0
burks falls almaguin news,Thursday,2643.0,0.83,335.0,1160.0,10.0,301.0,10.0,2013,burks falls almaguin news,both,86.0,Thursday,B,burks%20falls,almaguin news,metroland media group ltd.,2681.0,ON,2767.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]",almaguin news,,,,,0.0,burks falls,"[""Burk's Falls""]",8.0,7.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
burks falls almaguin news,Thursday,2767.0,0.81,1160.0,1160.0,10.0,301.0,10,2014,burks falls almaguin news,both,145.5,Thursday,B,burks%20falls,almaguin news,metroland media group ltd.,2497.0,ON,2583.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]",almaguin news,,,,,0.0,burks falls,"[""Burk's Falls""]",8.0,7.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
burks falls almaguin news,Thursday,2373.0,0.81,1160.0,1160.0,10.0,301.0,10.0,2015,burks falls almaguin news,both,205.0,Thursday,B,burks%20falls,almaguin news,metroland media group ltd.,2318.0,ON,2523.0,metroland media group ltd.,"['burks falls ,ON, Canada']",981.0,967.0,1.4,510.0,467.0,319.2,3.07,43.0,825.0,280.0,255.0,295.0,20.0,55.0,815.0,785.0,23216.0,980.0,945.0,40.0,"[(45.619853, -79.4118686)]",almaguin news,,,,,0.0,burks falls,"[""Burk's Falls""]",8.0,7.0,0.0,both,2013.0,0.0,1.0,1.0,1.0,1.0
