,EDITION,Year,Market,Newspaper,MarketAndNewspaper,TotalCirculation,Owner
1137,Thursday,2016,muskoka,muskokaregion.com,muskoka muskokaregion.com,26108,metroland media group ltd.
1138,Thursday,2017,muskoka,muskokaregion.com,muskoka muskokaregion.com,25991,metroland media group ltd.
1139,Thursday,2018,muskoka,muskokaregion.com,muskoka muskokaregion.com,25398,metroland media group ltd.
1140,Thursday,2019,muskoka,muskokaregion.com,muskoka muskokaregion.com,25494,metroland media group ltd.
1148,Thursday,2013,napanee,napanee beaver,napanee beaver,15531,napanee beaver ltd.
1149,Thursday,2014,napanee,napanee beaver,napanee beaver,15785,napanee beaver ltd.
1150,Thursday,2015,napanee,napanee beaver,napanee beaver,15752,napanee beaver ltd.
1151,Thursday,2016,napanee,napanee beaver,napanee beaver,15752,napanee beaver ltd.
1152,Thursday,2017,napanee,napanee beaver,napanee beaver,15746,napanee beaver ltd.
1153,Thursday,2018,napanee,napanee beaver,napanee beaver,15786,napanee beaver ltd.
1154,Thursday,2019,napanee,napanee beaver,napanee beaver,15914,napanee beaver ltd.
1155,Thursday,2013,napanee&lennox&addington,napanee guide,napanee guide,14980,sun media corporation
1156,Thursday,2014,napanee&lennox&addington,napanee guide,napanee guide,14948,sun media corporation
1157,Thursday,2015,napanee&lennox&addington,napanee guide,napanee guide,14833,sun media corporation
1158,Thursday,2016,napanee&lennox&addington,napanee guide,napanee guide,14939,sun media corporation
1159,Thursday,2017,napanee&lennox&addington,napanee guide,napanee guide,15022,postmedia network inc.
1160,Thursday,2018,napanee,napanee guide,napanee guide,14992,postmedia network inc.
1161,Thursday,2019,napanee,napanee guide,napanee guide,14992,postmedia network inc.
1162,Thursday,2013,nepean&barrhaven,nepean barrhaven news,nepean barrhaven news,48792,metroland media group ltd.
1163,Thursday,2014,nepean&barrhaven,nepean barrhaven news,nepean barrhaven news,50020,metroland media group ltd.
1164,Thursday,2015,nepean&barrhaven,nepean barrhaven news,nepean barrhaven news,51478,metroland media group ltd.
1165,Thursday,2016,nepean&barrhaven,nepean barrhaven news,nepean barrhaven news,52390,metroland media group ltd.
1166,Thursday,2017,nepean&barrhaven,nepean barrhaven news,nepean barrhaven news,52163,metroland media group ltd.
1169,Wednesday,2013,new%20hamburg,new hamburg independent,new hamburg independent,2377,metroland media group ltd.
1170,Wednesday,2014,new%20hamburg,new hamburg independent,new hamburg independent,2286,metroland media group ltd.
1171,Wednesday,2015,new%20hamburg,new hamburg independent,new hamburg independent,2063,metroland media group ltd.
1172,Wednesday,2016,new%20hamburg,new hamburg independent,new hamburg independent,1985,metroland media group ltd.
1173,Wednesday,2017,new%20hamburg,new hamburg independent,new hamburg independent,1718,metroland media group ltd.
1174,Wednesday,2018,new%20hamburg,new hamburg independent,new hamburg independent,1525,metroland media group ltd.
1175,Wednesday,2019,new%20hamburg,new hamburg independent,new hamburg independent,1327,metroland media group ltd.
2171,Wednesday,2013,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,3500,london publishing corporation
2172,Wednesday,2014,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,3316,london publishing corporation
2173,Wednesday,2015,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,3078,london publishing corporation
2174,Wednesday,2016,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,3159,london publishing corporation
2175,Wednesday,2017,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,2965,london publishing corporation
2176,Wednesday,2018,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,2914,temiskaming printing co. ltd.
2177,Wednesday,2019,new%20liskeard,temiskaming speaker,new liskeard temiskaming speaker,2508,temiskaming printing co. ltd.
2178,Friday,2013,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10266,london publishing corporation
2179,Friday,2014,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10377,london publishing corporation
2180,Friday,2015,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10620,london publishing corporation
2181,Friday,2016,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10507,london publishing corporation
2182,Friday,2017,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10450,london publishing corporation
2183,Friday,2018,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10450,temiskaming printing co. ltd.
2184,Friday,2019,new%20liskeard,temiskaming speakers weekender,new liskeard temiskaming speakers weekender,10435,temiskaming printing co. ltd.
1178,Thursday,2018,beeton&new%20tecumseth,new tecumseh times,new tecumseh times,1077,london publishing corporation
1179,Thursday,2019,beeton&new%20tecumseth,new tecumseh times,new tecumseh times,935,london publishing corporation
1180,Sunday,2013,newmarket&aurora,era banner,newmarket aurora era banner,41077,metroland media group ltd.
1182,Thursday,2013,newmarket&aurora,era banner,newmarket aurora era banner,27237,metroland media group ltd.
1181,Tuesday,2013,newmarket&aurora,era banner,newmarket aurora era banner,49439,metroland media group ltd.
505,Sunday,2014,newmarket&aurora,era banner,newmarket aurora era banner,42102,metroland media group ltd.
504,Thursday,2014,newmarket&aurora,era banner,newmarket aurora era banner,26518,metroland media group ltd.
507,Sunday,2015,newmarket&aurora,era banner,newmarket aurora era banner,58366,metroland media group ltd.
506,Thursday,2015,newmarket&aurora,era banner,newmarket aurora era banner,43528,metroland media group ltd.
509,Sunday,2017,newmarket&aurora,era banner,newmarket aurora era banner,58366,metroland media group ltd.
508,Thursday,2017,newmarket&aurora,era banner,newmarket aurora era banner,15946,metroland media group ltd.
511,Sunday,2018,newmarket&aurora,era banner,newmarket aurora era banner,58366,metroland media group ltd.
510,Thursday,2018,newmarket&aurora,era banner,newmarket aurora era banner,15946,metroland media group ltd.
512,Thursday,2019,newmarket&aurora,era banner,newmarket aurora era banner,42319,metroland media group ltd.
2382,Monthly,2013,newmarket,the month ahead,newmarket the month ahead,62000,the month ahead
2383,Monthly,2014,newmarket,the month ahead,newmarket the month ahead,62000,the month ahead
1252,Thursday,2013,niagara%20on%20the%20lake,niagara advance,niagara advance,7447,sun media corporation
1253,Thursday,2014,niagara%20on%20the%20lake,niagara advance,niagara advance,7610,sun media corporation
1254,Thursday,2015,niagara%20on%20the%20lake,niagara advance,niagara advance,7380,sun media corporation
1255,Thursday,2016,niagara%20on%20the%20lake,niagara advance,niagara advance,7489,sun media corporation
2386,Thursday,2017,niagara%20on%20the%20lake,niagara advance,niagara advance,7759,postmedia network inc.
1260,Thursday,2013,niagara,niagara this week,niagara this week,179700,metroland media group ltd.
1259,Wednesday,2013,niagara,niagara this week,niagara this week,94350,metroland media group ltd.
1262,Thursday,2014,niagara,niagara this week,niagara this week,151925,metroland media group ltd.
1261,Wednesday,2014,niagara,niagara this week,niagara this week,90739,metroland media group ltd.
1263,Thursday,2015,niagara,niagara this week,niagara this week,159755,metroland media group ltd.
1264,Wednesday,2015,niagara,niagara this week,niagara this week,87388,metroland media group ltd.
1266,Thursday,2016,niagara,niagara this week,niagara this week,155941,metroland media group ltd.
1265,Wednesday,2016,niagara,niagara this week,niagara this week,31038,metroland media group ltd.
1267,Thursday,2017,niagara,niagara this week,niagara this week,155941,metroland media group ltd.
1268,Wednesday,2017,niagara,niagara this week,niagara this week,31038,metroland media group ltd.
1269,Thursday,2018,niagara,niagara this week,niagara this week,157386,metroland media group ltd.
1270,Wednesday,2018,niagara,niagara this week,niagara this week,31038,metroland media group ltd.
1271,Thursday,2019,niagara,niagara this week,niagara this week,156690,metroland media group ltd.
1413,Friday,2013,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,6800,metroland media group ltd.
1272,Friday,2014,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,6800,metroland media group ltd.
1273,Friday,2015,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,7310,metroland media group ltd.
1274,Friday,2016,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,7310,metroland media group ltd.
1275,Friday,2017,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,7310,metroland media group ltd.
1276,Friday,2018,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,7310,metroland media group ltd.
1277,Friday,2019,niagara%20on%20the%20lake,niagara this week town crier,niagara this week town crier,5371,metroland media group ltd.
1279,Thursday,2013,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",40768,metroland media group ltd.
1278,Wednesday,2013,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",26928,metroland media group ltd.
1281,Thursday,2014,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",43650,metroland media group ltd.
1280,Wednesday,2014,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",28300,metroland media group ltd.
1283,Thursday,2015,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",159597,metroland media group ltd.
1282,Wednesday,2015,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",88979,metroland media group ltd.
1285,Thursday,2016,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",155941,metroland media group ltd.
1284,Wednesday,2016,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",31038,metroland media group ltd.
1287,Thursday,2017,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",155941,metroland media group ltd.
1286,Wednesday,2017,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",31038,metroland media group ltd.
1289,Thursday,2018,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",155941,metroland media group ltd.
1288,Wednesday,2018,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",31038,metroland media group ltd.
1291,Thursday,2019,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",12050,metroland media group ltd.
1290,Wednesday,2019,fort%20erie,"niagara this week, fort erie post","niagara this week, fort erie post",31038,metroland media group ltd.
589,Tuesday,2014,nipigon&red%20rock,gazette,nipigon red rock gazette,810,lakeshore community publishing
592,Tuesday,2015,nipigon&red%20rock,gazette,nipigon red rock gazette,576,lakeshore community publishing
595,Tuesday,2016,nipigon&red%20rock,gazette,nipigon red rock gazette,513,lakeshore community publishing
598,Tuesday,2017,nipigon&red%20rock,gazette,nipigon red rock gazette,515,lakeshore community publishing
601,Tuesday,2018,nipigon&red%20rock,gazette,nipigon red rock gazette,497,lakeshore community publishing
1299,Tuesday,2013,nipigon&red%20rock,nipigonred rock gazette,nipigonred rock gazette,843,lakeshore community publishing
1300,Tuesday,2019,nipigon&red%20rock,nipigonred rock gazette,nipigonred rock gazette,494,lakeshore community publishing ltd.
1304,Thursday,2014,norfolk,norfolk news,norfolk news,24000,metroland media group ltd.
1305,Thursday,2015,norfolk,norfolk news,norfolk news,26015,metroland media group ltd.
1306,Thursday,2016,norfolk,norfolk news,norfolk news,30318,metroland media group ltd.
1307,Thursday,2017,norfolk,norfolk news,norfolk news,30318,metroland media group ltd.
1301,Thursday,2013,north%20bay,nipissing news,north bay nipissing news,42332,metroland media group ltd.
1302,Thursday,2014,north%20bay,nipissing news,north bay nipissing news,34253,metroland media group ltd.
1303,Thursday,2015,north%20bay,nipissing news,north bay nipissing news,35021,metroland media group ltd.
1313,Thursday,2018,north%20grenville,north grenville times,north grenville times,9500,north grenville times inc.
1314,Thursday,2019,north%20grenville,north grenville times,north grenville times,8851,north grenville times inc.
1332,Monthly,2013,toronto,north toronto post,north toronto post,29774,post city magazines
1333,Monthly,2014,toronto,north toronto post,north toronto post,29641,post city magazines
1334,Monthly,2015,toronto,north toronto post,north toronto post,29566,post city magazines
1335,Monthly,2016,toronto,north toronto post,north toronto post,29566,post city magazines
1336,Monthly,2017,toronto,north toronto post,north toronto post,29566,post city magazines
1337,Monthly,2018,toronto,north toronto post,north toronto post,29566,post city magazines
1338,Monthly,2019,toronto,north toronto post,north toronto post,28733,post city magazines
1339,Monthly,2015,toronto,north toronto town crier,north toronto town crier,21000,streeter publications ltd.
1340,Monthly,2016,toronto,north toronto town crier,north toronto town crier,21000,streeter publications ltd.
1341,Monthly,2017,toronto,north toronto town crier,north toronto town crier,21000,streeter publications ltd.
1342,Monthly,2018,toronto,north toronto town crier,north toronto town crier,21000,streeter publications ltd.
1344,Friday,2013,north%20york,north york mirror,north york mirror,94375,metroland media group ltd.
1343,Thursday,2013,north%20york,north york mirror,north york mirror,94807,metroland media group ltd.
1345,Friday,2014,north%20york,north york mirror,north york mirror,94931,metroland media group ltd.
1346,Thursday,2014,north%20york,north york mirror,north york mirror,95006,metroland media group ltd.
1348,Friday,2015,north%20york,north york mirror,north york mirror,94931,metroland media group ltd.
1347,Thursday,2015,north%20york,north york mirror,north york mirror,100647,metroland media group ltd.
1349,Friday,2016,north%20york,north york mirror,north york mirror,94931,metroland media group ltd.
1350,Thursday,2016,north%20york,north york mirror,north york mirror,96965,metroland media group ltd.
1351,Friday,2017,north%20york,north york mirror,north york mirror,94931,metroland media group ltd.
1352,Thursday,2017,north%20york,north york mirror,north york mirror,96965,metroland media group ltd.
1353,Friday,2018,north%20york,north york mirror,north york mirror,94931,metroland media group ltd.
1354,Thursday,2018,north%20york,north york mirror,north york mirror,96965,metroland media group ltd.
1355,Thursday,2019,north%20york,north york mirror,north york mirror,90856,metroland media group ltd.
1403,Thursday,2013,northumberland&cobourg&port%20hope&colborne,northumberlandtoday.com,northumberland cobourg port hope colborne northumberlandtoday.com,16778,sun media corporation
1404,Weekday,2013,northumberland&cobourg&port%20hope&colborne,northumberlandtoday.com,northumberland cobourg port hope colborne northumberlandtoday.com,3632,sun media corporation
1405,Thursday,2014,northumberland&cobourg&port%20hope&colborne,northumberlandtoday.com,northumberland cobourg port hope colborne northumberlandtoday.com,18450,sun media corporation
1406,Weekday,2014,northumberland&cobourg&port%20hope&colborne,northumberlandtoday.com,northumberland cobourg port hope colborne northumberlandtoday.com,3168,sun media corporation
1407,Wednesday,2013,norwich,gazette,norwich gazette,899,sun media corporation
590,Wednesday,2014,norwich,gazette,norwich gazette,822,sun media corporation
593,Wednesday,2015,norwich,gazette,norwich gazette,758,sun media corporation
596,Wednesday,2016,norwich,gazette,norwich gazette,713,sun media corporation
599,Wednesday,2017,norwich,gazette,norwich gazette,713,postmedia network inc.
602,Wednesday,2018,norwich,gazette,norwich gazette,713,postmedia network inc.
1416,Friday,2013,oakville,beaver,oakville beaver,50680,metroland media group ltd.
1415,Thursday,2013,oakville,beaver,oakville beaver,50685,metroland media group ltd.
1414,Wednesday,2013,oakville,beaver,oakville beaver,50687,metroland media group ltd.
132,Friday,2014,oakville,beaver,oakville beaver,52064,metroland media group ltd.
134,Thursday,2014,oakville,beaver,oakville beaver,52082,metroland media group ltd.
133,Wednesday,2014,oakville,beaver,oakville beaver,52059,metroland media group ltd.
135,Friday,2015,oakville,beaver,oakville beaver,51764,metroland media group ltd.
136,Thursday,2015,oakville,beaver,oakville beaver,51797,metroland media group ltd.
137,Wednesday,2015,oakville,beaver,oakville beaver,44091,metroland media group ltd.
139,Friday,2016,oakville,beaver,oakville beaver,51787,metroland media group ltd.
140,Thursday,2016,oakville,beaver,oakville beaver,51787,metroland media group ltd.
138,Wednesday,2016,oakville,beaver,oakville beaver,44091,metroland media group ltd.
141,Friday,2017,oakville,beaver,oakville beaver,51787,metroland media group ltd.
143,Thursday,2017,oakville,beaver,oakville beaver,51787,metroland media group ltd.
142,Wednesday,2017,oakville,beaver,oakville beaver,44091,metroland media group ltd.
2231,Thursday,2018,oakville,beaver,oakville beaver,51787,metroland media group ltd.
2232,Thursday,2019,oakville,beaver,oakville beaver,53365,metroland media group ltd.
1417,Thursday,2013,oakville,oakville today,oakville today,28000,metroland media group ltd.
2584,Wednesday,2013,ohsweken,turtle island news,ohsweken turtle island news,5000,lynda powless
2585,Wednesday,2014,ohsweken,turtle island news,ohsweken turtle island news,5000,lynda powless
2586,Wednesday,2015,ohsweken,turtle island news,ohsweken turtle island news,5000,lynda powless
2587,Wednesday,2016,ohsweken,turtle island news,ohsweken turtle island news,5000,lynda powless
2588,Wednesday,2017,ohsweken,turtle island news,ohsweken turtle island news,20000,lynda powless
2589,Wednesday,2018,ohsweken,turtle island news,ohsweken turtle island news,5000,turtle island news publications
2590,Wednesday,2019,ohsweken,turtle island news,ohsweken turtle island news,5000,turtle island news publications
1432,Thursday,2013,orangeville,orangeville banner,orangeville banner,23280,metroland media group ltd.
1431,Tuesday,2013,orangeville,orangeville banner,orangeville banner,19076,metroland media group ltd.
1433,Thursday,2018,orangeville,orangeville banner,orangeville banner,23381,metroland media group ltd.
1434,Tuesday,2018,orangeville,orangeville banner,orangeville banner,19101,metroland media group ltd.
1435,Thursday,2019,orangeville,orangeville banner,orangeville banner,21881,metroland media group ltd.
1436,Thursday,2013,orangeville,orangeville citizen,orangeville citizen,17838,london publishing corporation
1437,Thursday,2014,orangeville,orangeville citizen,orangeville citizen,17343,london publishing corporation
1438,Thursday,2015,orangeville,orangeville citizen,orangeville citizen,17954,london publishing corporation
1439,Thursday,2016,orangeville,orangeville citizen,orangeville citizen,17967,london publishing corporation
1440,Thursday,2017,orangeville,orangeville citizen,orangeville citizen,18467,london publishing corporation
1441,Thursday,2018,orangeville,orangeville citizen,orangeville citizen,18334,london publishing corporation
1442,Thursday,2019,orangeville,orangeville citizen,orangeville citizen,18334,london publishing corporation
2217,Thursday,2014,orangeville,the banner,orangeville the banner,23261,metroland media group ltd.
2216,Tuesday,2014,orangeville,the banner,orangeville the banner,19143,metroland media group ltd.
2219,Thursday,2015,orangeville,the banner,orangeville the banner,23356,metroland media group ltd.
2218,Tuesday,2015,orangeville,the banner,orangeville the banner,17694,metroland media group ltd.
2220,Thursday,2016,orangeville,the banner,orangeville the banner,23381,metroland media group ltd.
2221,Tuesday,2016,orangeville,the banner,orangeville the banner,19101,metroland media group ltd.
2223,Thursday,2017,orangeville,the banner,orangeville the banner,23381,metroland media group ltd.
2222,Tuesday,2017,orangeville,the banner,orangeville the banner,19101,metroland media group ltd.
1443,Thursday,2013,orillia,orillia today,orillia today,23986,metroland media group ltd.
1444,Thursday,2014,orillia,orillia today,orillia today,24143,metroland media group ltd.
1445,Thursday,2015,orillia,orillia today,orillia today,24347,metroland media group ltd.
1446,Thursday,2016,orillia,orillia today,orillia today,24297,metroland media group ltd.
1447,Thursday,2017,orillia,orillia today,orillia today,24509,metroland media group ltd.
1448,Thursday,2018,orillia,orillia today,orillia today,24506,metroland media group ltd.
1449,Thursday,2019,orillia,orillia today,orillia today,24405,metroland media group ltd.
1450,Thursday,2013,orleans,orleans news,orleans news,48837,metroland media group ltd.
1451,Thursday,2014,orleans,orleans news,orleans news,45358,metroland media group ltd.
1452,Thursday,2015,orleans,orleans news,orleans news,42898,metroland media group ltd.
1453,Thursday,2016,orleans,orleans news,orleans news,43271,metroland media group ltd.
1454,Thursday,2017,orleans,orleans news,orleans news,43725,metroland media group ltd.
1455,Thursday,2013,orleans,orleans star,orleans star,42877,tc.transcontinental
1456,Thursday,2014,orleans,orleans star,orleans star,39980,tc.transcontinental
1457,Thursday,2015,orleans,orleans star,orleans star,40000,tc.transcontinental
1458,Thursday,2016,orleans,orleans star,orleans star,40000,tc.transcontinental
1459,Thursday,2017,orleans,orleans star,orleans star,40000,tc.transcontinental
1460,Thursday,2018,orleans,orleans star,orleans star,40000,sherwin publishing inc.
1461,Thursday,2019,orleans,orleans star,orleans star,40000,sherwin publishing inc.
1462,Wednesday,2013,orono,orono weekly times,orono weekly times,1008,orono weekly times
2668,Wednesday,2014,orono,weekly times,orono weekly times,939,orono weekly times
2669,Wednesday,2015,orono,weekly times,orono weekly times,926,orono weekly times
2670,Wednesday,2016,orono,weekly times,orono weekly times,1055,orono weekly times
2671,Wednesday,2017,orono,weekly times,orono weekly times,1000,orono weekly times
2672,Wednesday,2018,orono,weekly times,orono weekly times,909,orono weekly times
1463,Wednesday,2019,orono,orono weekly times,orono weekly times,984,orono weekly times
1464,Wednesday,2013,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
2387,Wednesday,2014,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
2388,Wednesday,2015,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
2389,Wednesday,2016,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
2390,Wednesday,2017,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
2391,Wednesday,2018,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
2392,Wednesday,2019,oshawa,oshawa express,oshawa express,35000,dowellman publishing corp
1467,Friday,2013,oshawa,oshawa this week,oshawa this week,98621,metroland media group ltd.
1466,Thursday,2013,oshawa,oshawa this week,oshawa this week,118255,metroland media group ltd.
1465,Wednesday,2013,oshawa,oshawa this week,oshawa this week,106684,metroland media group ltd.
1470,Friday,2014,oshawa,oshawa this week,oshawa this week,39750,metroland media group ltd.
1468,Thursday,2014,oshawa,oshawa this week,oshawa this week,40629,metroland media group ltd.
1469,Wednesday,2014,oshawa,oshawa this week,oshawa this week,40617,metroland media group ltd.
1471,Friday,2015,oshawa,oshawa this week,oshawa this week,79140,metroland media group ltd.
1473,Thursday,2015,oshawa,oshawa this week,oshawa this week,117808,metroland media group ltd.
1472,Wednesday,2015,oshawa,oshawa this week,oshawa this week,105872,metroland media group ltd.
1475,Friday,2016,oshawa,oshawa this week,oshawa this week,79140,metroland media group ltd.
1474,Thursday,2016,oshawa,oshawa this week,oshawa this week,116070,metroland media group ltd.
1476,Wednesday,2016,oshawa,oshawa this week,oshawa this week,104266,metroland media group ltd.
1479,Friday,2017,oshawa,oshawa this week,oshawa this week,79140,metroland media group ltd.
1477,Thursday,2017,oshawa,oshawa this week,oshawa this week,116070,metroland media group ltd.
1478,Wednesday,2017,oshawa,oshawa this week,oshawa this week,104266,metroland media group ltd.
1480,Friday,2018,oshawa,oshawa this week,oshawa this week,79140,metroland media group ltd.
1482,Thursday,2018,oshawa,oshawa this week,oshawa this week,116070,metroland media group ltd.
1481,Wednesday,2018,oshawa,oshawa this week,oshawa this week,104266,metroland media group ltd.
1483,Thursday,2019,oshawa,oshawa this week,oshawa this week,112921,metroland media group ltd.
1484,Wednesday,2019,oshawa,oshawa this week,oshawa this week,101651,metroland media group ltd.
1485,Thursday,2018,ottawa,"ottawa community voice, alta vistacanterbury","ottawa community voice, alta vistacanterbury",16762,ottawa community voice publishing company inc.
1486,Thursday,2018,ottawa,"ottawa community voice, greenborosouth keys","ottawa community voice, greenborosouth keys",17528,ottawa community voice publishing company inc.
1487,Thursday,2018,ottawa,"ottawa community voice, hunt clubriverside park","ottawa community voice, hunt clubriverside park",8756,ottawa community voice publishing company inc.
1488,Thursday,2018,ottawa,"ottawa community voice, kanatastittsville","ottawa community voice, kanatastittsville",41396,ottawa community voice publishing company inc.
1489,Thursday,2019,ottawa,"ottawa community voice, kanatastittsville","ottawa community voice, kanatastittsville",46230,ottawa community voice publishing company inc.
1490,Thursday,2019,ottawa,"ottawa community voice, west carleton","ottawa community voice, west carleton",10450,ottawa community voice publishing company inc.
1491,Thursday,2013,ottawa,ottawa east news,ottawa east news,40314,metroland media group ltd.
1492,Thursday,2014,ottawa,ottawa east news,ottawa east news,33313,metroland media group ltd.
1493,Thursday,2015,ottawa,ottawa east news,ottawa east news,36484,metroland media group ltd.
1494,Thursday,2016,ottawa,ottawa east news,ottawa east news,36056,metroland media group ltd.
1495,Thursday,2017,ottawa,ottawa east news,ottawa east news,36007,metroland media group ltd.
1496,Wednesday,2013,ottawa,embassy,ottawa embassy,9921,hill times publishing inc.
483,Wednesday,2014,ottawa,embassy,ottawa embassy,9725,hill times publishing inc.
484,Wednesday,2015,ottawa,embassy,ottawa embassy,10913,hill times publishing inc.
485,Wednesday,2016,ottawa,embassy,ottawa embassy,10932,hill times publishing inc.
550,Thursday,2013,ottawa,express dottawa l,ottawa express dottawa l,11085,tc.transcontinental
551,Thursday,2014,ottawa,express dottawa l,ottawa express dottawa l,10625,tc.transcontinental
552,Thursday,2015,ottawa,express dottawa l,ottawa express dottawa l,11600,tc.transcontinental
553,Thursday,2016,ottawa,express dottawa l,ottawa express dottawa l,11600,tc.transcontinental
719,Monday,2013,ottawa,hill times,ottawa hill times,10640,hill times publishing inc.
720,Monday,2014,ottawa,hill times,ottawa hill times,10363,hill times publishing inc.
721,Monday,2015,ottawa,hill times,ottawa hill times,11983,hill times publishing inc.
722,Monday,2016,ottawa,hill times,ottawa hill times,13169,hill times publishing inc.
724,Monday,2017,ottawa,hill times,ottawa hill times,13169,hill times publishing inc.
723,Wednesday,2017,ottawa,hill times,ottawa hill times,10932,hill times publishing inc.
725,Monday,2018,ottawa,hill times,ottawa hill times,14732,hill times publishing inc.
726,Wednesday,2018,ottawa,hill times,ottawa hill times,14252,hill times publishing inc.
728,Monday,2019,ottawa,hill times,ottawa hill times,14874,hill times publishing inc.
727,Wednesday,2019,ottawa,hill times,ottawa hill times,15196,hill times publishing inc.
1497,Thursday,2013,ottawa,ottawa south news,ottawa south news,40737,metroland media group ltd.
1498,Thursday,2014,ottawa,ottawa south news,ottawa south news,41565,metroland media group ltd.
1499,Thursday,2015,ottawa,ottawa south news,ottawa south news,42150,metroland media group ltd.
1500,Thursday,2016,ottawa,ottawa south news,ottawa south news,41427,metroland media group ltd.
1501,Thursday,2017,ottawa,ottawa south news,ottawa south news,47494,metroland media group ltd.
1502,Thursday,2013,ottawa,ottawa west news,ottawa west news,35681,metroland media group ltd.
1503,Thursday,2014,ottawa,ottawa west news,ottawa west news,35389,metroland media group ltd.
1504,Thursday,2015,ottawa,ottawa west news,ottawa west news,35107,metroland media group ltd.
1505,Thursday,2016,ottawa,ottawa west news,ottawa west news,35081,metroland media group ltd.
1506,Thursday,2017,ottawa,ottawa west news,ottawa west news,34981,metroland media group ltd.
1507,Thursday,2016,london,our london,our london,129642,metroland media group ltd.
1508,Thursday,2017,london,our london,our london,129642,metroland media group ltd.
1308,Thursday,2013,oxford%20mills,north grenville times,oxford mills north grenville times,5000,
1309,Thursday,2014,oxford%20mills,north grenville times,oxford mills north grenville times,5000,north grenville times inc.
1310,Thursday,2015,oxford%20mills,north grenville times,oxford mills north grenville times,5000,north grenville times inc.
1311,Thursday,2016,oxford%20mills,north grenville times,oxford mills north grenville times,5000,north grenville times inc.
1312,Thursday,2017,oxford%20mills,north grenville times,oxford mills north grenville times,5000,north grenville times inc.
1509,Wednesday,2013,paris,star,paris star,775,sun media corporation
2122,Wednesday,2014,paris,star,paris star,775,sun media corporation
2123,Thursday,2015,paris,star,paris star,4928,sun media corporation
2124,Thursday,2016,paris,star,paris star,4885,sun media corporation
2125,Thursday,2017,paris,star,paris star,4910,postmedia network inc.
2126,Thursday,2018,paris,star,paris star,4894,postmedia network inc.
2127,Thursday,2019,paris,star,paris star,4894,postmedia network inc.
1514,Thursday,2013,parkhill,gazette,parkhill gazette,928,hayter-walden publications inc.
2284,Thursday,2014,parkhill,gazette,parkhill gazette,890,hayter-walden publications inc.
2285,Thursday,2015,parkhill,gazette,parkhill gazette,706,hayter-walden publications inc.
605,Thursday,2018,parkhill,gazette transcript  free press,parkhill gazette transcript free press,992,hayter-walden publications inc.
603,Thursday,2016,parkhill&glencoe,gazette transcript  free press,parkhill glencoe gazette transcript free press,1702,
604,Thursday,2017,parkhill&glencoe,gazette transcript  free press,parkhill glencoe gazette transcript free press,1183,hayter-walden publications inc.
1515,Friday,2013,parry%20sound,parry sound beacon star,parry sound beacon star,7971,metroland media group ltd.
128,Friday,2014,parry%20sound,beacon star,parry sound beacon star,7706,metroland media group ltd.
129,Friday,2015,parry%20sound,beacon star,parry sound beacon star,7604,metroland media group ltd.
130,Friday,2016,parry%20sound,beacon star,parry sound beacon star,7433,metroland media group ltd.
131,Friday,2017,parry%20sound,beacon star,parry sound beacon star,7328,metroland media group ltd.
