,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,ID,ID2
18,alexandria glengarry news,4516.0,0.85,,694.0,8.0,295.0,5.0,2017,2015,2,Wednesday,3,2
19,alexandria glengarry news,4420.0,0.92,,694.0,8.0,295.0,5.0,2018,2017,1,Wednesday,3,2
20,alexandria glengarry news,4039.0,0.92,,694.0,8.0,295.0,5.0,2019,2018,1,Wednesday,3,2
21,alliston herald,22553.0,3.21,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,4,3
22,alliston herald,22127.0,3.51,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,4,3
23,alliston herald,22266.0,3.51,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,4,3
24,alliston herald,22403.0,3.51,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,4,3
25,alliston herald,22860.0,3.51,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,4,3
26,alliston herald,23199.0,3.51,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,4,3
27,alliston herald,22890.0,3.51,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,4,3
28,amherstburg river town times,8986.0,0.77,88.0,382.0,6.0,210.0,5.0,2013,2012,1,Wednesday,5,4
29,amherstburg river town times,8985.0,0.79,88.0,382.0,6.0,210.0,5,2014,2013,1,Wednesday,5,4
30,amherstburg river town times,9177.0,0.79,88.0,382.0,6.0,210.0,5.0,2015,2014,1,Wednesday,5,4
31,amherstburg river town times,9185.0,0.79,,382.0,6.0,210.0,5.0,2016,2015,1,Wednesday,5,4
32,amherstburg river town times,9232.5,0.79,,382.0,6.0,210.0,5.0,2017,2015,2,Wednesday,5,4
33,amherstburg river town times,9280.0,0.79,,382.0,6.0,210.0,5.0,2018,2017,1,Wednesday,5,4
34,amherstburg river town times,9442.0,0.79,,382.0,6.0,210.0,5.0,2019,2018,1,Wednesday,5,4
35,ancaster news,12817.0,1.7,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,6,5
36,ancaster news,12872.0,1.85,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Thursday,6,5
37,ancaster news,12927.0,1.85,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,6,5
38,ancaster news,12712.0,1.85,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,6,5
39,ancaster news,12876.0,1.85,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,6,5
40,ancaster news,13040.0,1.85,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,6,5
41,ancaster news,13075.0,1.85,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,6,5
42,arnprior chronicle guide,7607.0,1.06,335.0,1160.0,6.0,218.0,5.0,2013,2012,1,Thursday,7,6
43,arnprior chronicle guide,7740.0,0.74,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,7,6
44,arnprior chronicle guide,7873.0,0.87,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,7,6
45,arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,7,6
46,arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,7,6
47,arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,7,6
48,arnprior chronicle guide,,0.87,,1160.0,10.0,161.0,10.0,2019,2017,2,Thursday,7,6
49,arthur enterprise news,575.0,0.86,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Friday,8,7
50,arthur enterprise news,,0.93,1160.0,1160.0,10.0,161.0,10,2014,2012,2,Wednesday,9,7
51,arthur enterprise news,355.0,0.93,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Wednesday,9,7
52,arthur enterprise news,,0.93,,1160.0,10.0,161.0,10.0,2016,2014,2,Wednesday,9,7
53,arthur enterprise news,,0.93,,1160.0,10.0,161.0,10.0,2017,2015,2,Wednesday,9,7
54,atikokan progress,1391.0,0.79,165.0,471.0,5.0,210.0,4.0,2013,2012,1,Monday,10,8
55,atikokan progress,1350.0,0.82,165.0,471.0,5.0,210.0,4,2014,2013,1,Monday,10,8
56,atikokan progress,1260.0,0.86,165.0,471.0,5.0,210.0,4.0,2015,2014,1,Monday,10,8
57,atikokan progress,1193.0,0.86,,471.0,5.0,210.0,4.0,2016,2015,1,Monday,10,8
58,atikokan progress,1113.0,0.88,,471.0,5.0,210.0,4.0,2017,2016,1,Monday,10,8
59,atikokan progress,1081.0,0.88,,471.0,5.0,210.0,4.0,2018,2017,1,Monday,10,8
60,atikokan progress,1041.0,0.88,,471.0,5.0,210.0,4.0,2019,2018,1,Monday,10,8
61,aurora the auroran,,0.57,88.0,176.0,8.0,301.0,,2014,2012,2,Thursday,11,9
62,aurora the auroran,19427.0,0.57,88.0,176.0,8.0,301.0,,2015,2014,1,Thursday,11,9
63,aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2016,2014,2,Thursday,11,9
64,aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2017,2015,2,Thursday,11,9
65,aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2018,2015,3,Thursday,11,9
66,aurora the auroran,,0.57,,176.0,8.0,301.0,9.0,2019,2015,4,Thursday,11,9
67,aurora the auroran,19284.0,1.24,88.0,194.0,6.0,220.0,5.0,2013,2012,1,Tuesday,12,9
68,aylmer express,3516.0,0.75,118.0,294.0,8.0,294.0,2.0,2013,2012,1,Wednesday,13,10
69,aylmer express,3376.0,0.77,118.0,294.0,8.0,294.0,2,2014,2013,1,Wednesday,13,10
70,aylmer express,,0.78,118.0,294.0,8.0,294.0,2.0,2015,2013,2,Wednesday,13,10
71,aylmer express,,0.79,,294.0,8.0,294.0,2.0,2016,2013,3,Wednesday,13,10
72,aylmer express,,0.8,,294.0,8.0,294.0,2.0,2017,2014,3,Wednesday,13,10
73,aylmer express,,0.81,,294.0,8.0,294.0,2.0,2018,2016,2,Wednesday,13,10
74,aylmer express,,0.81,,294.0,8.0,294.0,2.0,2019,2016,3,Wednesday,13,10
75,ayr news,3204.0,0.77,118.0,412.0,6.0,294.0,1.0,2013,2012,1,Wednesday,14,11
76,ayr news,3209.0,0.77,118.0,412.0,6.0,294.0,1,2014,2013,1,Wednesday,14,11
77,ayr news,3099.0,0.77,118.0,412.0,6.0,294.0,1.0,2015,2014,1,Wednesday,14,11
78,ayr news,3082.0,0.77,,412.0,6.0,294.0,1.0,2016,2015,1,Wednesday,14,11
79,ayr news,2978.5,1.4,,412.0,5.0,193.0,4.0,2017,2015,2,Wednesday,14,11
80,ayr news,2875.0,1.4,,412.0,5.0,193.0,4.0,2018,2017,1,Wednesday,14,11
81,ayr news,2747.0,1.4,,412.0,5.0,193.0,4.0,2019,2018,1,Wednesday,14,11
82,bancroft this week,7429.0,0.97,176.0,176.0,9.0,157.0,3.0,2013,2012,1,Friday,15,12
83,bancroft this week,,0.97,176.0,176.0,9.0,160.0,3,2014,2012,2,Friday,15,12
84,bancroft this week,,0.82,176.0,176.0,9.0,189.0,3.0,2015,2013,2,Friday,15,12
85,bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2016,2014,2,Friday,15,12
86,bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2017,2015,2,Friday,15,12
87,bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2018,2015,3,Friday,15,12
88,bancroft this week,,0.82,,235.0,9.0,189.0,3.0,2019,2015,4,Friday,15,12
89,bancroft times,3840.0,0.66,188.0,565.0,6.0,294.0,1.0,2013,2012,1,Thursday,16,13
90,bancroft times,3485.5,0.66,188.0,565.0,6.0,294.0,1,2014,2012,2,Thursday,16,13
91,bancroft times,3131.0,0.66,188.0,565.0,6.0,294.0,1.0,2015,2014,1,Thursday,16,13
92,bancroft times,,0.66,,565.0,6.0,294.0,1.0,2016,2014,2,Thursday,16,13
93,bancroft times,,0.66,,565.0,6.0,294.0,1.0,2017,2015,2,Thursday,16,13
94,bancroft times,,0.66,,565.0,6.0,294.0,1.0,2018,2016,2,Thursday,16,13
95,bancroft times,,0.54,,176.0,8.0,301.0,9.0,2019,2017,2,Wednesday,17,13
96,barrhaven independent,,0.65,176.0,353.0,6.0,220.0,5.0,2015,0,2015,Friday,18,14
97,barrhaven independent,,0.75,,353.0,6.0,220.0,5.0,2016,0,2016,Friday,18,14
98,barrhaven independent,,0.85,,353.0,6.0,220.0,5.0,2017,0,2017,Friday,18,14
99,barrhaven independent,,1.11,,353.0,6.0,168.0,5.0,2018,2016,2,Friday,18,14
100,barrhaven independent,,1.11,,353.0,6.0,168.0,5.0,2019,2016,3,Friday,18,14
101,barrie advance,52243.0,3.41,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,19,15
102,barrie advance,52221.0,3.72,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,19,15
103,barrie advance,52359.0,3.72,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,19,15
104,barrie advance,52317.0,3.72,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,19,15
105,barrie advance,52759.0,3.72,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,19,15
106,barrie advance,52277.0,3.72,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,19,15
107,barrie advance,51148.0,3.72,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,19,15
108,barrie advance,52243.0,3.41,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Tuesday,20,15
109,barrie advance,52221.0,3.72,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Tuesday,20,15
110,barrie advance innisfil journal,62969.0,4.37,670.0,2320.0,10.0,175.0,10.0,2013,2012,1,Thursday,21,16
111,barrie advance innisfil journal,63163.0,4.77,2320.0,2320.0,10.0,161.0,10,2014,2012,2,Thursday,21,16
112,barrie advance innisfil journal,63357.0,4.77,2320.0,2320.0,10.0,161.0,10.0,2015,2014,1,Thursday,21,16
113,barrie advance innisfil journal,63693.0,4.77,,2320.0,10.0,161.0,10.0,2016,2015,1,Thursday,21,16
114,barrie advance innisfil journal,64420.0,4.77,,2320.0,10.0,161.0,10.0,2017,2016,1,Thursday,21,16
115,barrie advance innisfil journal,64125.0,4.77,,2320.0,10.0,161.0,10.0,2018,2017,1,Thursday,21,16
116,barrie advance innisfil journal,62997.0,4.77,,2320.0,10.0,161.0,10.0,2019,2018,1,Thursday,21,16
117,barrys bay the valley gazette,1174.0,0.73,118.0,176.0,6.0,217.0,5.0,2013,2012,1,Wednesday,22,17
118,barrys bay the valley gazette,1308.0,0.73,118.0,176.0,6.0,217.0,5,2014,2013,1,Wednesday,22,17
119,barrys bay the valley gazette,1468.5,0.79,176.0,176.0,6.0,217.0,5.0,2015,2013,2,Wednesday,22,17
120,barrys bay the valley gazette,1629.0,0.81,,176.0,6.0,217.0,5.0,2016,2015,1,Wednesday,22,17
121,barrys bay the valley gazette,1633.5,0.85,,176.0,6.0,217.0,5.0,2017,2015,2,Wednesday,22,17
122,barrys bay the valley gazette,1638.0,0.86,,176.0,6.0,217.0,5.0,2018,2017,1,Wednesday,22,17
123,barrys bay the valley gazette,1526.0,0.88,,176.0,6.0,217.0,5.0,2019,2018,1,Wednesday,22,17
124,barrys bay this week,1291.0,0.8,171.0,235.0,9.0,158.0,3.0,2013,2012,1,Wednesday,23,18
125,barrys bay this week,,0.8,171.0,235.0,9.0,158.0,3,2014,2012,2,Wednesday,23,18
126,beeton new tecumseth times,2092.0,1.02,158.0,473.0,6.0,210.0,5.0,2013,2012,1,Thursday,24,19
127,beeton new tecumseth times,1853.0,1.02,88.0,176.0,6.0,210.0,5,2014,2013,1,Thursday,24,19
128,beeton new tecumseth times,1409.0,1.02,88.0,176.0,6.0,210.0,5.0,2015,2014,1,Thursday,24,19
129,beeton new tecumseth times,,1.02,,176.0,6.0,210.0,5.0,2016,2014,2,Thursday,24,19
130,beeton new tecumseth times,,1.02,,176.0,6.0,210.0,5.0,2017,2015,2,Thursday,24,19
131,beeton new tecumseth times,,1.02,,176.0,6.0,210.0,5.0,2018,2015,3,Thursday,24,19
132,beeton new tecumseth times,,0.84,,176.0,6.0,210.0,5.0,2019,2016,3,Thursday,24,19
133,belle river lakeshore news,9429.0,0.91,129.0,388.0,6.0,204.0,5.0,2013,2012,1,Thursday,25,20
134,belle river lakeshore news,9407.0,0.91,129.0,388.0,6.0,204.0,5,2014,2012,2,Thursday,25,20
135,belle river lakeshore news,9385.0,0.95,136.0,408.0,6.0,204.0,5.0,2015,2014,1,Thursday,25,20
136,belle river lakeshore news,,0.95,,408.0,6.0,204.0,5.0,2016,2014,2,Thursday,25,20
137,belle river lakeshore news,,1.0,,428.0,6.0,204.0,5.0,2017,2015,2,Thursday,25,20
138,belle river lakeshore news,,1.09,,428.0,6.0,204.0,5.0,2018,2016,2,Thursday,25,20
139,belle river lakeshore news,,1.09,,428.0,6.0,287.0,5.0,2019,2016,3,Thursday,25,20
140,belleville news,23146.0,1.47,335.0,1160.0,6.0,218.0,5.0,2013,2012,1,Thursday,26,21
141,belleville news,,1.28,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,26,21
142,belleville news,,1.51,1160.0,1160.0,10.0,161.0,10.0,2015,2013,2,Thursday,26,21
143,belleville news,,1.51,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,26,21
144,belleville news,,1.51,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,26,21
145,belleville region the community press,45279.0,2.12,276.0,553.0,9.0,160.0,3.0,2013,2012,1,Thursday,27,22
146,belleville region the community press,45461.5,1.73,176.0,176.0,9.0,160.0,3,2014,2012,2,Thursday,27,22
147,belleville region the community press,45644.0,1.73,176.0,176.0,9.0,160.0,3.0,2015,2014,1,Thursday,27,22
148,belleville region the community press,,1.73,,176.0,9.0,160.0,3.0,2016,2014,2,Thursday,27,22
149,belleville region the community press,,1.73,,176.0,9.0,160.0,3.0,2017,2015,2,Thursday,27,22
150,belleville region the community press,,1.73,,176.0,10.0,160.0,10.0,2018,2015,3,Thursday,27,22
151,belleville region the community press,,1.73,,176.0,10.0,160.0,10.0,2019,2015,4,Thursday,27,22
152,blenheim news tribune,2271.0,0.52,94.0,153.0,6.0,224.0,5.0,2013,2012,1,Wednesday,28,23
153,blenheim news tribune,2241.0,0.52,94.0,153.0,6.0,224.0,5,2014,2013,1,Wednesday,28,23
154,blenheim news tribune,2176.5,0.52,94.0,153.0,6.0,224.0,5.0,2015,2013,2,Wednesday,28,23
155,blenheim news tribune,2112.0,0.54,,176.0,6.0,224.0,5.0,2016,2015,1,Wednesday,28,23
156,blenheim news tribune,,0.54,,176.0,6.0,224.0,5.0,2017,2015,2,Wednesday,28,23
157,blenheim news tribune,,0.54,,176.0,6.0,224.0,5.0,2018,2015,3,Wednesday,28,23
158,blenheim news tribune,,0.54,,176.0,6.0,224.0,5.0,2019,2015,4,Wednesday,28,23
159,blyth brussels citizen,1844.0,0.39,71.0,235.0,9.0,210.0,3.0,2013,2012,1,Thursday,29,24
160,blyth brussels citizen,1820.0,0.4,71.0,235.0,9.0,210.0,3,2014,2013,1,Thursday,29,24
161,blyth brussels citizen,1798.0,0.41,71.0,235.0,9.0,210.0,3.0,2015,2014,1,Thursday,29,24
162,blyth brussels citizen,1762.0,0.42,,235.0,9.0,210.0,3.0,2016,2015,1,Thursday,29,24
163,blyth brussels citizen,1756.0,0.44,,235.0,9.0,210.0,3.0,2017,2016,1,Thursday,29,24
164,blyth brussels citizen,1775.0,0.79,,235.0,5.0,210.0,4.0,2018,2017,1,Thursday,29,24
165,blyth brussels citizen,1846.0,0.82,,235.0,5.0,210.0,4.0,2019,2018,1,Thursday,29,24
166,bracebridge examiner,,2.21,1160.0,1160.0,10.0,161.0,10,2014,0,2014,Thursday,30,25
167,bracebridge examiner,8974.0,2.21,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,30,25
168,bracebridge examiner,8609.0,2.21,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,30,25
169,bracebridge examiner,8289.5,2.21,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,30,25
170,bracebridge examiner,7970.0,2.21,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,30,25
171,bracebridge examiner,,2.21,,1160.0,10.0,161.0,10.0,2019,2017,2,Thursday,30,25
172,bracebridge examiner,2708.0,1.32,335.0,1160.0,10.0,301.0,10.0,2013,2012,1,Wednesday,31,25
173,bradford west gwillimbury topic,9050.0,1.37,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,32,26
174,bradford west gwillimbury topic,9507.0,1.5,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,32,26
175,bradford west gwillimbury topic,10330.0,1.5,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,32,26
176,bradford west gwillimbury topic,10224.0,1.5,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,32,26
177,bradford west gwillimbury topic,10294.0,1.5,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,32,26
178,bradford west gwillimbury topic,10364.0,1.5,,1160.0,10.0,161.0,10.0,2018,2015,3,Thursday,32,26
179,bradford west gwillimbury topic,10434.0,1.5,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,32,26
180,brampton guardian,118875.0,5.66,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Friday,33,27
181,brampton guardian,112109.0,5.07,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Friday,33,27
182,brampton guardian,111746.0,5.07,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Friday,33,27
183,brampton guardian,115738.0,5.07,,1160.0,10.0,161.0,10.0,2016,2015,1,Friday,33,27
184,brampton guardian,116447.0,5.07,,1160.0,10.0,161.0,10.0,2017,2016,1,Friday,33,27
185,brampton guardian,117857.0,5.66,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,34,27
186,brampton guardian,123247.0,5.07,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,34,27
187,brampton guardian,126420.0,5.07,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,34,27
188,brampton guardian,129139.0,5.07,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,34,27
189,brampton guardian,129958.0,5.07,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,34,27
190,brampton guardian,133608.0,5.07,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,34,27
191,brampton guardian,137258.0,5.07,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,34,27
192,brampton guardian,118064.0,5.66,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Wednesday,35,27
193,brampton guardian,112430.0,5.07,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Wednesday,35,27
194,brampton guardian,114175.0,5.07,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Wednesday,35,27
195,brantford brant news,48334.0,2.53,335.0,1160.0,6.0,190.0,5.0,2013,2012,1,Thursday,36,28
196,brantford brant news,48299.0,1.85,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,36,28
197,brantford brant news,48675.0,1.85,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,36,28
198,brantford brant news,48869.0,1.85,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,36,28
199,brantford brant news,49012.0,1.85,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,36,28
200,brantford expositor your tmc newspaper,,2.51,235.0,471.0,10.0,287.0,3.0,2015,2013,2,Thursday,37,29
201,brantford expositor your tmc newspaper,,2.51,,471.0,10.0,287.0,3.0,2016,2014,2,Thursday,37,29
202,brantford expositor your tmc newspaper,,2.51,,471.0,10.0,287.0,10.0,2017,2014,3,Thursday,37,29
203,brantford expositor your tmc newspaper,,2.58,,485.0,10.0,287.0,10.0,2018,2015,3,Thursday,37,29
204,brantford your brant connection,,1.21,121.0,364.0,9.0,160.0,3.0,2013,0,2013,Thursday,38,30
205,brighton independent,,1.72,335.0,1160.0,10.0,175.0,10.0,2013,2009,4,Thursday,39,31
206,brighton independent,,0.55,1160.0,1160.0,10.0,189.0,10,2014,0,2014,Thursday,39,31
207,brighton independent,,0.64,1160.0,1160.0,10.0,161.0,10.0,2015,0,2015,Thursday,39,31
208,brighton independent,,0.64,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,39,31
209,brighton independent,,0.64,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,39,31
210,brighton independent,,0.64,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,39,31
211,brighton independent,,0.64,,1160.0,10.0,161.0,10.0,2019,2017,2,Thursday,39,31
212,brighton independent northumberland news,39735.0,3.81,670.0,2320.0,10.0,175.0,10.0,2013,2012,1,Thursday,40,32
213,brock citizen,,1.58,335.0,1160.0,10.0,175.0,10.0,2013,2011,2,Thursday,41,33
214,brock citizen,,1.73,1160.0,1160.0,10.0,161.0,10,2014,2011,3,Thursday,41,33
215,brock citizen,,1.73,1160.0,1160.0,10.0,161.0,10.0,2015,2011,4,Thursday,41,33
216,brock citizen,,1.73,,1160.0,10.0,161.0,10.0,2016,2011,5,Thursday,41,33
217,brock citizen,,1.73,,1160.0,10.0,161.0,10.0,2017,2011,6,Thursday,41,33
218,brock citizen,,1.73,,1160.0,10.0,161.0,10.0,2018,2011,7,Thursday,41,33
219,brock citizen,,1.73,,1160.0,10.0,161.0,10.0,2019,2011,8,Thursday,41,33
220,brockville st. lawrence news,,0.97,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,42,34
221,brockville st. lawrence news,29518.0,1.14,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,42,34
222,brockville st. lawrence news,,1.14,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,42,34
223,brockville st. lawrence news,,1.14,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,42,34
224,bruce peninsula press,2867.0,0.75,176.0,176.0,8.0,224.0,6.0,2013,2012,1,Monthly,43,35
225,bruce peninsula press,,0.78,176.0,176.0,8.0,224.0,6,2014,2012,2,Monthly,43,35
226,bruce peninsula press,,0.8,176.0,176.0,8.0,224.0,6.0,2015,2013,2,Monthly,43,35
227,bruce peninsula press,,0.82,,176.0,8.0,196.0,6.0,2016,2014,2,Monthly,43,35
228,bruce peninsula press,,0.85,,176.0,8.0,196.0,6.0,2017,2015,2,Monthly,43,35
229,bruce peninsula press,,0.88,,176.0,8.0,196.0,6.0,2018,2016,2,Monthly,43,35
230,bruce peninsula press,,0.91,,176.0,8.0,196.0,6.0,2019,2016,3,Monthly,43,35
231,burks falls almaguin news,2643.0,0.83,335.0,1160.0,10.0,301.0,10.0,2013,2012,1,Thursday,44,36
232,burks falls almaguin news,2508.0,0.81,1160.0,1160.0,10.0,301.0,10,2014,2012,2,Thursday,44,36
233,burks falls almaguin news,2373.0,0.81,1160.0,1160.0,10.0,301.0,10.0,2015,2014,1,Thursday,44,36
234,burks falls almaguin news,,0.81,,1160.0,10.0,301.0,10.0,2016,2014,2,Thursday,44,36
235,burks falls almaguin news,,0.81,,1160.0,10.0,301.0,10.0,2017,2015,2,Thursday,44,36
236,burks falls almaguin news,,0.81,,1160.0,10.0,297.0,10.0,2018,2016,2,Thursday,44,36
237,burks falls almaguin news,,0.81,,1160.0,10.0,297.0,10.0,2019,2017,2,Thursday,44,36
238,burlington de nederlandse courant,,1.31,235.0,235.0,5.0,224.0,4,2014,0,2014,Monthly,45,37
239,burlington de nederlandse courant,,1.47,201.0,201.0,4.0,137.0,4,2015,0,2015,Monthly,45,37
240,burlington de nederlandse courant,,1.47,,201.0,4.0,137.0,2.0,2016,0,2016,Monthly,45,37
241,burlington post,49818.0,5.17,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Friday,46,38
242,burlington post,49979.0,5.64,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Friday,46,38
243,burlington post,49583.0,5.64,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Friday,46,38
244,burlington post,49456.0,5.64,,1160.0,10.0,161.0,10.0,2016,2015,1,Friday,46,38
245,burlington post,48790.0,5.64,,1160.0,10.0,161.0,10.0,2017,2016,1,Friday,46,38
246,burlington post,,5.64,,1160.0,10.0,161.0,10.0,2018,2016,2,Friday,46,38
247,burlington post,60967.0,5.17,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,47,38
248,burlington post,60973.0,5.64,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,47,38
249,burlington post,60379.0,5.64,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,47,38
250,burlington post,60227.0,5.64,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,47,38
251,burlington post,59245.0,5.64,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,47,38
252,burlington post,58425.5,5.64,,1160.0,10.0,161.0,10.0,2018,2016,2,Thursday,47,38
253,burlington post,57606.0,5.64,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,47,38
254,burlington post,49598.0,5.03,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Wednesday,48,38
255,burlington post,49808.0,5.49,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Wednesday,48,38
