,AdvNewspaper,Issued,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year
43,arnprior chronicle guide,Thursday,7668,0.74,1160.0,1160.0,10.0,189.0,10,2014
44,arnprior chronicle guide,Thursday,7873,0.87,1160.0,1160.0,10.0,161.0,10.0,2015
45,arnprior chronicle guide,Thursday,7941,0.87,,1160.0,10.0,161.0,10.0,2016
46,arnprior chronicle guide,Thursday,8332,0.87,,1160.0,10.0,161.0,10.0,2017
47,arnprior chronicle guide,Thursday,8114,0.87,,1160.0,10.0,161.0,10.0,2018
48,arnprior chronicle guide,Thursday,7380,0.87,,1160.0,10.0,161.0,10.0,2019
49,arthur enterprise news,Friday,575,0.86,335.0,1160.0,10.0,175.0,10.0,2013
50,arthur enterprise news,Wednesday,522,0.93,1160.0,1160.0,10.0,161.0,10,2014
51,arthur enterprise news,Wednesday,355,0.93,1160.0,1160.0,10.0,161.0,10.0,2015
52,arthur enterprise news,Wednesday,315,0.93,,1160.0,10.0,161.0,10.0,2016
53,arthur enterprise news,Wednesday,235,0.93,,1160.0,10.0,161.0,10.0,2017
54,atikokan progress,Monday,1391,0.79,165.0,471.0,5.0,210.0,4.0,2013
55,atikokan progress,Monday,1350,0.82,165.0,471.0,5.0,210.0,4,2014
56,atikokan progress,Monday,1260,0.86,165.0,471.0,5.0,210.0,4.0,2015
57,atikokan progress,Monday,1193,0.86,,471.0,5.0,210.0,4.0,2016
58,atikokan progress,Monday,1113,0.88,,471.0,5.0,210.0,4.0,2017
59,atikokan progress,Monday,1081,0.88,,471.0,5.0,210.0,4.0,2018
60,atikokan progress,Monday,1041,0.88,,471.0,5.0,210.0,4.0,2019
61,aurora the auroran,Tuesday,19284,1.24,88.0,194.0,6.0,220.0,5.0,2013
62,aurora the auroran,Thursday,19575,0.57,88.0,176.0,8.0,301.0,,2014
63,aurora the auroran,Thursday,19427,0.57,88.0,176.0,8.0,301.0,,2015
64,aurora the auroran,Thursday,19427,0.57,,176.0,8.0,301.0,9.0,2016
65,aurora the auroran,Thursday,18184,0.57,,176.0,8.0,301.0,9.0,2017
66,aurora the auroran,Thursday,18184,0.57,,176.0,8.0,301.0,9.0,2018
67,aurora the auroran,Thursday,18184,0.57,,176.0,8.0,301.0,9.0,2019
68,aylmer express,Wednesday,3516,0.75,118.0,294.0,8.0,294.0,2.0,2013
69,aylmer express,Wednesday,3376,0.77,118.0,294.0,8.0,294.0,2,2014
70,aylmer express,Wednesday,3421,0.78,118.0,294.0,8.0,294.0,2.0,2015
71,aylmer express,Wednesday,3421,0.79,,294.0,8.0,294.0,2.0,2016
72,aylmer express,Wednesday,3314,0.8,,294.0,8.0,294.0,2.0,2017
73,aylmer express,Wednesday,3090,0.81,,294.0,8.0,294.0,2.0,2018
74,aylmer express,Wednesday,3026,0.81,,294.0,8.0,294.0,2.0,2019
75,ayr news,Wednesday,3204,0.77,118.0,412.0,6.0,294.0,1.0,2013
76,ayr news,Wednesday,3209,0.77,118.0,412.0,6.0,294.0,1,2014
77,ayr news,Wednesday,3099,0.77,118.0,412.0,6.0,294.0,1.0,2015
78,ayr news,Wednesday,3082,0.77,,412.0,6.0,294.0,1.0,2016
79,ayr news,Wednesday,3052,1.4,,412.0,5.0,193.0,4.0,2017
80,ayr news,Wednesday,2875,1.4,,412.0,5.0,193.0,4.0,2018
81,ayr news,Wednesday,2747,1.4,,412.0,5.0,193.0,4.0,2019
82,bancroft this week,Friday,7429,0.97,176.0,176.0,9.0,157.0,3.0,2013
83,bancroft this week,Friday,7850,0.97,176.0,176.0,9.0,160.0,3,2014
84,bancroft this week,Friday,7871,0.82,176.0,176.0,9.0,189.0,3.0,2015
85,bancroft this week,Friday,9338,0.82,,235.0,9.0,189.0,3.0,2016
86,bancroft this week,Friday,9176,0.82,,235.0,9.0,189.0,3.0,2017
87,bancroft this week,Friday,8962,0.82,,235.0,9.0,189.0,3.0,2018
88,bancroft this week,Friday,8962,0.82,,235.0,9.0,189.0,3.0,2019
89,bancroft times,Thursday,3840,0.66,188.0,565.0,6.0,294.0,1.0,2013
90,bancroft times,Thursday,3840,0.66,188.0,565.0,6.0,294.0,1,2014
91,bancroft times,Thursday,3131,0.66,188.0,565.0,6.0,294.0,1.0,2015
92,bancroft times,Thursday,3383,0.66,,565.0,6.0,294.0,1.0,2016
93,bancroft times,Thursday,3193,0.66,,565.0,6.0,294.0,1.0,2017
94,bancroft times,Thursday,2699,0.66,,565.0,6.0,294.0,1.0,2018
95,bancroft times,Wednesday,2535,0.54,,176.0,8.0,301.0,9.0,2019
96,barrhaven independent,Friday,10344,0.65,176.0,353.0,6.0,220.0,5.0,2015
97,barrhaven independent,Friday,10344,0.75,,353.0,6.0,220.0,5.0,2016
98,barrhaven independent,Friday,10344,0.85,,353.0,6.0,220.0,5.0,2017
99,barrhaven independent,Friday,6700,1.11,,353.0,6.0,168.0,5.0,2018
100,barrhaven independent,Friday,6700,1.11,,353.0,6.0,168.0,5.0,2019
101,barrie advance,Thursday,52243,3.41,335.0,1160.0,10.0,175.0,10.0,2013
102,barrie advance,Tuesday,52243,3.41,335.0,1160.0,10.0,175.0,10.0,2013
103,barrie advance,Thursday,52221,3.72,1160.0,1160.0,10.0,161.0,10,2014
104,barrie advance,Tuesday,52221,3.72,1160.0,1160.0,10.0,161.0,10,2014
105,barrie advance,Thursday,52359,3.72,1160.0,1160.0,10.0,161.0,10.0,2015
106,barrie advance,Thursday,52317,3.72,,1160.0,10.0,161.0,10.0,2016
107,barrie advance,Thursday,52759,3.72,,1160.0,10.0,161.0,10.0,2017
108,barrie advance,Thursday,52277,3.72,,1160.0,10.0,161.0,10.0,2018
109,barrie advance,Thursday,51148,3.72,,1160.0,10.0,161.0,10.0,2019
110,barrie advance innisfil journal,Thursday,62969,4.37,670.0,2320.0,10.0,175.0,10.0,2013
111,barrie advance innisfil journal,Thursday,63006,4.77,2320.0,2320.0,10.0,161.0,10,2014
112,barrie advance innisfil journal,Thursday,63357,4.77,2320.0,2320.0,10.0,161.0,10.0,2015
113,barrie advance innisfil journal,Thursday,63693,4.77,,2320.0,10.0,161.0,10.0,2016
114,barrie advance innisfil journal,Thursday,64420,4.77,,2320.0,10.0,161.0,10.0,2017
115,barrie advance innisfil journal,Thursday,64125,4.77,,2320.0,10.0,161.0,10.0,2018
116,barrie advance innisfil journal,Thursday,62997,4.77,,2320.0,10.0,161.0,10.0,2019
117,barrys bay the valley gazette,Wednesday,1174,0.73,118.0,176.0,6.0,217.0,5.0,2013
118,barrys bay the valley gazette,Wednesday,1308,0.73,118.0,176.0,6.0,217.0,5,2014
119,barrys bay the valley gazette,Wednesday,1471,0.79,176.0,176.0,6.0,217.0,5.0,2015
120,barrys bay the valley gazette,Wednesday,1629,0.81,,176.0,6.0,217.0,5.0,2016
121,barrys bay the valley gazette,Wednesday,1629,0.85,,176.0,6.0,217.0,5.0,2017
122,barrys bay the valley gazette,Wednesday,1638,0.86,,176.0,6.0,217.0,5.0,2018
123,barrys bay the valley gazette,Wednesday,1526,0.88,,176.0,6.0,217.0,5.0,2019
124,barrys bay this week,Wednesday,1291,0.8,171.0,235.0,9.0,158.0,3.0,2013
125,barrys bay this week,Wednesday,1292,0.8,171.0,235.0,9.0,158.0,3,2014
126,beeton new tecumseth times,Thursday,2092,1.02,158.0,473.0,6.0,210.0,5.0,2013
127,beeton new tecumseth times,Thursday,1853,1.02,88.0,176.0,6.0,210.0,5,2014
128,beeton new tecumseth times,Thursday,1409,1.02,88.0,176.0,6.0,210.0,5.0,2015
129,beeton new tecumseth times,Thursday,1409,1.02,,176.0,6.0,210.0,5.0,2016
130,beeton new tecumseth times,Thursday,1273,1.02,,176.0,6.0,210.0,5.0,2017
131,beeton new tecumseth times,Thursday,1279,1.02,,176.0,6.0,210.0,5.0,2018
132,beeton new tecumseth times,Thursday,1077,0.84,,176.0,6.0,210.0,5.0,2019
133,belle river lakeshore news,Thursday,9429,0.91,129.0,388.0,6.0,204.0,5.0,2013
134,belle river lakeshore news,Thursday,9416,0.91,129.0,388.0,6.0,204.0,5,2014
135,belle river lakeshore news,Thursday,9385,0.95,136.0,408.0,6.0,204.0,5.0,2015
136,belle river lakeshore news,Thursday,9383,0.95,,408.0,6.0,204.0,5.0,2016
137,belle river lakeshore news,Thursday,9402,1.0,,428.0,6.0,204.0,5.0,2017
138,belle river lakeshore news,Thursday,9409,1.09,,428.0,6.0,204.0,5.0,2018
139,belle river lakeshore news,Thursday,9409,1.09,,428.0,6.0,287.0,5.0,2019
140,belleville news,Thursday,23146,1.47,335.0,1160.0,6.0,218.0,5.0,2013
141,belleville news,Thursday,24279,1.28,1160.0,1160.0,10.0,189.0,10,2014
142,belleville news,Thursday,22354,1.51,1160.0,1160.0,10.0,161.0,10.0,2015
143,belleville news,Thursday,22872,1.51,,1160.0,10.0,161.0,10.0,2016
144,belleville news,Thursday,22628,1.51,,1160.0,10.0,161.0,10.0,2017
145,belleville region the community press,Thursday,45279,2.12,276.0,553.0,9.0,160.0,3.0,2013
146,belleville region the community press,Thursday,46122,1.73,176.0,176.0,9.0,160.0,3,2014
147,belleville region the community press,Thursday,45644,1.73,176.0,176.0,9.0,160.0,3.0,2015
148,belleville region the community press,Thursday,45939,1.73,,176.0,9.0,160.0,3.0,2016
149,belleville region the community press,Thursday,46391,1.73,,176.0,9.0,160.0,3.0,2017
150,belleville region the community press,Thursday,46391,1.73,,176.0,10.0,160.0,10.0,2018
151,belleville region the community press,Thursday,46391,1.73,,176.0,10.0,160.0,10.0,2019
152,blenheim news tribune,Wednesday,2271,0.52,94.0,153.0,6.0,224.0,5.0,2013
153,blenheim news tribune,Wednesday,2241,0.52,94.0,153.0,6.0,224.0,5,2014
154,blenheim news tribune,Wednesday,2272,0.52,94.0,153.0,6.0,224.0,5.0,2015
155,blenheim news tribune,Wednesday,2112,0.54,,176.0,6.0,224.0,5.0,2016
156,blenheim news tribune,Wednesday,2112,0.54,,176.0,6.0,224.0,5.0,2017
157,blenheim news tribune,Wednesday,2088,0.54,,176.0,6.0,224.0,5.0,2018
158,blenheim news tribune,Wednesday,2088,0.54,,176.0,6.0,224.0,5.0,2019
159,blyth brussels citizen,Thursday,1844,0.39,71.0,235.0,9.0,210.0,3.0,2013
160,blyth brussels citizen,Thursday,1820,0.4,71.0,235.0,9.0,210.0,3,2014
161,blyth brussels citizen,Thursday,1798,0.41,71.0,235.0,9.0,210.0,3.0,2015
162,blyth brussels citizen,Thursday,1762,0.42,,235.0,9.0,210.0,3.0,2016
163,blyth brussels citizen,Thursday,1756,0.44,,235.0,9.0,210.0,3.0,2017
164,blyth brussels citizen,Thursday,1775,0.79,,235.0,5.0,210.0,4.0,2018
165,blyth brussels citizen,Thursday,1846,0.82,,235.0,5.0,210.0,4.0,2019
166,bracebridge examiner,Wednesday,2708,1.32,335.0,1160.0,10.0,301.0,10.0,2013
167,bracebridge examiner,Thursday,8849,2.21,1160.0,1160.0,10.0,161.0,10,2014
168,bracebridge examiner,Thursday,8974,2.21,1160.0,1160.0,10.0,161.0,10.0,2015
169,bracebridge examiner,Thursday,8609,2.21,,1160.0,10.0,161.0,10.0,2016
170,bracebridge examiner,Thursday,8609,2.21,,1160.0,10.0,161.0,10.0,2017
171,bracebridge examiner,Thursday,7970,2.21,,1160.0,10.0,161.0,10.0,2018
172,bracebridge examiner,Thursday,7970,2.21,,1160.0,10.0,161.0,10.0,2019
173,bradford west gwillimbury topic,Thursday,9050,1.37,335.0,1160.0,10.0,175.0,10.0,2013
174,bradford west gwillimbury topic,Thursday,9507,1.5,1160.0,1160.0,10.0,161.0,10,2014
175,bradford west gwillimbury topic,Thursday,10330,1.5,1160.0,1160.0,10.0,161.0,10.0,2015
176,bradford west gwillimbury topic,Thursday,10224,1.5,,1160.0,10.0,161.0,10.0,2016
177,bradford west gwillimbury topic,Thursday,10538,1.5,,1160.0,10.0,161.0,10.0,2017
178,bradford west gwillimbury topic,Thursday,10538,1.5,,1160.0,10.0,161.0,10.0,2018
179,bradford west gwillimbury topic,Thursday,10434,1.5,,1160.0,10.0,161.0,10.0,2019
180,brampton guardian,Friday,118875,5.66,335.0,1160.0,10.0,175.0,10.0,2013
181,brampton guardian,Thursday,117857,5.66,335.0,1160.0,10.0,175.0,10.0,2013
182,brampton guardian,Wednesday,118064,5.66,335.0,1160.0,10.0,175.0,10.0,2013
183,brampton guardian,Friday,112109,5.07,1160.0,1160.0,10.0,161.0,10,2014
184,brampton guardian,Thursday,123247,5.07,1160.0,1160.0,10.0,161.0,10,2014
185,brampton guardian,Wednesday,112430,5.07,1160.0,1160.0,10.0,161.0,10,2014
186,brampton guardian,Friday,111746,5.07,1160.0,1160.0,10.0,161.0,10.0,2015
187,brampton guardian,Thursday,126420,5.07,1160.0,1160.0,10.0,161.0,10.0,2015
188,brampton guardian,Wednesday,114175,5.07,1160.0,1160.0,10.0,161.0,10.0,2015
189,brampton guardian,Friday,115738,5.07,,1160.0,10.0,161.0,10.0,2016
190,brampton guardian,Thursday,129139,5.07,,1160.0,10.0,161.0,10.0,2016
191,brampton guardian,Friday,116447,5.07,,1160.0,10.0,161.0,10.0,2017
192,brampton guardian,Thursday,129958,5.07,,1160.0,10.0,161.0,10.0,2017
193,brampton guardian,Thursday,129958,5.07,,1160.0,10.0,161.0,10.0,2018
194,brampton guardian,Thursday,137258,5.07,,1160.0,10.0,161.0,10.0,2019
195,brantford brant news,Thursday,48334,2.53,335.0,1160.0,6.0,190.0,5.0,2013
196,brantford brant news,Thursday,48299,1.85,1160.0,1160.0,10.0,161.0,10,2014
197,brantford brant news,Thursday,48675,1.85,1160.0,1160.0,10.0,161.0,10.0,2015
198,brantford brant news,Thursday,48869,1.85,,1160.0,10.0,161.0,10.0,2016
199,brantford brant news,Thursday,49012,1.85,,1160.0,10.0,161.0,10.0,2017
200,brantford expositor your tmc newspaper,Thursday,47465,2.51,235.0,471.0,10.0,287.0,3.0,2015
201,brantford expositor your tmc newspaper,Thursday,43096,2.51,,471.0,10.0,287.0,3.0,2016
202,brantford expositor your tmc newspaper,Thursday,43096,2.51,,471.0,10.0,287.0,10.0,2017
203,brantford expositor your tmc newspaper,Thursday,42817,2.58,,485.0,10.0,287.0,10.0,2018
204,brantford your brant connection,Thursday,51463,1.21,121.0,364.0,9.0,160.0,3.0,2013
205,brighton independent,Thursday,16983,1.72,335.0,1160.0,10.0,175.0,10.0,2013
206,brighton independent,Thursday,7251,0.55,1160.0,1160.0,10.0,189.0,10,2014
207,brighton independent,Thursday,7251,0.64,1160.0,1160.0,10.0,161.0,10.0,2015
208,brighton independent,Thursday,7775,0.64,,1160.0,10.0,161.0,10.0,2016
209,brighton independent,Thursday,7876,0.64,,1160.0,10.0,161.0,10.0,2017
210,brighton independent,Thursday,7874,0.64,,1160.0,10.0,161.0,10.0,2018
211,brighton independent,Thursday,7889,0.64,,1160.0,10.0,161.0,10.0,2019
212,brighton independent northumberland news,Thursday,39735,3.81,670.0,2320.0,10.0,175.0,10.0,2013
213,brock citizen,Thursday,5497,1.58,335.0,1160.0,10.0,175.0,10.0,2013
214,brock citizen,Thursday,5497,1.73,1160.0,1160.0,10.0,161.0,10,2014
215,brock citizen,Thursday,5497,1.73,1160.0,1160.0,10.0,161.0,10.0,2015
216,brock citizen,Thursday,5497,1.73,,1160.0,10.0,161.0,10.0,2016
217,brock citizen,Thursday,5497,1.73,,1160.0,10.0,161.0,10.0,2017
218,brock citizen,Thursday,5497,1.73,,1160.0,10.0,161.0,10.0,2018
219,brock citizen,Thursday,5497,1.73,,1160.0,10.0,161.0,10.0,2019
220,brockville st. lawrence news,Thursday,28135,0.97,1160.0,1160.0,10.0,189.0,10,2014
221,brockville st. lawrence news,Thursday,29518,1.14,1160.0,1160.0,10.0,161.0,10.0,2015
222,brockville st. lawrence news,Thursday,28808,1.14,,1160.0,10.0,161.0,10.0,2016
223,brockville st. lawrence news,Thursday,30466,1.14,,1160.0,10.0,161.0,10.0,2017
224,bruce peninsula press,Monthly,2867,0.75,176.0,176.0,8.0,224.0,6.0,2013
225,bruce peninsula press,Monthly,3080,0.78,176.0,176.0,8.0,224.0,6,2014
226,bruce peninsula press,Monthly,3080,0.8,176.0,176.0,8.0,224.0,6.0,2015
227,bruce peninsula press,Monthly,3021,0.82,,176.0,8.0,196.0,6.0,2016
228,bruce peninsula press,Monthly,2861,0.85,,176.0,8.0,196.0,6.0,2017
229,bruce peninsula press,Monthly,3096,0.88,,176.0,8.0,196.0,6.0,2018
230,bruce peninsula press,Monthly,3096,0.91,,176.0,8.0,196.0,6.0,2019
231,burks falls almaguin news,Thursday,2643,0.83,335.0,1160.0,10.0,301.0,10.0,2013
232,burks falls almaguin news,Thursday,2767,0.81,1160.0,1160.0,10.0,301.0,10,2014
233,burks falls almaguin news,Thursday,2373,0.81,1160.0,1160.0,10.0,301.0,10.0,2015
234,burks falls almaguin news,Thursday,2523,0.81,,1160.0,10.0,301.0,10.0,2016
235,burks falls almaguin news,Thursday,2380,0.81,,1160.0,10.0,301.0,10.0,2017
236,burks falls almaguin news,Thursday,2218,0.81,,1160.0,10.0,297.0,10.0,2018
237,burks falls almaguin news,Thursday,1970,0.81,,1160.0,10.0,297.0,10.0,2019
238,burlington de nederlandse courant,Monthly,2700,1.31,235.0,235.0,5.0,224.0,4,2014
239,burlington de nederlandse courant,Monthly,2700,1.47,201.0,201.0,4.0,137.0,,2015
240,burlington de nederlandse courant,Monthly,2700,1.47,,201.0,4.0,137.0,2.0,2016
241,burlington post,Friday,49818,5.17,335.0,1160.0,10.0,175.0,10.0,2013
242,burlington post,Thursday,60967,5.17,335.0,1160.0,10.0,175.0,10.0,2013
243,burlington post,Wednesday,49598,5.03,335.0,1160.0,10.0,175.0,10.0,2013
244,burlington post,Friday,49979,5.64,1160.0,1160.0,10.0,161.0,10,2014
245,burlington post,Thursday,60973,5.64,1160.0,1160.0,10.0,161.0,10,2014
246,burlington post,Wednesday,49808,5.49,1160.0,1160.0,10.0,161.0,10,2014
247,burlington post,Friday,49583,5.64,1160.0,1160.0,10.0,161.0,10.0,2015
248,burlington post,Thursday,60379,5.64,1160.0,1160.0,10.0,161.0,10.0,2015
249,burlington post,Friday,49456,5.64,,1160.0,10.0,161.0,10.0,2016
250,burlington post,Thursday,60227,5.64,,1160.0,10.0,161.0,10.0,2016
251,burlington post,Friday,48790,5.64,,1160.0,10.0,161.0,10.0,2017
252,burlington post,Thursday,59245,5.64,,1160.0,10.0,161.0,10.0,2017
253,burlington post,Friday,48174,5.64,,1160.0,10.0,161.0,10.0,2018
254,burlington post,Thursday,57872,5.64,,1160.0,10.0,161.0,10.0,2018
255,burlington post,Thursday,57606,5.64,,1160.0,10.0,161.0,10.0,2019
256,burlington post flamborough review,Thursday,74724,6.08,670.0,2320.0,10.0,175.0,10.0,2013
257,burlington post flamborough review,Thursday,74724,6.64,2320.0,2320.0,10.0,161.0,10,2014
258,burlington post flamborough review,Thursday,74235,6.64,2320.0,2320.0,10.0,161.0,10.0,2015
259,burlington post flamborough review,Thursday,74046,6.64,,2320.0,10.0,161.0,10.0,2016
260,burlington post flamborough review,Thursday,74046,6.64,,2320.0,10.0,161.0,10.0,2017
261,burlington post flamborough review,Thursday,72085,6.64,,2320.0,10.0,161.0,10.0,2018
262,burlington post flamborough review,Thursday,71793,6.64,,2320.0,10.0,161.0,10.0,2019
263,caledon citizen,Thursday,15965,0.8,59.0,235.0,8.0,276.0,6.0,2013
264,caledon citizen,Thursday,16226,0.8,59.0,235.0,8.0,300.0,,2014
265,caledon citizen,Thursday,12240,0.8,59.0,235.0,8.0,300.0,,2015
266,caledon citizen,Thursday,18566,0.8,,235.0,8.0,300.0,9.0,2016
267,caledon citizen,Thursday,18566,0.8,,235.0,8.0,300.0,9.0,2017
268,caledon citizen,Thursday,18566,0.8,,235.0,8.0,300.0,9.0,2018
269,caledon citizen,Thursday,18566,0.8,,235.0,8.0,300.0,9.0,2019
270,caledon enterprise,Thursday,16892,1.83,335.0,1160.0,10.0,175.0,10.0,2013
271,caledon enterprise,Tuesday,12988,1.83,335.0,1160.0,10.0,175.0,10.0,2013
272,caledon enterprise,Thursday,17140,2.0,1160.0,1160.0,10.0,161.0,10,2014
273,caledon enterprise,Tuesday,13161,2.0,1160.0,1160.0,10.0,161.0,10,2014
274,caledon enterprise,Thursday,17089,2.06,1160.0,1160.0,10.0,161.0,10.0,2015
275,caledon enterprise,Tuesday,13067,2.0,1160.0,1160.0,10.0,161.0,10.0,2015
276,caledon enterprise,Thursday,17951,2.06,,1160.0,10.0,161.0,10.0,2016
277,caledon enterprise,Thursday,18657,2.06,,1160.0,10.0,161.0,10.0,2017
278,caledon enterprise,Thursday,18437,2.06,,1160.0,10.0,161.0,10.0,2018
279,caledon enterprise,Thursday,19199,2.06,,1160.0,10.0,161.0,10.0,2019
280,cambridge times,Friday,43059,1.84,335.0,1160.0,10.0,175.0,10.0,2013
281,cambridge times,Thursday,48159,1.84,335.0,1160.0,10.0,175.0,10.0,2013
282,cambridge times,Tuesday,43045,1.84,335.0,1160.0,10.0,175.0,10.0,2013
283,cambridge times,Friday,42992,2.01,1160.0,1160.0,10.0,161.0,10,2014
284,cambridge times,Thursday,48113,2.22,1160.0,1160.0,10.0,161.0,10,2014
285,cambridge times,Tuesday,43185,2.01,1160.0,1160.0,10.0,161.0,10,2014
286,cambridge times,Friday,43070,2.01,1160.0,1160.0,10.0,161.0,10.0,2015
287,cambridge times,Thursday,48224,2.22,1160.0,1160.0,10.0,161.0,10.0,2015
288,cambridge times,Tuesday,43067,2.01,1160.0,1160.0,10.0,161.0,10.0,2015
289,cambridge times,Thursday,48168,2.22,,1160.0,10.0,161.0,10.0,2016
290,cambridge times,Tuesday,42956,2.01,,1160.0,10.0,161.0,10.0,2016
291,cambridge times,Thursday,46877,2.22,,1160.0,10.0,161.0,10.0,2017
292,cambridge times,Tuesday,41666,2.01,,1160.0,10.0,161.0,10.0,2017
293,cambridge times,Thursday,46295,2.22,,1160.0,10.0,161.0,10.0,2018
294,cambridge times,Tuesday,41054,2.01,,1160.0,10.0,161.0,10.0,2018
295,cambridge times,Thursday,46295,2.22,,1160.0,10.0,161.0,10.0,2019
296,cambridge times,Tuesday,41054,2.01,,1160.0,10.0,161.0,10.0,2019
297,campbellford northwest emc,Thursday,11630,1.13,335.0,1160.0,6.0,218.0,5.0,2013
298,campbellford trent hills independent,Thursday,11630,0.98,1160.0,1160.0,10.0,189.0,10,2014
299,campbellford trent hills independent,Thursday,11750,1.16,1160.0,1160.0,10.0,161.0,10.0,2015
300,carleton place almonte canadian gazette,Thursday,12509,0.87,335.0,1160.0,6.0,218.0,5.0,2013
301,carleton place almonte canadian gazette,Thursday,12812,0.61,1160.0,1160.0,10.0,189.0,10,2014
302,carleton place almonte canadian gazette,Thursday,13125,0.71,1160.0,1160.0,10.0,161.0,10.0,2015
303,carleton place almonte canadian gazette,Thursday,13376,0.71,,1160.0,10.0,161.0,10.0,2016
304,carleton place almonte canadian gazette,Thursday,12246,0.71,,1160.0,10.0,161.0,10.0,2017
305,carleton place almonte canadian gazette,Thursday,11690,0.71,,1160.0,10.0,161.0,10.0,2018
306,carleton place almonte canadian gazette,Thursday,11547,0.71,,1160.0,10.0,161.0,10.0,2019
307,central hastings trent hills news,Thursday,20334,1.51,,1160.0,10.0,161.0,10.0,2016
308,central hastings trent hills news,Thursday,19975,1.51,,1160.0,10.0,161.0,10.0,2017
309,chatham kent this week,Thursday,43000,1.06,,376.0,9.0,160.0,3.0,2018
310,chatham kent this week,Thursday,43000,0.95,,376.0,10.0,160.0,10.0,2019
311,chatham this week,Wednesday,19679,0.99,94.0,376.0,9.0,160.0,3.0,2013
