index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
214,86.0,2015,7326.0,7326.0,0.0,0.0,metroland media group ltd.,7550.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2015
215,86.0,2016,7276.0,7276.0,0.0,0.0,metroland media group ltd.,7443.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2016
216,86.0,2017,7260.333333333333,7260.333333333333,0.0,0.0,metroland media group ltd.,7276.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2017
217,86.0,2018,7244.666666666667,7244.666666666667,0.0,0.0,metroland media group ltd.,7276.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2018
218,86.0,2019,7229.0,7229.0,0.0,0.0,metroland media group ltd.,7259.0,0.54,1160.0,1160.0,east gwillimbury express,east gwillimbury express,east gwillimbury express,['East Gwillimbury'],2019
219,87.0,2013,34923.0,34923.0,0.0,0.0,metroland media group ltd.,55569.0,5.49,335.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2013
220,87.0,2014,34705.0,34705.0,0.0,0.0,metroland media group ltd.,56393.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2014
221,87.0,2015,36764.0,36764.0,0.0,0.0,metroland media group ltd.,56734.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2015
222,87.0,2016,35300.0,35300.0,0.0,0.0,metroland media group ltd.,58355.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2016
223,87.0,2017,41067.0,41067.0,0.0,0.0,metroland media group ltd.,57549.0,6.0,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2017
224,87.0,2018,46834.0,46834.0,0.0,0.0,metroland media group ltd.,57123.0,6.18,1160.0,1160.0,east york mirror,east york riverdale beach mirror,east york mirror,['Toronto'],2018
248,104.0,2013,69376.0,69376.0,0.0,0.0,metroland media group ltd.,69433.0,6.08,335.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2013
249,104.0,2014,68897.0,68897.0,0.0,0.0,metroland media group ltd.,69333.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2014
250,104.0,2015,73755.0,73755.0,0.0,0.0,metroland media group ltd.,70109.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2015
251,104.0,2016,70703.0,70703.0,0.0,0.0,metroland media group ltd.,71507.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2016
252,104.0,2017,69686.66666666667,69686.66666666667,0.0,0.0,metroland media group ltd.,70703.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2017
253,104.0,2018,68670.33333333333,68670.33333333333,0.0,0.0,metroland media group ltd.,68437.0,6.84,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2018
254,104.0,2019,67654.0,67654.0,0.0,0.0,metroland media group ltd.,67721.0,6.84,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,['Toronto'],2019
279,141.0,2013,17095.0,17095.0,0.0,0.0,metroland media group ltd.,17008.0,1.92,335.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2013
280,141.0,2014,17530.0,17530.0,0.0,0.0,metroland media group ltd.,17139.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2014
281,141.0,2015,17360.0,17360.0,0.0,0.0,metroland media group ltd.,17530.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2015
282,141.0,2016,17190.0,17190.0,0.0,0.0,metroland media group ltd.,17539.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2016
283,141.0,2017,17151.666666666668,17151.666666666668,0.0,0.0,metroland media group ltd.,17190.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2017
284,141.0,2018,17113.333333333332,17113.333333333332,0.0,0.0,metroland media group ltd.,17190.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2018
285,141.0,2019,17075.0,17075.0,0.0,0.0,metroland media group ltd.,16877.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,['Georgina'],2019
299,152.0,2014,44735.0,44735.0,0.0,0.0,metroland media group ltd.,44263.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,['Guelph'],2014
