CSDs,Year,ID,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,Year_only,Time,Post2017,OwnerPostmediaMetroland,Interaction,Interaction2,Interaction3
['Toronto'],2015-01-01,104.0,73755.0,73755.0,0.0,0.0,metroland media group ltd.,70109.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2015,2,0,1,0.0,0.0,0.0
['Toronto'],2016-01-01,104.0,70703.0,70703.0,0.0,0.0,metroland media group ltd.,71507.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2016,3,0,1,0.0,0.0,0.0
['Toronto'],2017-01-01,104.0,69686.66666666667,69686.66666666667,0.0,0.0,metroland media group ltd.,70703.0,6.64,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2017,4,0,1,0.0,0.0,0.0
['Toronto'],2018-01-01,104.0,68670.33333333333,68670.33333333333,0.0,0.0,metroland media group ltd.,68437.0,6.84,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2018,5,1,1,0.0,0.0,0.0
['Toronto'],2019-01-01,104.0,67654.0,67654.0,0.0,0.0,metroland media group ltd.,67721.0,6.84,1160.0,1160.0,etobicoke guardian,etobicoke guardian,etobicoke guardian,2019,6,1,1,0.0,0.0,0.0
['Georgina'],2013-01-01,141.0,17095.0,17095.0,0.0,0.0,metroland media group ltd.,17008.0,1.92,335.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2013,0,0,1,0.0,0.0,0.0
['Georgina'],2014-01-01,141.0,17530.0,17530.0,0.0,0.0,metroland media group ltd.,17139.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2014,1,0,1,0.0,0.0,0.0
['Georgina'],2015-01-01,141.0,17360.0,17360.0,0.0,0.0,metroland media group ltd.,17530.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2015,2,0,1,0.0,0.0,0.0
['Georgina'],2016-01-01,141.0,17190.0,17190.0,0.0,0.0,metroland media group ltd.,17539.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2016,3,0,1,0.0,0.0,0.0
['Georgina'],2017-01-01,141.0,17151.666666666668,17151.666666666668,0.0,0.0,metroland media group ltd.,17190.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2017,4,0,1,0.0,0.0,0.0
['Georgina'],2018-01-01,141.0,17113.333333333332,17113.333333333332,0.0,0.0,metroland media group ltd.,17190.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2018,5,1,1,0.0,0.0,0.0
['Georgina'],2019-01-01,141.0,17075.0,17075.0,0.0,0.0,metroland media group ltd.,16877.0,2.1,1160.0,1160.0,keswick georgina advocate,georgina advocate,georgina advocate,2019,6,1,1,0.0,0.0,0.0
['Guelph'],2014-01-01,152.0,44735.0,44735.0,0.0,0.0,metroland media group ltd.,44263.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2014,1,0,1,0.0,0.0,0.0
['Guelph'],2015-01-01,152.0,44048.0,44048.0,0.0,0.0,metroland media group ltd.,44326.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2015,2,0,1,0.0,0.0,0.0
['Guelph'],2016-01-01,152.0,44637.0,44637.0,0.0,0.0,metroland media group ltd.,43993.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2016,3,0,1,0.0,0.0,0.0
['Guelph'],2017-01-01,152.0,43727.0,43727.0,0.0,0.0,metroland media group ltd.,43993.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2017,4,0,1,0.0,0.0,0.0
['Guelph'],2018-01-01,152.0,43457.0,43457.0,0.0,0.0,metroland media group ltd.,43515.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2018,5,1,1,0.0,0.0,0.0
['Guelph'],2019-01-01,152.0,42737.0,42737.0,0.0,0.0,metroland media group ltd.,43257.0,2.22,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2019,6,1,1,0.0,0.0,0.0
['Guelph'],2013-01-01,153.0,39475.0,39475.0,0.0,0.0,metroland media group ltd.,39098.0,1.84,335.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2013,0,0,1,0.0,0.0,0.0
['Guelph'],2014-01-01,153.0,40177.0,40177.0,0.0,0.0,metroland media group ltd.,39475.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2014,1,0,1,0.0,0.0,0.0
['Guelph'],2015-01-01,153.0,39134.0,39134.0,0.0,0.0,metroland media group ltd.,39150.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2015,2,0,1,0.0,0.0,0.0
['Guelph'],2016-01-01,153.0,39312.0,39312.0,0.0,0.0,metroland media group ltd.,39091.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2016,3,0,1,0.0,0.0,0.0
['Guelph'],2017-01-01,153.0,38918.0,38918.0,0.0,0.0,metroland media group ltd.,39091.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2017,4,0,1,0.0,0.0,0.0
['Guelph'],2018-01-01,153.0,38716.0,38716.0,0.0,0.0,metroland media group ltd.,38751.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2018,5,1,1,0.0,0.0,0.0
['Guelph'],2019-01-01,153.0,38508.0,38508.0,0.0,0.0,metroland media group ltd.,38508.0,2.01,1160.0,1160.0,guelph mercury tribune,guelph mercury tribune,guelph mercury tribune,2019,6,1,1,0.0,0.0,0.0
['Dysart et al'],2013-01-01,173.0,7312.0,7312.0,0.0,0.0,the haliburton highlander limited,7312.0,0.95,88.0,88.0,haliburton highlander,haliburton highlander,highlander,2013,0,0,0,0.0,0.0,0.0
['Dysart et al'],2014-01-01,173.0,7430.0,7430.0,0.0,0.0,maple key media,6727.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,2014,1,0,0,0.0,0.0,0.0
['Dysart et al'],2015-01-01,173.0,8104.0,8104.0,0.0,0.0,maple key media,7430.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,2015,2,0,0,0.0,0.0,0.0
['Dysart et al'],2016-01-01,173.0,8389.0,8389.0,0.0,0.0,maple key media,8104.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,2016,3,0,0,0.0,0.0,0.0
['Dysart et al'],2017-01-01,173.0,8062.0,8062.0,0.0,0.0,the highlander newspaper limited,7313.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,2017,4,0,0,0.0,0.0,0.0
['Dysart et al'],2018-01-01,173.0,8798.0,8798.0,0.0,0.0,the highlander newspaper limited,8722.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,2018,5,1,0,0.0,0.0,0.0
['Dysart et al'],2019-01-01,173.0,8798.0,8798.0,0.0,0.0,the highlander newspaper limited,8798.0,1.61,104.0,104.0,haliburton highlander,haliburton highlander,highlander,2019,6,1,0,0.0,0.0,0.0
['Innisfil'],2013-01-01,203.0,10726.0,10726.0,0.0,1.0,metroland media group ltd.,10726.0,1.37,335.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2013,0,0,1,0.0,0.0,1.0
['Innisfil'],2014-01-01,203.0,10891.0,10891.0,0.0,1.0,metroland media group ltd.,10785.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2014,1,0,1,0.0,0.0,1.0
['Innisfil'],2015-01-01,203.0,11376.0,11376.0,0.0,1.0,metroland media group ltd.,10998.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2015,2,0,1,0.0,0.0,1.0
['Innisfil'],2016-01-01,203.0,11661.0,11661.0,0.0,1.0,metroland media group ltd.,11376.0,1.5,1160.0,1160.0,innisfil journal,innisfil journal,innisfil journal,2016,3,0,1,0.0,0.0,1.0
