,Newspaper,Issued,Circ,Audit,AuditDate,NatlLineRate,SpotColour,ProcessColour,Format,Columns,Lines,MaterialCode,Year
2,alexandria glengarry news,Wednesday,"4,990",CMCAP,03/31/13,$0.85,$206,$694,B,8.0,295.0,5,2014
2,alexandria glengarry news,Wednesday,"4,714",CMCAP,03/31/14,$0.85,$206,$694,B,8.0,295.0,5.0,2015
2,alexandria glengarry news,Wednesday,"4,612",CMCA,03/31/15,$0.85,,$694,B,8.0,295.0,5.0,2016
2,alexandria glengarry news,Wednesday,"4,615",CMCA,09/30/15,$0.85,,$694,B,8.0,295.0,5.0,2017
2,alexandria glengarry news,Wednesday,"4,420",CMCA,03/31/17,$0.92,,$694,B,8.0,295.0,5.0,2018
2,alexandria glengarry news,Wednesday,"4,039",CMCA,03/31/18,$0.92,,$694,B,8.0,295.0,5.0,2019
3,alliston herald,Thursday,"22,553",CMCAC,09/30/12,$3.21,$335,"$1,160",T,10.0,175.0,10.0,2013
3,alliston herald,Thursday,"22,127",CMCAC,03/31/13,$3.51,"$1,160","$1,160",T,10.0,161.0,10,2014
3,alliston herald,Thursday,"22,266",CMCAC,03/31/14,$3.51,"$1,160","$1,160",T,10.0,161.0,10.0,2015
3,alliston herald,Thursday,"22,403",CMCA,03/31/15,$3.51,,"$1,160",T,10.0,161.0,10.0,2016
3,alliston herald,Thursday,"22,860",CMCA,03/31/16,$3.51,,"$1,160",T,10.0,161.0,10.0,2017
3,alliston herald,Thursday,"23,199",CMCA,03/31/17,$3.51,,"$1,160",T,10.0,161.0,10.0,2018
3,alliston herald,Thursday,"22,890",CMCA,06/30/18,$3.51,,"$1,160",T,10.0,161.0,10.0,2019
4,amherstburg river town times,Wednesday,"8,986",CMCAC,08/31/12,$0.77,$88,$382,T,6.0,210.0,5.0,2013
4,amherstburg river town times,Wednesday,"8,985",CMCAC,02/28/13,$0.79,$88,$382,T,6.0,210.0,5,2014
4,amherstburg river town times,Wednesday,"9,177",CMCAC,02/28/14,$0.79,$88,$382,T,6.0,210.0,5.0,2015
4,amherstburg river town times,Wednesday,"9,185",CMCA,02/28/15,$0.79,,$382,T,6.0,210.0,5.0,2016
4,amherstburg river town times,Wednesday,"9,133",CMCA,08/31/15,$0.79,,$382,T,6.0,210.0,5.0,2017
4,amherstburg river town times,Wednesday,"9,280",CMCA,02/28/17,$0.79,,$382,T,6.0,210.0,5.0,2018
4,amherstburg river town times,Wednesday,"9,442",CMCA,02/28/18,$0.79,,$382,T,6.0,210.0,5.0,2019
5,ancaster news,Thursday,"12,817",CMCAC,06/30/12,$1.70,$335,"$1,160",T,10.0,175.0,10.0,2013
5,ancaster news,Thursday,"12,823",CMCAC,12/31/12,$1.85,"$1,160","$1,160",T,10.0,161.0,10,2014
5,ancaster news,Thursday,"12,927",CMCAC,06/30/14,$1.85,"$1,160","$1,160",T,10.0,161.0,10.0,2015
5,ancaster news,Thursday,"12,712",CMCA,06/30/15,$1.85,,"$1,160",T,10.0,161.0,10.0,2016
5,ancaster news,Thursday,"12,710",CMCA,12/31/15,$1.85,,"$1,160",T,10.0,161.0,10.0,2017
5,ancaster news,Thursday,"13,040",CMCA,06/30/17,$1.85,,"$1,160",T,10.0,161.0,10.0,2018
5,ancaster news,Thursday,"13,075",CMCA,06/30/18,$1.85,,"$1,160",T,10.0,161.0,10.0,2019
6,arnprior chronicle guide,Thursday,"7,607",CMCAC,06/30/12,$1.06,$335,"$1,160",T,6.0,218.0,5.0,2013
6,arnprior chronicle guide,Thursday,"7,668",CMCAC,12/31/12,$0.74,"$1,160","$1,160",T,10.0,189.0,10,2014
6,arnprior chronicle guide,Thursday,"7,873",CMCAC,06/30/14,$0.87,"$1,160","$1,160",T,10.0,161.0,10.0,2015
6,arnprior chronicle guide,Thursday,"7,941",CMCA,12/31/14,$0.87,,"$1,160",T,10.0,161.0,10.0,2016
6,arnprior chronicle guide,Thursday,"8,332",CMCA,12/31/15,$0.87,,"$1,160",T,10.0,161.0,10.0,2017
6,arnprior chronicle guide,Thursday,"8,114",CMCA,12/31/16,$0.87,,"$1,160",T,10.0,161.0,10.0,2018
6,arnprior chronicle guide,Thursday,"7,380",CMCA,12/31/17,$0.87,,"$1,160",T,10.0,161.0,10.0,2019
7,arthur enterprise news,Friday,575,CMCAP,06/30/12,$0.86,$335,"$1,160",T,10.0,175.0,10.0,2013
7,arthur enterprise news,Wednesday,522,CMCAP,12/31/12,$0.93,"$1,160","$1,160",T,10.0,161.0,10,2014
7,arthur enterprise news,Wednesday,355,CMCAP,06/30/14,$0.93,"$1,160","$1,160",T,10.0,161.0,10.0,2015
7,arthur enterprise news,Wednesday,315,CMCA,12/31/14,$0.93,,"$1,160",T,10.0,161.0,10.0,2016
7,arthur enterprise news,Wednesday,235,CMCA,12/31/15,$0.93,,"$1,160",T,10.0,161.0,10.0,2017
8,atikokan progress,Monday,"1,391",CMCAP,03/31/12,$0.79,$165,$471,T,5.0,210.0,4.0,2013
8,atikokan progress,Monday,"1,350",CMCAP,03/31/13,$0.82,$165,$471,T,5.0,210.0,4,2014
8,atikokan progress,Monday,"1,260",CMCAP,03/31/14,$0.86,$165,$471,T,5.0,210.0,4.0,2015
8,atikokan progress,Monday,"1,193",CMCA,03/31/15,$0.86,,$471,T,5.0,210.0,4.0,2016
8,atikokan progress,Monday,"1,113",CMCA,04/30/16,$0.88,,$471,T,5.0,210.0,4.0,2017
7,atikokan progress,Monday,"1,081",CMCA,04/30/17,$0.88,,$471,T,5.0,210.0,4.0,2018
7,atikokan progress,Monday,"1,041",CMCA,04/30/18,$0.88,,$471,T,5.0,210.0,4.0,2019
9,aurora the auroran,Tuesday,"19,284",CMCAC,04/30/12,$1.24,$88,$194,T,6.0,220.0,5.0,2013
9,aurora the auroran,Thursday,"19,575",CMCAC,10/31/12,$0.57,$88,$176,B,8.0,301.0,,2014
9,aurora the auroran,Thursday,"19,427",CMCAC,04/30/14,$0.57,$88,$176,B,8.0,301.0,,2015
9,aurora the auroran,Thursday,"19,427",CMCA,04/30/14,$0.57,,$176,B,8.0,301.0,9.0,2016
9,aurora the auroran,Thursday,"18,184",CMCA,10/31/15,$0.57,,$176,B,8.0,301.0,9.0,2017
8,aurora the auroran,Thursday,"18,184",CMCA,10/31/15,$0.57,,$176,B,8.0,301.0,9.0,2018
8,aurora the auroran,Thursday,"18,184",CMCA,10/31/15,$0.57,,$176,B,8.0,301.0,9.0,2019
10,aylmer express,Wednesday,"3,516",ABC,03/31/12,$0.75,$118,$294,B,8.0,294.0,2.0,2013
10,aylmer express,Wednesday,"3,376",ABC,03/31/13,$0.77,$118,$294,B,8.0,294.0,2,2014
10,aylmer express,Wednesday,"3,421",AAM,09/30/13,$0.78,$118,$294,B,8.0,294.0,2.0,2015
10,aylmer express,Wednesday,"3,421",AAM,09/30/13,$0.79,,$294,B,8.0,294.0,2.0,2016
10,aylmer express,Wednesday,"3,314",CMCA,09/30/14,$0.80,,$294,B,8.0,294.0,2.0,2017
9,aylmer express,Wednesday,"3,090",CMCA,03/31/16,$0.81,,$294,B,8.0,294.0,2.0,2018
9,aylmer express,Wednesday,"3,026",CMCA,05/31/16,$0.81,,$294,B,8.0,294.0,2.0,2019
11,ayr news,Wednesday,"3,204",CMCAP,07/31/12,$0.77,$118,$412,B,6.0,294.0,1.0,2013
11,ayr news,Wednesday,"3,209",CMCAP,01/31/13,$0.77,$118,$412,B,6.0,294.0,1,2014
11,ayr news,Wednesday,"3,099",CMCAP,07/31/14,$0.77,$118,$412,B,6.0,294.0,1.0,2015
11,ayr news,Wednesday,"3,082",CMCA,01/31/15,$0.77,,$412,B,6.0,294.0,1.0,2016
11,ayr news,Wednesday,"3,052",CMCA,07/31/15,$1.40,,$412,T,5.0,193.0,4.0,2017
10,ayr news,Wednesday,"2,875",CMCA,03/31/17,$1.40,,$412,T,5.0,193.0,4.0,2018
10,ayr news,Wednesday,"2,747",CMCA,01/31/18,$1.40,,$412,T,5.0,193.0,4.0,2019
12,bancroft this week,Friday,"7,429",CMCAC,06/30/12,$0.97,$176,$176,T,9.0,157.0,3.0,2013
12,bancroft this week,Friday,"7,850",CMCAC,12/31/12,$0.97,$176,$176,T,9.0,160.0,3,2014
12,bancroft this week,Friday,"7,871",CMCAC,12/31/13,$0.82,$176,$176,T,9.0,189.0,3.0,2015
12,bancroft this week,Friday,"9,338",CMCA,12/31/14,$0.82,,$235,T,9.0,189.0,3.0,2016
12,bancroft this week,Friday,"9,176",CMCA,06/30/15,$0.82,,$235,T,9.0,189.0,3.0,2017
11,bancroft this week,Friday,"8,962",CMCA,12/31/15,$0.82,,$235,T,9.0,189.0,3.0,2018
11,bancroft this week,Friday,"8,962",CMCA,12/31/15,$0.82,,$235,T,9.0,189.0,3.0,2019
13,bancroft times,Thursday,"3,840",CMCAP,10/31/12,$0.66,$188,$565,B,6.0,294.0,1.0,2013
13,bancroft times,Thursday,"3,840",CMCAP,10/31/12,$0.66,$188,$565,B,6.0,294.0,1,2014
13,bancroft times,Thursday,"3,131",CMCAP,04/30/14,$0.66,$188,$565,B,6.0,294.0,1.0,2015
13,bancroft times,Thursday,"3,383",CMCA,10/31/14,$0.66,,$565,B,6.0,294.0,1.0,2016
13,bancroft times,Thursday,"3,193",CMCA,10/31/15,$0.66,,$565,B,6.0,294.0,1.0,2017
12,bancroft times,Thursday,"2,699",CMCA,04/30/16,$0.66,,$565,B,6.0,294.0,1.0,2018
12,bancroft times,Wednesday,"2,535",CMCA,04/30/17,$0.54,,$176,B,8.0,301.0,9.0,2019
14,barrhaven independent,1st/3rd Friday,"10,344",PS,,$0.65,$176,$353,T,6.0,220.0,5.0,2015
14,barrhaven independent,1st/3rd Friday,"10,344",PS,,$0.75,,$353,T,6.0,220.0,5.0,2016
14,barrhaven independent,1st/3rd Friday,"10,344",PS,,$0.85,,$353,T,6.0,220.0,5.0,2017
13,barrhaven independent,EO Friday,"6,700",CMCA,03/31/16,$1.11,,$353,T,6.0,168.0,5.0,2018
13,barrhaven independent,EO Friday,"6,700",CMCA,03/31/16,$1.11,,$353,T,6.0,168.0,5.0,2019
15,barrie advance,Thursday,"52,243",CMCAC,09/30/12,$3.41,$335,"$1,160",T,10.0,175.0,10.0,2013
16,barrie advance,Tuesday,"52,243",CMCAC,09/30/12,$3.41,$335,"$1,160",T,10.0,175.0,10.0,2013
15,barrie advance,Thursday,"52,221",CMCAC,03/31/13,$3.72,"$1,160","$1,160",T,10.0,161.0,10,2014
16,barrie advance,Tuesday,"52,221",CMCAC,03/31/13,$3.72,"$1,160","$1,160",T,10.0,161.0,10,2014
15,barrie advance,Thursday,"52,359",CMCAC,03/31/14,$3.72,"$1,160","$1,160",T,10.0,161.0,10.0,2015
15,barrie advance,Thursday,"52,317",CMCA,03/31/15,$3.72,,"$1,160",T,10.0,161.0,10.0,2016
15,barrie advance,Thursday,"52,759",CMCA,03/31/16,$3.72,,"$1,160",T,10.0,161.0,10.0,2017
14,barrie advance,Thursday,"52,277",CMCA,03/31/17,$3.72,,"$1,160",T,10.0,161.0,10.0,2018
14,barrie advance,Thursday,"51,148",CCAB,06/30/18,$3.72,,"$1,160",T,10.0,161.0,10.0,2019
14,barrie advance innisfil journal,Thursday,"62,969",CMCAC,09/30/12,$4.37,$670,"$2,320",T,10.0,175.0,10.0,2013
14,barrie advance innisfil journal,Thursday,"63,006",CMCAC,09/30/12,$4.77,"$2,320","$2,320",T,10.0,161.0,10,2014
16,barrie advance innisfil journal,Thursday,"63,357",CMCAC,03/31/14,$4.77,"$2,320","$2,320",T,10.0,161.0,10.0,2015
16,barrie advance innisfil journal,Thursday,"63,693",CMCA,03/31/15,$4.77,,"$2,320",T,10.0,161.0,10.0,2016
16,barrie advance innisfil journal,Thursday,"64,420",CMCA,03/31/16,$4.77,,"$2,320",T,10.0,161.0,10.0,2017
15,barrie advance innisfil journal,Thursday,"64,125",CMCA,03/31/17,$4.77,,"$2,320",T,10.0,161.0,10.0,2018
15,barrie advance innisfil journal,Thursday,"62,997",CCAB,06/30/18,$4.77,,"$2,320",T,10.0,161.0,10.0,2019
18,barrys bay the valley gazette,Wednesday,"1,174",CMCAP,04/30/12,$0.73,$118,$176,T,6.0,217.0,5.0,2013
18,barrys bay the valley gazette,Wednesday,"1,308",CMCAP,04/30/13,$0.73,$118,$176,T,6.0,217.0,5,2014
17,barrys bay the valley gazette,Wednesday,"1,471",CMCAP,10/31/13,$0.79,$176,$176,T,6.0,217.0,5.0,2015
17,barrys bay the valley gazette,Wednesday,"1,629",CMCA,04/30/15,$0.81,,$176,T,6.0,217.0,5.0,2016
17,barrys bay the valley gazette,Wednesday,"1,629",CMCA,04/30/15,$0.85,,$176,T,6.0,217.0,5.0,2017
16,barrys bay the valley gazette,Wednesday,"1,638",CMCA,04/30/17,$0.86,,$176,T,6.0,217.0,5.0,2018
16,barrys bay the valley gazette,Wednesday,"1,526",CMCA,04/30/18,$0.88,,$176,T,6.0,217.0,5.0,2019
17,barrys bay this week,Wednesday,"1,291",CMCAP,06/30/12,$0.80,$171,$235,T,9.0,158.0,3.0,2013
17,barrys bay this week,Wednesday,"1,292",CMCAP,12/31/12,$0.80,$171,$235,T,9.0,158.0,3,2014
19,beeton new tecumseth times,Thursday,"2,092",CMCAP,04/30/12,$1.02,$158,$473,T,6.0,210.0,5.0,2013
19,beeton new tecumseth times,Thursday,"1,853",CMCAP,04/30/13,$1.02,$88,$176,T,6.0,210.0,5,2014
18,beeton new tecumseth times,Thursday,"1,409",CMCAP,04/30/14,$1.02,$88,$176,T,6.0,210.0,5.0,2015
18,beeton new tecumseth times,Thursday,"1,409",CMCA,04/30/14,$1.02,,$176,T,6.0,210.0,5.0,2016
18,beeton new tecumseth times,Thursday,"1,273",CMCA,04/30/15,$1.02,,$176,T,6.0,210.0,5.0,2017
17,beeton new tecumseth times,Thursday,"1,279",CMCA,12/31/15,$1.02,,$176,T,6.0,210.0,5.0,2018
17,beeton new tecumseth times,Thursday,"1,077",CMCA,12/31/16,$0.84,,$176,T,6.0,210.0,5.0,2019
20,belle river lakeshore news,Thursday,"9,429",CMCAC,06/30/12,$0.91,$129,$388,T,6.0,204.0,5.0,2013
20,belle river lakeshore news,Thursday,"9,416",CMCAC,12/31/12,$0.91,$129,$388,T,6.0,204.0,5,2014
19,belle river lakeshore news,Thursday,"9,385",CMCAC,06/30/14,$0.95,$136,$408,T,6.0,204.0,5.0,2015
19,belle river lakeshore news,Thursday,"9,383",CMCA,12/31/14,$0.95,,$408,T,6.0,204.0,5.0,2016
19,belle river lakeshore news,Thursday,"9,402",CMCA,12/31/15,$1.00,,$428,T,6.0,204.0,5.0,2017
18,belle river lakeshore news,Thursday,"9,409",CMCA,12/31/16,$1.09,,$428,T,6.0,204.0,5.0,2018
18,belle river lakeshore news,Thursday,"9,409",CMCA,12/31/16,$1.09,,$428,B,6.0,287.0,5.0,2019
22,belleville news,Thursday,"23,146",CMCAC,03/31/12,$1.47,$335,"$1,160",T,6.0,218.0,5.0,2013
22,belleville news,Thursday,"24,279",CMCAC,12/31/12,$1.28,"$1,160","$1,160",T,10.0,189.0,10,2014
21,belleville news,Thursday,"22,354",CMCAC,12/31/13,$1.51,"$1,160","$1,160",T,10.0,161.0,10.0,2015
21,belleville news,Thursday,"22,872",CMCA,12/31/14,$1.51,,"$1,160",T,10.0,161.0,10.0,2016
21,belleville news,Thursday,"22,628",CMCA,12/31/15,$1.51,,"$1,160",T,10.0,161.0,10.0,2017
21,belleville region the community press,Thursday,"45,279",CMCAC,06/30/12,$2.12,$276,$553,T,9.0,160.0,3.0,2013
21,belleville region the community press,Thursday,"46,122",CMCAC,12/31/12,$1.73,$176,$176,T,9.0,160.0,3,2014
20,belleville region the community press,Thursday,"45,644",CMCAC,06/30/14,$1.73,$176,$176,T,9.0,160.0,3.0,2015
20,belleville region the community press,Thursday,"45,939",CMCA,12/31/14,$1.73,,$176,T,9.0,160.0,3.0,2016
20,belleville region the community press,Thursday,"46,391",CMCA,12/31/15,$1.73,,$176,T,9.0,160.0,3.0,2017
19,belleville region the community press,Thursday,"46,391",CMCA,12/31/15,$1.73,,$176,T,10.0,160.0,10.0,2018
19,belleville region the community press,Thursday,"46,391",CMCA,12/31/15,$1.73,,$176,T,10.0,160.0,10.0,2019
23,blenheim news tribune,Wednesday,"2,271",ABC,03/31/12,$0.52,$94,$153,T,6.0,224.0,5.0,2013
23,blenheim news tribune,Wednesday,"2,241",ABC,03/31/13,$0.52,$94,$153,T,6.0,224.0,5,2014
22,blenheim news tribune,Wednesday,"2,272",AAM,09/30/13,$0.52,$94,$153,T,6.0,224.0,5.0,2015
22,blenheim news tribune,Wednesday,"2,112",AAM,03/31/15,$0.54,,$176,T,6.0,224.0,5.0,2016
22,blenheim news tribune,Wednesday,"2,112",AAM,03/31/15,$0.54,,$176,T,6.0,224.0,5.0,2017
20,blenheim news tribune,Wednesday,"2,088",AAM,12/31/15,$0.54,,$176,T,6.0,224.0,5.0,2018
20,blenheim news tribune,Wednesday,"2,088",AAM,12/31/15,$0.54,,$176,T,6.0,224.0,5.0,2019
24,blyth brussels citizen,Thursday,"1,844",CMCAP,08/31/12,$0.39,$71,$235,T,9.0,210.0,3.0,2013
24,blyth brussels citizen,Thursday,"1,820",CMCAP,02/28/13,$0.40,$71,$235,T,9.0,210.0,3,2014
23,blyth brussels citizen,Thursday,"1,798",CMCAP,02/28/14,$0.41,$71,$235,T,9.0,210.0,3.0,2015
23,blyth brussels citizen,Thursday,"1,762",CMCA,02/28/15,$0.42,,$235,T,9.0,210.0,3.0,2016
23,blyth brussels citizen,Thursday,"1,756",CMCA,02/28/16,$0.44,,$235,T,9.0,210.0,3.0,2017
21,blyth brussels citizen,Thursday,"1,775",CMCA,02/28/17,$0.79,,$235,T,5.0,210.0,4.0,2018
21,blyth brussels citizen,Thursday,"1,846",CMCA,02/28/18,$0.82,,$235,T,5.0,210.0,4.0,2019
25,bracebridge examiner,Wednesday,"2,708",CMCAP,04/30/12,$1.32,$335,"$1,160",B,10.0,301.0,10.0,2013
25,bracebridge examiner,Thursday,"8,849",PS,,$2.21,"$1,160","$1,160",T,10.0,161.0,10,2014
24,bracebridge examiner,Thursday,"8,974",CMCAC,04/30/14,$2.21,"$1,160","$1,160",T,10.0,161.0,10.0,2015
24,bracebridge examiner,Thursday,"8,609",CMCA,04/30/15,$2.21,,"$1,160",T,10.0,161.0,10.0,2016
24,bracebridge examiner,Thursday,"8,609",CMCA,04/30/15,$2.21,,"$1,160",T,10.0,161.0,10.0,2017
22,bracebridge examiner,Thursday,"7,970",CMCA,04/30/17,$2.21,,"$1,160",T,10.0,161.0,10.0,2018
22,bracebridge examiner,Thursday,"7,970",CMCA,04/30/17,$2.21,,"$1,160",T,10.0,161.0,10.0,2019
26,bradford west gwillimbury topic,Thursday,"9,050",CCAB,03/31/12,$1.37,$335,"$1,160",T,10.0,175.0,10.0,2013
26,bradford west gwillimbury topic,Thursday,"9,507",CCAB,03/31/13,$1.50,"$1,160","$1,160",T,10.0,161.0,10,2014
25,bradford west gwillimbury topic,Thursday,"10,330",CCAB,03/31/14,$1.50,"$1,160","$1,160",T,10.0,161.0,10.0,2015
25,bradford west gwillimbury topic,Thursday,"10,224",CCAB,03/31/15,$1.50,,"$1,160",T,10.0,161.0,10.0,2016
25,bradford west gwillimbury topic,Thursday,"10,538",CMCA,12/31/15,$1.50,,"$1,160",T,10.0,161.0,10.0,2017
23,bradford west gwillimbury topic,Thursday,"10,538",CMCA,12/31/15,$1.50,,"$1,160",T,10.0,161.0,10.0,2018
23,bradford west gwillimbury topic,Thursday,"10,434",CCAB,06/30/18,$1.50,,"$1,160",T,10.0,161.0,10.0,2019
27,brampton guardian,Friday,"118,875",CCAB,03/31/12,$5.66,$335,"$1,160",T,10.0,175.0,10.0,2013
28,brampton guardian,Thursday,"117,857",CCAB,03/31/12,$5.66,$335,"$1,160",T,10.0,175.0,10.0,2013
29,brampton guardian,Wednesday,"118,064",CCAB,03/31/12,$5.66,$335,"$1,160",T,10.0,175.0,10.0,2013
27,brampton guardian,Friday,"112,109",CCAB,03/31/13,$5.07,"$1,160","$1,160",T,10.0,161.0,10,2014
28,brampton guardian,Thursday,"123,247",CCAB,03/31/13,$5.07,"$1,160","$1,160",T,10.0,161.0,10,2014
29,brampton guardian,Wednesday,"112,430",CCAB,03/31/13,$5.07,"$1,160","$1,160",T,10.0,161.0,10,2014
26,brampton guardian,Friday,"111,746",CCAB,03/31/14,$5.07,"$1,160","$1,160",T,10.0,161.0,10.0,2015
27,brampton guardian,Thursday,"126,420",CCAB,03/31/14,$5.07,"$1,160","$1,160",T,10.0,161.0,10.0,2015
28,brampton guardian,Wednesday,"114,175",CCAB,03/31/14,$5.07,"$1,160","$1,160",T,10.0,161.0,10.0,2015
26,brampton guardian,Friday,"115,738",CCAB,03/31/15,$5.07,,"$1,160",T,10.0,161.0,10.0,2016
27,brampton guardian,Thursday,"129,139",CCAB,03/31/15,$5.07,,"$1,160",T,10.0,161.0,10.0,2016
26,brampton guardian,Friday,"116,447",CCAB,03/31/16,$5.07,,"$1,160",T,10.0,161.0,10.0,2017
27,brampton guardian,Thursday,"129,958",CCAB,03/31/16,$5.07,,"$1,160",T,10.0,161.0,10.0,2017
24,brampton guardian,Thursday,"129,958",CCAB,03/31/16,$5.07,,"$1,160",T,10.0,161.0,10.0,2018
24,brampton guardian,Thursday,"137,258",CCAB,06/30/18,$5.07,,"$1,160",T,10.0,161.0,10.0,2019
30,brantford brant news,Thursday,"48,334",CCAB,03/31/12,$2.53,$335,"$1,160",T,6.0,190.0,5.0,2013
30,brantford brant news,Thursday,"48,299",CCAB,03/31/13,$1.85,"$1,160","$1,160",T,10.0,161.0,10,2014
30,brantford brant news,Thursday,"48,675",CCAB,03/31/14,$1.85,"$1,160","$1,160",T,10.0,161.0,10.0,2015
29,brantford brant news,Thursday,"48,869",CCAB,03/31/15,$1.85,,"$1,160",T,10.0,161.0,10.0,2016
29,brantford brant news,Thursday,"49,012",CCAB,03/31/16,$1.85,,"$1,160",T,10.0,161.0,10.0,2017
29,brantford expositor your tmc newspaper,Thursday,"47,465",CCAB,12/31/13,$2.51,$235,$471,B,10.0,287.0,3.0,2015
28,brantford expositor your tmc newspaper,Thursday,"43,096",CCAB,12/31/14,$2.51,,$471,B,10.0,287.0,3.0,2016
28,brantford expositor your tmc newspaper,Thursday,"43,096",CCAB,12/31/14,$2.51,,$471,B,10.0,287.0,10.0,2017
25,brantford expositor your tmc newspaper,Thursday,"42,817",CCAB,12/31/15,$2.58,,$485,B,10.0,287.0,10.0,2018
31,brantford your brant connection,Thursday,"51,463",PS,,$1.21,$121,$364,T,9.0,160.0,3.0,2013
32,brighton independent,Thursday,"16,983",CMCAC,02/28/09,$1.72,$335,"$1,160",T,10.0,175.0,10.0,2013
31,brighton independent,Thursday,"7,251",PS,,$0.55,"$1,160","$1,160",T,10.0,189.0,10,2014
31,brighton independent,Thursday,"7,251",PS,,$0.64,"$1,160","$1,160",T,10.0,161.0,10.0,2015
30,brighton independent,Thursday,"7,775",CMCA,12/31/14,$0.64,,"$1,160",T,10.0,161.0,10.0,2016
30,brighton independent,Thursday,"7,876",CMCA,12/31/15,$0.64,,"$1,160",T,10.0,161.0,10.0,2017
26,brighton independent,Thursday,"7,874",CMCA,12/31/16,$0.64,,"$1,160",T,10.0,161.0,10.0,2018
25,brighton independent,Thursday,"7,889",CMCA,12/31/17,$0.64,,"$1,160",T,10.0,161.0,10.0,2019
33,brighton independent northumberland news,Thursday,"39,735",CMCAC,03/31/12,$3.81,$670,"$2,320",T,10.0,175.0,10.0,2013
34,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.58,$335,"$1,160",T,10.0,175.0,10.0,2013
32,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,"$1,160","$1,160",T,10.0,161.0,10,2014
32,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,"$1,160","$1,160",T,10.0,161.0,10.0,2015
31,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2016
31,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2017
27,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2018
26,brock citizen,Thursday,"5,497",CCAB,09/30/11,$1.73,,"$1,160",T,10.0,161.0,10.0,2019
35,brockville st. lawrence emc,Thursday,"28,330",CMCAC,03/31/12,$1.39,$335,"$1,160",T,6.0,218.0,5.0,2013
33,brockville st. lawrence news,Thursday,"28,135",CMCAC,12/31/12,$0.97,"$1,160","$1,160",T,10.0,189.0,10,2014
33,brockville st. lawrence news,Thursday,"29,518",CMCAC,06/30/14,$1.14,"$1,160","$1,160",T,10.0,161.0,10.0,2015
32,brockville st. lawrence news,Thursday,"28,808",CMCA,12/31/14,$1.14,,"$1,160",T,10.0,161.0,10.0,2016
32,brockville st. lawrence news,Thursday,"30,466",CMCA,12/31/15,$1.14,,"$1,160",T,10.0,161.0,10.0,2017
36,bruce peninsula press,Monthly,"2,867",CMCAC,06/30/12,$0.75,$176,$176,T,8.0,224.0,6.0,2013
34,bruce peninsula press,Monthly,"3,080",CMCAC,12/31/12,$0.78,$176,$176,T,8.0,224.0,6,2014
34,bruce peninsula press,18x/year,"3,080",CMCAC,12/31/13,$0.80,$176,$176,T,8.0,224.0,6.0,2015
33,bruce peninsula press,18x/year,"3,021",CMCA,06/30/14,$0.82,,$176,T,8.0,196.0,6.0,2016
33,bruce peninsula press,18x/year,"2,861",CMCA,06/30/15,$0.85,,$176,T,8.0,196.0,6.0,2017
