,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs
27,0,Tuesday,B,2015,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
28,0,Tuesday,B,2016,alliston,alliston herald,metroland media group ltd.,670,ON,670,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
29,22860,Thursday,T,2016,alliston,alliston herald,metroland media group ltd.,0,ON,22860,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
30,23199,Thursday,T,2017,alliston,alliston herald,metroland media group ltd.,0,ON,23199,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
31,23229,Thursday,T,2018,alliston,alliston herald,metroland media group ltd.,0,ON,23229,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
32,22879,Thursday,T,2019,alliston,alliston herald,metroland media group ltd.,0,ON,22879,metroland media group ltd.,"['alliston ,ON, Canada']",34242,30234,13.3,13191,12906,124.9,274.21,41.8,27900,5375,9330,13190,435,3935,27900,26950,38281,33735,28800,4835,"[(44.1539369, -79.8692321)]",['New Tecumseth']
33,86,Thursday,B,2014,burks%20falls,almaguin news,metroland media group ltd.,2497,ON,2583,metroland media group ltd.,"['burks falls ,ON, Canada']",981,967,1.4,510,467,319.2,3.07,43,825,280,255,295,20,55,815,785,23216,980,945,40,"[(45.619853, -79.4118686)]","[""Burk's Falls""]"
34,205,Thursday,B,2015,burks%20falls,almaguin news,metroland media group ltd.,2318,ON,2523,metroland media group ltd.,"['burks falls ,ON, Canada']",981,967,1.4,510,467,319.2,3.07,43,825,280,255,295,20,55,815,785,23216,980,945,40,"[(45.619853, -79.4118686)]","[""Burk's Falls""]"
35,150,Thursday,B,2016,burks%20falls,almaguin news,metroland media group ltd.,2230,ON,2380,metroland media group ltd.,"['burks falls ,ON, Canada']",981,967,1.4,510,467,319.2,3.07,43,825,280,255,295,20,55,815,785,23216,980,945,40,"[(45.619853, -79.4118686)]","[""Burk's Falls""]"
36,95,Thursday,B,2017,burks%20falls,almaguin news,metroland media group ltd.,2123,ON,2218,metroland media group ltd.,"['burks falls ,ON, Canada']",981,967,1.4,510,467,319.2,3.07,43,825,280,255,295,20,55,815,785,23216,980,945,40,"[(45.619853, -79.4118686)]","[""Burk's Falls""]"
37,131,Thursday,B,2018,burks%20falls,almaguin news,metroland media group ltd.,1839,ON,1970,metroland media group ltd.,"['burks falls ,ON, Canada']",981,967,1.4,510,467,319.2,3.07,43,825,280,255,295,20,55,815,785,23216,980,945,40,"[(45.619853, -79.4118686)]","[""Burk's Falls""]"
38,104,Thursday,B,2019,burks%20falls,almaguin news,metroland media group ltd.,1519,ON,1623,metroland media group ltd.,"['burks falls ,ON, Canada']",981,967,1.4,510,467,319.2,3.07,43,825,280,255,295,20,55,815,785,23216,980,945,40,"[(45.619853, -79.4118686)]","[""Burk's Falls""]"
39,8985,Wednesday,T,2013,amherstburg,amherstburg river town times,river town times,0,ON,8985,river town times,"['amherstburg ,ON, Canada']",21936,21556,1.8,8951,8522,118.2,185.61,42.3,18095,3015,5845,9230,295,2950,18090,17285,39519,21655,19630,1995,"[(42.1013315, -83.1086458)]",['Amherstburg']
40,12823,Thursday,T,2013,ancaster,ancaster news,metroland media group ltd.,0,ON,12823,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
41,12927,Thursday,T,2014,ancaster,ancaster news,metroland media group ltd.,0,ON,12927,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
42,12725,Thursday,T,2015,ancaster,ancaster news,metroland media group ltd.,0,ON,12725,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
43,12710,Thursday,T,2016,ancaster,ancaster news,metroland media group ltd.,0,ON,12710,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
44,13041,Thursday,T,2017,ancaster,ancaster news,metroland media group ltd.,0,ON,13041,metroland media group ltd.,"['ancaster ,ON, Canada']",273929.5,265325.5,2.75,113797.5,107936,261.65,686.685,42.9,225242.5,44722.5,64087.5,116435,4160,45660,225242.5,215687.5,35990.5,269427.5,200617.5,65692.5,"[(43.225693, -79.976692)]",['Hamilton']
