,Newspaper,Issued,Circ,Audit,AuditDate,NatlLineRate,SpotColour,ProcessColour,Format,Columns,Lines,MaterialCode,Year
1758,aurora the auroran,Thursday,"18,184",CMCA,10/31/15,$0.57,,$176,B,8.0,301.0,9.0,2019
10,aylmer express,Wednesday,"3,516",ABC,03/31/12,$0.75,$118,$294,B,8.0,294.0,2.0,2013
319,aylmer express,Wednesday,"3,376",ABC,03/31/13,$0.77,$118,$294,B,8.0,294.0,2,2014
628,aylmer express,Wednesday,"3,421",AAM,09/30/13,$0.78,$118,$294,B,8.0,294.0,2.0,2015
934,aylmer express,Wednesday,"3,421",AAM,09/30/13,$0.79,,$294,B,8.0,294.0,2.0,2016
1230,aylmer express,Wednesday,"3,314",CMCA,09/30/14,$0.80,,$294,B,8.0,294.0,2.0,2017
1515,aylmer express,Wednesday,"3,090",CMCA,03/31/16,$0.81,,$294,B,8.0,294.0,2.0,2018
1759,aylmer express,Wednesday,"3,026",CMCA,05/31/16,$0.81,,$294,B,8.0,294.0,2.0,2019
11,ayr news,Wednesday,"3,204",CMCAP,07/31/12,$0.77,$118,$412,B,6.0,294.0,1.0,2013
320,ayr news,Wednesday,"3,209",CMCAP,01/31/13,$0.77,$118,$412,B,6.0,294.0,1,2014
629,ayr news,Wednesday,"3,099",CMCAP,07/31/14,$0.77,$118,$412,B,6.0,294.0,1.0,2015
935,ayr news,Wednesday,"3,082",CMCA,01/31/15,$0.77,,$412,B,6.0,294.0,1.0,2016
1231,ayr news,Wednesday,"3,052",CMCA,07/31/15,$1.40,,$412,T,5.0,193.0,4.0,2017
1516,ayr news,Wednesday,"2,875",CMCA,03/31/17,$1.40,,$412,T,5.0,193.0,4.0,2018
1760,ayr news,Wednesday,"2,747",CMCA,01/31/18,$1.40,,$412,T,5.0,193.0,4.0,2019
12,bancroft this week,Friday,"7,429",CMCAC,06/30/12,$0.97,$176,$176,T,9.0,157.0,3.0,2013
321,bancroft this week,Friday,"7,850",CMCAC,12/31/12,$0.97,$176,$176,T,9.0,160.0,3,2014
630,bancroft this week,Friday,"7,871",CMCAC,12/31/13,$0.82,$176,$176,T,9.0,189.0,3.0,2015
936,bancroft this week,Friday,"9,338",CMCA,12/31/14,$0.82,,$235,T,9.0,189.0,3.0,2016
1232,bancroft this week,Friday,"9,176",CMCA,06/30/15,$0.82,,$235,T,9.0,189.0,3.0,2017
1517,bancroft this week,Friday,"8,962",CMCA,12/31/15,$0.82,,$235,T,9.0,189.0,3.0,2018
1761,bancroft this week,Friday,"8,962",CMCA,12/31/15,$0.82,,$235,T,9.0,189.0,3.0,2019
13,bancroft times,Thursday,"3,840",CMCAP,10/31/12,$0.66,$188,$565,B,6.0,294.0,1.0,2013
322,bancroft times,Thursday,"3,840",CMCAP,10/31/12,$0.66,$188,$565,B,6.0,294.0,1,2014
631,bancroft times,Thursday,"3,131",CMCAP,04/30/14,$0.66,$188,$565,B,6.0,294.0,1.0,2015
937,bancroft times,Thursday,"3,383",CMCA,10/31/14,$0.66,,$565,B,6.0,294.0,1.0,2016
1233,bancroft times,Thursday,"3,193",CMCA,10/31/15,$0.66,,$565,B,6.0,294.0,1.0,2017
1518,bancroft times,Thursday,"2,699",CMCA,04/30/16,$0.66,,$565,B,6.0,294.0,1.0,2018
1762,bancroft times,Wednesday,"2,535",CMCA,04/30/17,$0.54,,$176,B,8.0,301.0,9.0,2019
632,barrhaven independent,1st/3rd Friday,"10,344",PS,,$0.65,$176,$353,T,6.0,220.0,5.0,2015
938,barrhaven independent,1st/3rd Friday,"10,344",PS,,$0.75,,$353,T,6.0,220.0,5.0,2016
1234,barrhaven independent,1st/3rd Friday,"10,344",PS,,$0.85,,$353,T,6.0,220.0,5.0,2017
1519,barrhaven independent,EO Friday,"6,700",CMCA,03/31/16,$1.11,,$353,T,6.0,168.0,5.0,2018
1763,barrhaven independent,EO Friday,"6,700",CMCA,03/31/16,$1.11,,$353,T,6.0,168.0,5.0,2019
15,barrie advance,Thursday,"52,243",CMCAC,09/30/12,$3.41,$335,"$1,160",T,10.0,175.0,10.0,2013
16,barrie advance,Tuesday,"52,243",CMCAC,09/30/12,$3.41,$335,"$1,160",T,10.0,175.0,10.0,2013
324,barrie advance,Thursday,"52,221",CMCAC,03/31/13,$3.72,"$1,160","$1,160",T,10.0,161.0,10,2014
325,barrie advance,Tuesday,"52,221",CMCAC,03/31/13,$3.72,"$1,160","$1,160",T,10.0,161.0,10,2014
633,barrie advance,Thursday,"52,359",CMCAC,03/31/14,$3.72,"$1,160","$1,160",T,10.0,161.0,10.0,2015
939,barrie advance,Thursday,"52,317",CMCA,03/31/15,$3.72,,"$1,160",T,10.0,161.0,10.0,2016
1235,barrie advance,Thursday,"52,759",CMCA,03/31/16,$3.72,,"$1,160",T,10.0,161.0,10.0,2017
1520,barrie advance,Thursday,"52,277",CMCA,03/31/17,$3.72,,"$1,160",T,10.0,161.0,10.0,2018
1764,barrie advance,Thursday,"51,148",CCAB,06/30/18,$3.72,,"$1,160",T,10.0,161.0,10.0,2019
14,barrie advance innisfil journal,Thursday,"62,969",CMCAC,09/30/12,$4.37,$670,"$2,320",T,10.0,175.0,10.0,2013
323,barrie advance innisfil journal,Thursday,"63,006",CMCAC,09/30/12,$4.77,"$2,320","$2,320",T,10.0,161.0,10,2014
634,barrie advance innisfil journal,Thursday,"63,357",CMCAC,03/31/14,$4.77,"$2,320","$2,320",T,10.0,161.0,10.0,2015
940,barrie advance innisfil journal,Thursday,"63,693",CMCA,03/31/15,$4.77,,"$2,320",T,10.0,161.0,10.0,2016
1236,barrie advance innisfil journal,Thursday,"64,420",CMCA,03/31/16,$4.77,,"$2,320",T,10.0,161.0,10.0,2017
1521,barrie advance innisfil journal,Thursday,"64,125",CMCA,03/31/17,$4.77,,"$2,320",T,10.0,161.0,10.0,2018
1765,barrie advance innisfil journal,Thursday,"62,997",CCAB,06/30/18,$4.77,,"$2,320",T,10.0,161.0,10.0,2019
18,barrys bay the valley gazette,Wednesday,"1,174",CMCAP,04/30/12,$0.73,$118,$176,T,6.0,217.0,5.0,2013
327,barrys bay the valley gazette,Wednesday,"1,308",CMCAP,04/30/13,$0.73,$118,$176,T,6.0,217.0,5,2014
635,barrys bay the valley gazette,Wednesday,"1,471",CMCAP,10/31/13,$0.79,$176,$176,T,6.0,217.0,5.0,2015
941,barrys bay the valley gazette,Wednesday,"1,629",CMCA,04/30/15,$0.81,,$176,T,6.0,217.0,5.0,2016
1237,barrys bay the valley gazette,Wednesday,"1,629",CMCA,04/30/15,$0.85,,$176,T,6.0,217.0,5.0,2017
1522,barrys bay the valley gazette,Wednesday,"1,638",CMCA,04/30/17,$0.86,,$176,T,6.0,217.0,5.0,2018
1766,barrys bay the valley gazette,Wednesday,"1,526",CMCA,04/30/18,$0.88,,$176,T,6.0,217.0,5.0,2019
17,barrys bay this week,Wednesday,"1,291",CMCAP,06/30/12,$0.80,$171,$235,T,9.0,158.0,3.0,2013
326,barrys bay this week,Wednesday,"1,292",CMCAP,12/31/12,$0.80,$171,$235,T,9.0,158.0,3,2014
19,beeton new tecumseth times,Thursday,"2,092",CMCAP,04/30/12,$1.02,$158,$473,T,6.0,210.0,5.0,2013
328,beeton new tecumseth times,Thursday,"1,853",CMCAP,04/30/13,$1.02,$88,$176,T,6.0,210.0,5,2014
636,beeton new tecumseth times,Thursday,"1,409",CMCAP,04/30/14,$1.02,$88,$176,T,6.0,210.0,5.0,2015
942,beeton new tecumseth times,Thursday,"1,409",CMCA,04/30/14,$1.02,,$176,T,6.0,210.0,5.0,2016
1238,beeton new tecumseth times,Thursday,"1,273",CMCA,04/30/15,$1.02,,$176,T,6.0,210.0,5.0,2017
1523,beeton new tecumseth times,Thursday,"1,279",CMCA,12/31/15,$1.02,,$176,T,6.0,210.0,5.0,2018
1767,beeton new tecumseth times,Thursday,"1,077",CMCA,12/31/16,$0.84,,$176,T,6.0,210.0,5.0,2019
20,belle river lakeshore news,Thursday,"9,429",CMCAC,06/30/12,$0.91,$129,$388,T,6.0,204.0,5.0,2013
329,belle river lakeshore news,Thursday,"9,416",CMCAC,12/31/12,$0.91,$129,$388,T,6.0,204.0,5,2014
637,belle river lakeshore news,Thursday,"9,385",CMCAC,06/30/14,$0.95,$136,$408,T,6.0,204.0,5.0,2015
943,belle river lakeshore news,Thursday,"9,383",CMCA,12/31/14,$0.95,,$408,T,6.0,204.0,5.0,2016
1239,belle river lakeshore news,Thursday,"9,402",CMCA,12/31/15,$1.00,,$428,T,6.0,204.0,5.0,2017
1524,belle river lakeshore news,Thursday,"9,409",CMCA,12/31/16,$1.09,,$428,T,6.0,204.0,5.0,2018
1768,belle river lakeshore news,Thursday,"9,409",CMCA,12/31/16,$1.09,,$428,B,6.0,287.0,5.0,2019
