,FreeCirculation,EDITION,Format,Year,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants,GPS,CSDs,first_year,equal_to_previous
1313,0.0,Wednesday,B,2014,deep%20river,north renfrew times,deep river community assn. inc.,1809.0,ON,1809.0,deep river community assn. inc.,"['deep river ,ON, Canada']",4109.0,4193.0,-2.0,1957.0,1823.0,82.0,50.13,45.1,3395.0,375.0,735.0,2280.0,40.0,1355.0,3395.0,3280.0,48717.0,4050.0,3280.0,755.0,"[(46.101328, -77.487602)]",['Deep River'],2014,False
1314,,Wednesday,B,2015,deep%20river,north renfrew times,deep river community assn. inc.,1831.0,ON,1831.0,deep river community assn. inc.,"['deep river ,ON, Canada']",4109.0,4193.0,-2.0,1957.0,1823.0,82.0,50.13,45.1,3395.0,375.0,735.0,2280.0,40.0,1355.0,3395.0,3280.0,48717.0,4050.0,3280.0,755.0,"[(46.101328, -77.487602)]",['Deep River'],2014,False
1315,,Wednesday,B,2016,deep%20river,north renfrew times,deep river community assn. inc.,1783.0,ON,1783.0,deep river community assn. inc.,"['deep river ,ON, Canada']",4109.0,4193.0,-2.0,1957.0,1823.0,82.0,50.13,45.1,3395.0,375.0,735.0,2280.0,40.0,1355.0,3395.0,3280.0,48717.0,4050.0,3280.0,755.0,"[(46.101328, -77.487602)]",['Deep River'],2014,False
1316,,Wednesday,B,2017,deep%20river,north renfrew times,deep river community assn. inc.,1661.0,ON,1661.0,deep river community assn. inc.,"['deep river ,ON, Canada']",4109.0,4193.0,-2.0,1957.0,1823.0,82.0,50.13,45.1,3395.0,375.0,735.0,2280.0,40.0,1355.0,3395.0,3280.0,48717.0,4050.0,3280.0,755.0,"[(46.101328, -77.487602)]",['Deep River'],2014,False
1317,,Wednesday,B,2018,deep%20river,north renfrew times,digest media inc.,1572.0,ON,1572.0,deep river community assn. inc.,"['deep river ,ON, Canada']",4109.0,4193.0,-2.0,1957.0,1823.0,82.0,50.13,45.1,3395.0,375.0,735.0,2280.0,40.0,1355.0,3395.0,3280.0,48717.0,4050.0,3280.0,755.0,"[(46.101328, -77.487602)]",['Deep River'],2014,False
1318,,Wednesday,B,2019,deep%20river,north renfrew times,digest media inc.,1468.0,ON,1468.0,digest media inc.,"['deep river ,ON, Canada']",4109.0,4193.0,-2.0,1957.0,1823.0,82.0,50.13,45.1,3395.0,375.0,735.0,2280.0,40.0,1355.0,3395.0,3280.0,48717.0,4050.0,3280.0,755.0,"[(46.101328, -77.487602)]",['Deep River'],2014,False
1319,115.0,Wednesday,T,2013,thessalon,north shore sentinel,rankin publications,1989.0,ON,2104.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1320,100.0,Wednesday,T,2014,thessalon,north shore sentinel,rankin publications,1801.0,ON,1901.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1321,131.0,Wednesday,T,2015,thessalon,north shore sentinel,rankin publications,1693.0,ON,1824.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1322,154.0,Wednesday,T,2016,thessalon,north shore sentinel,rankin publications,1742.0,ON,1896.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1323,118.0,Wednesday,T,2017,thessalon,north shore sentinel,rankin publications,1495.0,ON,1613.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1324,121.0,Wednesday,T,2018,thessalon,north shore sentinel,rankin publications,1552.0,ON,1673.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1325,110.0,Wednesday,T,2019,thessalon,north shore sentinel,rankin publications,1500.0,ON,1610.0,rankin publications,"['thessalon ,ON, Canada']",1286.0,1279.0,0.5,624.0,564.0,284.6,4.52,51.4,995.0,285.0,295.0,415.0,15.0,85.0,1025.0,995.0,30080.0,1175.0,1140.0,35.0,"[(46.2638311, -83.5483478)]",['Thessalon'],2013,False
1326,152.0,Wednesday,B,2014,parry%20sound,north star,metroland media group ltd.,2505.0,ON,2657.0,metroland media group ltd.,"['parry sound ,ON, Canada']",916.0,918.0,-0.2,1410.0,444.0,1.0,957.93,54.8,885.0,180.0,245.0,465.0,15.0,60.0,850.0,835.0,28640.0,930.0,845.0,85.0,"[(45.6675279, -80.1055284)]",['Whitestone'],2014,False
1327,50.0,Wednesday,B,2015,parry%20sound,north star,metroland media group ltd.,2231.0,ON,2281.0,metroland media group ltd.,"['parry sound ,ON, Canada']",916.0,918.0,-0.2,1410.0,444.0,1.0,957.93,54.8,885.0,180.0,245.0,465.0,15.0,60.0,850.0,835.0,28640.0,930.0,845.0,85.0,"[(45.6675279, -80.1055284)]",['Whitestone'],2014,False
1328,125.0,Wednesday,B,2016,parry%20sound,north star,metroland media group ltd.,2081.0,ON,2206.0,metroland media group ltd.,"['parry sound ,ON, Canada']",916.0,918.0,-0.2,1410.0,444.0,1.0,957.93,54.8,885.0,180.0,245.0,465.0,15.0,60.0,850.0,835.0,28640.0,930.0,845.0,85.0,"[(45.6675279, -80.1055284)]",['Whitestone'],2014,False
1329,110.0,Wednesday,B,2017,parry%20sound,north star,metroland media group ltd.,1862.0,ON,1972.0,metroland media group ltd.,"['parry sound ,ON, Canada']",916.0,918.0,-0.2,1410.0,444.0,1.0,957.93,54.8,885.0,180.0,245.0,465.0,15.0,60.0,850.0,835.0,28640.0,930.0,845.0,85.0,"[(45.6675279, -80.1055284)]",['Whitestone'],2014,False
1335,29566.0,12-times per year,T,2018,toronto,north toronto post,post city magazines,0.0,ON,29566.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2018,False
1336,28733.0,12-times per year,T,2019,toronto,north toronto post,post city magazines,,ON,28733.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2018,False
1330,29774.0,Monthly,T,2013,toronto,north toronto post,post city magazines,0.0,ON,29774.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2013,False
1331,29641.0,Monthly,T,2014,toronto,north toronto post,post city magazines,,ON,29641.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2013,False
1332,29566.0,Monthly,T,2015,toronto,north toronto post,post city magazines,,ON,29566.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2013,False
1333,,Monthly,T,2016,toronto,north toronto post,post city magazines,,ON,,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2013,True
1334,,Monthly,T,2017,toronto,north toronto post,post city magazines,,ON,,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2013,True
1340,21000.0,12-times per year,T,2018,toronto,north toronto town crier,streeter publications ltd.,0.0,ON,21000.0,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2018,False
1337,21000.0,Monthly,T,2015,toronto,north toronto town crier,streeter publications ltd.,0.0,ON,21000.0,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2015,False
1338,,Monthly,T,2016,toronto,north toronto town crier,streeter publications ltd.,,ON,,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2015,True
1339,,Monthly,T,2017,toronto,north toronto town crier,streeter publications ltd.,,ON,,streeter publications ltd.,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2015,True
1342,94375.0,Friday,T,2013,north%20york,north york mirror,metroland media group ltd.,0.0,ON,94375.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1343,94931.0,Friday,T,2014,north%20york,north york mirror,metroland media group ltd.,,ON,94931.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1346,,Friday,T,2015,north%20york,north york mirror,metroland media group ltd.,,ON,,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,True
1347,,Friday,T,2016,north%20york,north york mirror,metroland media group ltd.,,ON,,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,True
1349,,Friday,T,2017,north%20york,north york mirror,metroland media group ltd.,,ON,,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,True
1351,,Friday,T,2018,north%20york,north york mirror,metroland media group ltd.,,ON,,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,True
1341,94807.0,Thursday,T,2013,north%20york,north york mirror,metroland media group ltd.,0.0,ON,94807.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1344,95006.0,Thursday,T,2014,north%20york,north york mirror,metroland media group ltd.,,ON,95006.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1345,100647.0,Thursday,T,2015,north%20york,north york mirror,metroland media group ltd.,,ON,100647.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1348,96965.0,Thursday,T,2016,north%20york,north york mirror,metroland media group ltd.,,ON,96965.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1350,,Thursday,T,2017,north%20york,north york mirror,metroland media group ltd.,,ON,,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,True
1352,,Thursday,T,2018,north%20york,north york mirror,metroland media group ltd.,,ON,,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,True
1353,90856.0,Thursday,T,2019,north%20york,north york mirror,metroland media group ltd.,,ON,90856.0,metroland media group ltd.,"['north york ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.7543263, -79.44911696639593)]",['Toronto'],2013,False
1358,24483.0,12-times per year,T,2018,toronto,north york post,post city magazines,0.0,ON,24483.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2018,False
1359,23175.0,12-times per year,T,2019,toronto,north york post,post city magazines,,ON,23175.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2018,False
1354,24391.0,Monthly,T,2014,toronto,north york post,post city magazines,0.0,ON,24391.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2014,False
1355,24483.0,Monthly,T,2015,toronto,north york post,post city magazines,,ON,24483.0,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2014,False
1356,,Monthly,T,2016,toronto,north york post,post city magazines,,ON,,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2014,True
1357,,Monthly,T,2017,toronto,north york post,post city magazines,,ON,,post city magazines,"['toronto ,ON, Canada']",2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0,"[(43.6534817, -79.3839347)]",['Toronto'],2014,True
1361,37853.0,Thursday,T,2014,sudbury,northern life,laurentian media group,9283.0,ON,47136.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1362,37833.0,Thursday,T,2015,sudbury,northern life,laurentian media group,8406.0,ON,46239.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1364,37561.0,Thursday,T,2016,sudbury,northern life,laurentian media group,7572.0,ON,45133.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1367,,Thursday,T,2017,sudbury,northern life,laurentian media group,,ON,,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,True
1368,,Thursday,T,2018,sudbury,northern life,laurentian media group,,ON,,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,True
1370,39697.0,Thursday,T,2019,sudbury,northern life,laurentian media group,4932.0,ON,44629.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1360,29460.0,Tuesday,T,2014,sudbury,northern life,laurentian media group,8795.0,ON,38255.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1363,29428.0,Tuesday,T,2015,sudbury,northern life,laurentian media group,7959.0,ON,37387.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1365,29168.0,Tuesday,T,2016,sudbury,northern life,laurentian media group,7191.0,ON,36359.0,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,False
1366,,Tuesday,T,2017,sudbury,northern life,laurentian media group,,ON,,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,True
1369,,Tuesday,T,2018,sudbury,northern life,laurentian media group,,ON,,laurentian media group,"['sudbury ,ON, Canada']",161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0,"[(46.49272, -80.991211)]",['Greater Sudbury / Grand Sudbury'],2014,True
1373,1679.0,Friday,T,2016,kirkland%20lake,northern news,sun media corporation,0.0,ON,1679.0,postmedia network inc.,"['kirkland lake ,ON, Canada']",7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0,"[(48.154177, -80.031281)]",['Kirkland Lake'],2016,False
1376,,Friday,T,2017,kirkland%20lake,northern news,postmedia network inc.,,ON,,postmedia network inc.,"['kirkland lake ,ON, Canada']",7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0,"[(48.154177, -80.031281)]",['Kirkland Lake'],2016,True
1372,1679.0,Monday,T,2016,kirkland%20lake,northern news,sun media corporation,0.0,ON,1679.0,postmedia network inc.,"['kirkland lake ,ON, Canada']",7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0,"[(48.154177, -80.031281)]",['Kirkland Lake'],2016,False
1375,,Monday,T,2017,kirkland%20lake,northern news,postmedia network inc.,,ON,,postmedia network inc.,"['kirkland lake ,ON, Canada']",7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0,"[(48.154177, -80.031281)]",['Kirkland Lake'],2016,True
1377,,Monday,B,2018,kirkland%20lake,northern news,postmedia network inc.,,ON,,postmedia network inc.,"['kirkland lake ,ON, Canada']",7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0,"[(48.154177, -80.031281)]",['Kirkland Lake'],2016,True
1371,1679.0,Wednesday,T,2016,kirkland%20lake,northern news,sun media corporation,0.0,ON,1679.0,postmedia network inc.,"['kirkland lake ,ON, Canada']",7981.0,8493.0,-6.0,4466.0,3814.0,30.4,262.13,43.8,6540.0,1860.0,1640.0,3035.0,85.0,625.0,6545.0,6295.0,31396.0,7745.0,7455.0,280.0,"[(48.154177, -80.031281)]",['Kirkland Lake'],2016,False
