,index,ID,Year,FreeCirculation,TotalCirculation,PaidCirculation,Swap2017Affected,Owner,AdvCirc,NatlLineRate,SpotColour,ProcessColour,MarketAndNewspaper,AdvNewspaper,Newspaper,CSDs,Year_only
160,455,261.0,2018,49988.0,49988.0,0.0,0.0,metroland media group ltd.,49984.0,3.06,,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2018
161,456,261.0,2019,48752.0,48752.0,0.0,0.0,metroland media group ltd.,49497.0,3.06,,1160.0,hamilton mountain news,hamilton mountain news,mountain news,['Hamilton'],2019
162,457,265.0,2015,25850.0,25850.0,0.0,0.0,metroland media group ltd.,27187.0,2.97,1160.0,1160.0,muskoka muskokaregion.com,muskoka muskokaregion.com,muskokaregion.com,['Bracebridge'],2015
163,458,265.0,2016,26108.0,26108.0,0.0,0.0,metroland media group ltd.,25850.0,2.97,,1160.0,muskoka muskokaregion.com,muskoka muskokaregion.com,muskokaregion.com,['Bracebridge'],2016
164,459,265.0,2017,25991.0,25991.0,0.0,0.0,metroland media group ltd.,25850.0,2.97,,1160.0,muskoka muskokaregion.com,muskoka muskokaregion.com,muskokaregion.com,['Bracebridge'],2017
165,460,265.0,2018,25398.0,25398.0,0.0,0.0,metroland media group ltd.,25991.0,2.97,,1160.0,muskoka muskokaregion.com,muskoka muskokaregion.com,muskokaregion.com,['Bracebridge'],2018
166,461,265.0,2019,25494.0,25494.0,0.0,0.0,metroland media group ltd.,25494.0,2.97,,1160.0,muskoka muskokaregion.com,muskoka muskokaregion.com,muskokaregion.com,['Bracebridge'],2019
167,462,266.0,2013,15531.0,15531.0,0.0,0.0,napanee beaver ltd.,15503.0,0.8,71.0,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2013
168,463,266.0,2014,15785.0,15785.0,0.0,0.0,napanee beaver ltd.,15531.0,0.8,71.0,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2014
169,464,266.0,2015,15752.0,15752.0,0.0,0.0,napanee beaver ltd.,15785.0,0.8,71.0,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2015
170,465,266.0,2016,,,0.0,0.0,napanee beaver ltd.,15752.0,0.91,,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2016
171,466,266.0,2017,15746.0,15746.0,0.0,0.0,napanee beaver ltd.,15752.0,0.91,,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2017
172,467,266.0,2018,15786.0,15786.0,0.0,0.0,napanee beaver ltd.,15746.0,0.91,,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2018
173,468,266.0,2019,15914.0,15914.0,0.0,0.0,napanee beaver ltd.,15786.0,0.91,,106.0,napanee beaver,napanee beaver,napanee beaver,['Greater Napanee'],2019
174,469,267.0,2013,14980.0,14980.0,0.0,0.0,sun media corporation,14965.0,0.77,194.0,429.0,napanee guide,napanee guide,napanee guide,"['Brudenell', 'Lyndoch and Raglan', 'Stone Mills', 'Greater Napanee']",2013
175,470,267.0,2014,14948.0,14948.0,0.0,0.0,sun media corporation,14980.0,0.78,194.0,429.0,napanee guide,napanee guide,napanee guide,"['Brudenell', 'Lyndoch and Raglan', 'Stone Mills', 'Greater Napanee']",2014
176,471,267.0,2015,14833.0,14833.0,0.0,0.0,sun media corporation,14948.0,0.78,194.0,429.0,napanee guide,napanee guide,napanee guide,"['Brudenell', 'Lyndoch and Raglan', 'Stone Mills', 'Greater Napanee']",2015
177,472,267.0,2016,14939.0,14939.0,0.0,0.0,sun media corporation,14833.0,0.78,,429.0,napanee guide,napanee guide,napanee guide,"['Brudenell', 'Lyndoch and Raglan', 'Stone Mills', 'Greater Napanee']",2016
178,473,267.0,2017,15022.0,15022.0,0.0,0.0,postmedia network inc.,14939.0,0.78,,429.0,napanee guide,napanee guide,napanee guide,"['Brudenell', 'Lyndoch and Raglan', 'Stone Mills', 'Greater Napanee']",2017
179,474,267.0,2018,14992.0,14992.0,0.0,0.0,postmedia network inc.,15022.0,0.78,,429.0,napanee guide,napanee guide,napanee guide,['Greater Napanee'],2018
180,475,267.0,2019,,,0.0,0.0,postmedia network inc.,15022.0,0.78,,429.0,napanee guide,napanee guide,napanee guide,['Greater Napanee'],2019
181,487,287.0,2013,53802.0,53802.0,0.0,0.0,metroland media group ltd.,52714.0,4.52,335.0,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2013
182,488,287.0,2014,54382.0,54382.0,0.0,0.0,metroland media group ltd.,53596.0,4.94,1160.0,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2014
183,489,287.0,2015,53818.0,53818.0,0.0,0.0,metroland media group ltd.,53619.0,4.94,1160.0,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2015
184,490,287.0,2016,52833.0,52833.0,0.0,0.0,metroland media group ltd.,53950.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2016
185,491,287.0,2017,,,0.0,0.0,metroland media group ltd.,52833.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2017
186,492,287.0,2018,,,0.0,0.0,metroland media group ltd.,52624.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2018
187,493,287.0,2019,52925.0,52925.0,0.0,0.0,metroland media group ltd.,53176.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2019
188,494,288.0,2013,53802.0,53802.0,0.0,0.0,metroland media group ltd.,52732.0,4.52,335.0,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2013
189,495,288.0,2014,54394.0,54394.0,0.0,0.0,metroland media group ltd.,53584.0,4.94,1160.0,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2014
190,496,288.0,2015,53813.0,53813.0,0.0,0.0,metroland media group ltd.,53619.0,4.94,1160.0,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2015
191,497,288.0,2016,52855.0,52855.0,0.0,0.0,metroland media group ltd.,53965.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2016
192,498,288.0,2017,,,0.0,0.0,metroland media group ltd.,52855.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2017
193,499,288.0,2018,,,0.0,0.0,metroland media group ltd.,52574.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2018
194,500,288.0,2019,52118.0,52118.0,0.0,0.0,metroland media group ltd.,53217.0,4.94,,1160.0,ajax pickering news advertiser,ajax pickering news advertiser,news advertiser,"['Pickering', 'Ajax']",2019
195,515,295.0,2013,179700.0,179700.0,0.0,1.0,metroland media group ltd.,167300.0,3.79,335.0,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2013
196,516,295.0,2014,151925.0,151925.0,0.0,1.0,metroland media group ltd.,180050.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2014
197,517,295.0,2015,159755.0,159755.0,0.0,1.0,metroland media group ltd.,151925.0,3.86,1160.0,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2015
198,518,295.0,2016,155941.0,155941.0,0.0,1.0,metroland media group ltd.,159597.0,3.86,,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2016
199,519,295.0,2017,,,0.0,1.0,metroland media group ltd.,159597.0,3.86,,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2017
200,520,295.0,2018,157386.0,157386.0,0.0,1.0,metroland media group ltd.,157002.0,3.86,,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2018
201,521,295.0,2019,156690.0,156690.0,0.0,1.0,metroland media group ltd.,156928.0,3.86,,1160.0,niagara this week,niagara this week,niagara this week,['Pelham'],2019
202,543,310.0,2013,94807.0,94807.0,0.0,0.0,metroland media group ltd.,94915.0,7.73,335.0,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2013
203,544,310.0,2014,95006.0,95006.0,0.0,0.0,metroland media group ltd.,94743.0,8.44,1160.0,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2014
204,545,310.0,2015,100647.0,100647.0,0.0,0.0,metroland media group ltd.,97046.0,8.44,1160.0,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2015
205,546,310.0,2016,96965.0,96965.0,0.0,0.0,metroland media group ltd.,98013.0,8.44,,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2016
206,547,310.0,2017,,,0.0,0.0,metroland media group ltd.,96965.0,8.44,,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2017
207,548,310.0,2018,,,0.0,0.0,metroland media group ltd.,93964.0,8.69,,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2018
208,549,310.0,2019,90856.0,90856.0,0.0,0.0,metroland media group ltd.,90896.0,8.69,,1160.0,north york mirror,north york mirror,north york mirror,['Toronto'],2019
210,558,322.0,2015,22717.0,22717.0,0.0,1.0,metroland media group ltd.,22731.0,2.75,1160.0,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,"['Cramahe', 'Port Hope', 'Cobourg']",2015
211,559,322.0,2016,22631.0,22631.0,0.0,1.0,metroland media group ltd.,22722.0,2.75,,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,"['Cramahe', 'Port Hope', 'Cobourg']",2016
212,560,322.0,2017,,,0.0,1.0,metroland media group ltd.,22631.0,2.75,,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,"['Cramahe', 'Port Hope', 'Cobourg']",2017
213,561,322.0,2018,,,0.0,1.0,metroland media group ltd.,22460.0,2.75,,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,"['Cramahe', 'Port Hope', 'Cobourg']",2018
214,562,322.0,2019,22378.0,22378.0,0.0,1.0,metroland media group ltd.,22338.0,2.75,,1160.0,cobourg port hope colborne northumberland news,northumberland news,northumberland news,"['Cramahe', 'Port Hope', 'Cobourg']",2019
216,580,351.0,2013,11930.0,11930.0,0.0,0.0,metroland media group ltd.,11763.0,0.69,335.0,1160.0,perth courier,perth courier,perth courier,['Perth East'],2013
217,581,351.0,2014,12232.0,12232.0,0.0,0.0,metroland media group ltd.,11930.0,0.48,1160.0,1160.0,perth courier,perth courier,perth courier,['Perth East'],2014
218,582,351.0,2015,12467.0,12467.0,0.0,0.0,metroland media group ltd.,12345.0,0.57,1160.0,1160.0,perth courier,perth courier,perth courier,['Perth East'],2015
219,583,351.0,2016,11722.0,11722.0,0.0,0.0,metroland media group ltd.,12467.0,0.57,,1160.0,perth courier,perth courier,perth courier,['Perth East'],2016
220,584,351.0,2017,11765.0,11765.0,0.0,0.0,metroland media group ltd.,11722.0,0.57,,1160.0,perth courier,perth courier,perth courier,['Perth East'],2017
221,585,351.0,2018,11702.0,11702.0,0.0,0.0,metroland media group ltd.,11765.0,0.57,,1160.0,perth courier,perth courier,perth courier,['Perth East'],2018
222,586,351.0,2019,11686.0,11686.0,0.0,0.0,metroland media group ltd.,11828.0,0.57,,1160.0,perth courier,perth courier,perth courier,['Perth East'],2019
223,587,352.0,2013,45490.0,45490.0,0.0,1.0,metroland media group ltd.,45647.0,3.91,335.0,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2013
224,588,352.0,2014,45095.0,45095.0,0.0,1.0,metroland media group ltd.,45313.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2014
225,589,352.0,2015,44314.0,44314.0,0.0,1.0,metroland media group ltd.,44719.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2015
226,590,352.0,2016,43968.0,43968.0,0.0,1.0,metroland media group ltd.,44465.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2016
227,591,352.0,2017,,,0.0,1.0,metroland media group ltd.,43968.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2017
228,592,352.0,2018,,,0.0,1.0,metroland media group ltd.,43195.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2018
229,593,352.0,2019,42145.0,42145.0,0.0,1.0,metroland media group ltd.,41715.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2019
230,594,353.0,2013,46050.0,46050.0,0.0,1.0,metroland media group ltd.,45970.0,3.91,335.0,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2013
231,595,353.0,2014,45686.0,45686.0,0.0,1.0,metroland media group ltd.,45794.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2014
232,596,353.0,2015,44901.0,44901.0,0.0,1.0,metroland media group ltd.,45276.0,4.28,1160.0,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2015
233,597,353.0,2016,44528.0,44528.0,0.0,1.0,metroland media group ltd.,45043.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2016
234,598,353.0,2017,,,0.0,1.0,metroland media group ltd.,44528.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2017
235,599,353.0,2018,,,0.0,1.0,metroland media group ltd.,43797.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2018
236,600,353.0,2019,42165.0,42165.0,0.0,1.0,metroland media group ltd.,42182.0,4.28,,1160.0,peterborough this week,peterborough this week,peterborough this week,['Peterborough'],2019
237,601,356.0,2013,11931.0,11931.0,0.0,0.0,napanee beaver ltd.,11955.0,0.79,71.0,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2013
238,602,356.0,2014,12102.0,12102.0,0.0,0.0,napanee beaver ltd.,11931.0,0.79,71.0,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2014
239,603,356.0,2015,11548.0,11548.0,0.0,0.0,napanee beaver ltd.,11955.0,0.79,71.0,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2015
240,604,356.0,2016,11426.0,11426.0,0.0,0.0,napanee beaver ltd.,11548.0,0.89,,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2016
241,605,356.0,2017,11450.0,11450.0,0.0,0.0,napanee beaver ltd.,11426.0,0.89,,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2017
242,606,356.0,2018,11377.0,11377.0,0.0,0.0,napanee beaver ltd.,11450.0,0.91,,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2018
243,607,356.0,2019,11778.0,11778.0,0.0,0.0,napanee beaver ltd.,11377.0,0.91,,106.0,prince edward picton gazette,picton gazette,picton gazette,['Prince Edward County'],2019
244,622,368.0,2013,15290.0,15290.0,0.0,0.0,metroland media group ltd.,15286.0,1.15,335.0,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2013
245,623,368.0,2014,15587.0,15587.0,0.0,0.0,metroland media group ltd.,15290.0,0.8,1160.0,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2014
246,624,368.0,2015,15624.0,15624.0,0.0,0.0,metroland media group ltd.,15564.0,0.94,1160.0,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2015
247,625,368.0,2016,14519.0,14519.0,0.0,0.0,metroland media group ltd.,13121.0,0.94,,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2016
248,626,368.0,2017,13359.0,13359.0,0.0,0.0,metroland media group ltd.,14519.0,0.94,,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2017
249,627,368.0,2018,13319.0,13319.0,0.0,0.0,metroland media group ltd.,13359.0,0.94,,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2018
250,628,368.0,2019,11563.0,11563.0,0.0,0.0,metroland media group ltd.,11942.0,0.94,,1160.0,renfrew mercury,renfrew mercury,renfrew mercury,['Laurentian Valley'],2019
251,636,373.0,2013,8985.0,8985.0,0.0,0.0,river town times,8986.0,0.77,88.0,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2013
252,637,373.0,2014,9177.0,9177.0,0.0,0.0,river town times,8985.0,0.79,88.0,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2014
253,638,373.0,2015,9185.0,9185.0,0.0,0.0,river town times,9177.0,0.79,88.0,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2015
254,639,373.0,2016,9133.0,9133.0,0.0,0.0,river town times,9185.0,0.79,,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2016
255,640,373.0,2017,9280.0,9280.0,0.0,0.0,river town times,9133.0,0.79,,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2017
256,641,373.0,2018,9442.0,9442.0,0.0,0.0,southpoint publishing inc.,9280.0,0.79,,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2018
257,642,373.0,2019,9478.0,9478.0,0.0,0.0,southpoint publishing inc.,9442.0,0.79,,382.0,amherstburg river town times,amherstburg river town times,river town times,['Amherstburg'],2019
258,643,381.0,2014,118726.0,118726.0,0.0,0.0,metroland media group ltd.,119652.0,8.93,1160.0,1160.0,scarborough mirror,scarborough mirror,scarborough mirror,['Toronto'],2014
259,644,381.0,2015,123298.0,123298.0,0.0,0.0,metroland media group ltd.,118432.0,8.93,1160.0,1160.0,scarborough mirror,scarborough mirror,scarborough mirror,['Toronto'],2015
260,645,381.0,2016,123762.0,123762.0,0.0,0.0,metroland media group ltd.,121745.0,8.93,,1160.0,scarborough mirror,scarborough mirror,scarborough mirror,['Toronto'],2016
261,646,381.0,2017,,,0.0,0.0,metroland media group ltd.,123762.0,8.93,,1160.0,scarborough mirror,scarborough mirror,scarborough mirror,['Toronto'],2017
262,647,381.0,2018,,,0.0,0.0,metroland media group ltd.,122607.0,9.2,,1160.0,scarborough mirror,scarborough mirror,scarborough mirror,['Toronto'],2018
263,648,381.0,2019,120288.0,120288.0,0.0,0.0,metroland media group ltd.,120372.0,9.2,,1160.0,scarborough mirror,scarborough mirror,scarborough mirror,['Toronto'],2019
264,656,387.0,2013,17312.0,17312.0,0.0,0.0,postmedia network inc.,17000.0,1.34,129.0,388.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2013
265,657,387.0,2014,,,0.0,0.0,postmedia network inc.,17312.0,1.34,129.0,388.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2014
266,658,387.0,2015,,,0.0,0.0,postmedia network inc.,17312.0,1.41,136.0,408.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2015
267,659,387.0,2016,,,0.0,0.0,postmedia network inc.,17312.0,1.41,,408.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2016
268,660,387.0,2017,17362.0,17362.0,0.0,0.0,postmedia network inc.,17312.0,1.48,,428.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2017
269,661,387.0,2018,18808.0,18808.0,0.0,0.0,postmedia network inc.,17362.0,1.62,,428.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2018
270,662,387.0,2019,,,0.0,0.0,postmedia network inc.,17362.0,1.62,,428.0,tecumseh st. clair beach windsor shoreline week,tecumseh shoreline week,shoreline week,"['Tecumseh', 'Windsor']",2019
271,684,391.0,2013,11726.0,11726.0,0.0,0.0,metroland media group ltd.,11010.0,0.97,335.0,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2013
272,685,391.0,2014,12352.0,12352.0,0.0,0.0,metroland media group ltd.,11726.0,0.68,1160.0,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2014
273,686,391.0,2015,12186.0,12186.0,0.0,0.0,metroland media group ltd.,12215.0,0.79,1160.0,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2015
274,687,391.0,2016,11887.0,11887.0,0.0,0.0,metroland media group ltd.,12186.0,0.79,,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2016
275,688,391.0,2017,11515.0,11515.0,0.0,0.0,metroland media group ltd.,11887.0,0.79,,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2017
276,689,391.0,2018,11463.0,11463.0,0.0,0.0,metroland media group ltd.,11515.0,0.79,,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2018
277,690,391.0,2019,11324.0,11324.0,0.0,0.0,metroland media group ltd.,11484.0,0.79,,1160.0,smiths falls record news,smiths falls record news,smiths falls record news,['Smiths Falls'],2019
278,691,454.0,2013,9881.0,9881.0,0.0,0.0,jim heyens and sheila mcbrayne,10800.0,1.06,294.0,529.0,leamington southpoint sun,leamington southpoint sun,southpoint sun,['Leamington'],2013
279,692,454.0,2014,10384.0,10384.0,0.0,0.0,jim heyens and sheila mcbrayne,9881.0,1.12,294.0,529.0,leamington southpoint sun,leamington southpoint sun,southpoint sun,['Leamington'],2014
280,693,454.0,2015,10620.0,10620.0,0.0,0.0,jim heyens and sheila mcbrayne,10384.0,1.12,294.0,529.0,leamington southpoint sun,leamington southpoint sun,southpoint sun,['Leamington'],2015
281,694,454.0,2016,10659.0,10659.0,0.0,0.0,jim heyens and sheila mcbrayne,10620.0,1.14,,529.0,leamington southpoint sun,leamington southpoint sun,southpoint sun,['Leamington'],2016
282,695,454.0,2017,,,0.0,0.0,southpoint publishing inc.,10659.0,1.18,,529.0,leamington southpoint sun,leamington southpoint sun,southpoint sun,['Leamington'],2017
349,931,454.0,2018,,,,,,,,,,,,,,2018
283,696,454.0,2019,12672.0,12672.0,0.0,0.0,southpoint publishing inc.,16300.0,1.53,,529.0,leamington wheatley southpoint sun,leamington wheatley kingsville southpoint sun,southpoint sun,"['Leamington', 'Chatham-Kent']",2019
284,701,466.0,2015,4928.0,4928.0,0.0,0.0,sun media corporation,4175.0,0.65,127.0,382.0,paris star,paris star,star,['Brant'],2015
285,702,466.0,2016,4885.0,4885.0,0.0,0.0,sun media corporation,4900.0,0.65,,382.0,paris star,paris star,star,['Brant'],2016
286,703,466.0,2017,4910.0,4910.0,0.0,0.0,postmedia network inc.,4885.0,0.65,,382.0,paris star,paris star,star,['Brant'],2017
287,704,466.0,2018,4894.0,4894.0,0.0,0.0,postmedia network inc.,4910.0,0.67,,394.0,paris star,paris star,star,['Brant'],2018
288,705,466.0,2019,,,0.0,0.0,postmedia network inc.,4910.0,0.67,,394.0,paris star,paris star,star,['Brant'],2019
289,706,470.0,2013,29928.0,29928.0,0.0,0.0,metroland media group ltd.,29900.0,2.5,335.0,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2013
290,707,470.0,2014,30571.0,30571.0,0.0,0.0,metroland media group ltd.,29928.0,2.73,1160.0,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2014
291,708,470.0,2015,30041.0,30041.0,0.0,0.0,metroland media group ltd.,30604.0,2.73,1160.0,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2015
292,709,470.0,2016,29932.0,29932.0,0.0,0.0,metroland media group ltd.,29930.0,2.73,,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2016
293,710,470.0,2017,29928.0,29928.0,0.0,0.0,metroland media group ltd.,29932.0,2.73,,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2017
294,711,470.0,2018,28929.0,28929.0,0.0,0.0,metroland media group ltd.,29931.0,2.73,,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2018
295,712,470.0,2019,29875.0,29875.0,0.0,0.0,metroland media group ltd.,29943.0,2.73,,1160.0,stoney creek news,stoney creek news,stoney creek news,['Hamilton'],2019
296,740,495.0,2013,10819.0,10819.0,0.0,1.0,metroland media group ltd.,11500.0,2.16,335.0,1160.0,collingwood wasaga the connection,collingwood connection,the connection,"['Collingwood', 'Wasaga Beach']",2013
297,741,495.0,2014,11098.0,11098.0,0.0,1.0,metroland media group ltd.,10819.0,2.35,1160.0,1160.0,collingwood wasaga the connection,collingwood connection,the connection,"['Collingwood', 'Wasaga Beach']",2014
350,932,495.0,2015,,,,,,,,,,,,,,2015
351,933,495.0,2016,,,,,,,,,,,,,,2016
352,934,495.0,2017,,,,,,,,,,,,,,2017
353,935,495.0,2018,,,,,,,,,,,,,,2018
298,742,495.0,2019,11565.0,11565.0,0.0,1.0,metroland media group ltd.,11586.0,2.35,,1160.0,collingwood wasaga the connection,collingwood connection,the connection,"['Collingwood', 'Wasaga Beach']",2019
299,773,510.0,2013,81467.0,81467.0,0.0,0.0,metroland media group ltd.,83140.0,5.44,335.0,1160.0,richmond hill thornhill the liberal,richmond hill thornhill liberal,the liberal,"['Vaughan', 'Richmond Hill']",2013
300,774,510.0,2014,83416.0,83416.0,0.0,0.0,metroland media group ltd.,81654.0,5.94,1160.0,1160.0,richmond hill thornhill the liberal,richmond hill thornhill liberal,the liberal,"['Vaughan', 'Richmond Hill']",2014
301,775,510.0,2015,83938.0,83938.0,0.0,0.0,metroland media group ltd.,83416.0,5.94,1160.0,1160.0,richmond hill thornhill the liberal,richmond hill thornhill liberal,the liberal,"['Vaughan', 'Richmond Hill']",2015
354,936,510.0,2016,,,,,,,,,,,,,,2016
355,937,510.0,2017,,,,,,,,,,,,,,2017
302,776,510.0,2018,32726.0,32726.0,0.0,0.0,metroland media group ltd.,84047.0,5.94,,1160.0,richmond hill thornhill the liberal,richmond hill thornhill liberal,the liberal,"['Vaughan', 'Richmond Hill']",2018
303,777,510.0,2019,84406.0,84406.0,0.0,0.0,metroland media group ltd.,84542.0,5.94,,1160.0,richmond hill thornhill the liberal,richmond hill thornhill liberal,the liberal,"['Vaughan', 'Richmond Hill']",2019
305,793,525.0,2015,13150.0,13150.0,0.0,0.0,metroland media group ltd.,12256.0,2.35,1160.0,1160.0,wasaga stayner the sun,wasaga stayner sun,the sun,"['Clearview', 'Wasaga Beach']",2015
306,794,525.0,2016,12507.0,12507.0,0.0,0.0,metroland media group ltd.,12507.0,2.35,,1160.0,wasaga stayner the sun,wasaga stayner sun,the sun,"['Clearview', 'Wasaga Beach']",2016
307,795,525.0,2017,13051.0,13051.0,0.0,0.0,metroland media group ltd.,12507.0,2.35,,1160.0,wasaga stayner the sun,wasaga stayner sun,the sun,"['Clearview', 'Wasaga Beach']",2017
308,796,525.0,2018,13019.0,13019.0,0.0,0.0,metroland media group ltd.,13051.0,2.35,,1160.0,wasaga stayner the sun,wasaga stayner sun,the sun,"['Clearview', 'Wasaga Beach']",2018
309,797,525.0,2019,13332.0,13332.0,0.0,0.0,metroland media group ltd.,13239.0,2.35,,1160.0,wasaga stayner the sun,wasaga stayner sun,the sun,"['Clearview', 'Wasaga Beach']",2019
310,816,546.0,2014,43740.0,43740.0,0.0,0.0,dougall media,43740.0,1.75,184.0,404.0,thunder bay source,thunder bay source,thunder bay source,"['Thunder Bay', 'Unorganized']",2014
