,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
216,"orangeville ,ON, Canada",-80.0973754,43.9193171,3522014,Orangeville,T,35,ON,3522,Dufferin,CTY,3522012,Mono,3540,Kitchener--Waterloo--Barrie,535,1,535.0,35535.0,Toronto,B,3522014.0,35.0,ON,22.0,Dufferin,14.0,Orangeville,28900.0,27975.0,3.3,10696.0,10565.0,1851.9,15.61,38.7,22880.0,4190.0,7730.0,10960.0,325.0,3485.0,22875.0,22070.0,37940.0,28350.0,24775.0,3505.0
217,"orillia ,ON, Canada",-79.4169256,44.6066135,3543052,Orillia,CY,35,ON,3543,Simcoe,CTY,3543015,Severn,3540,Kitchener--Waterloo--Barrie,569,3,569.0,35569.0,Orillia,D,3543052.0,35.0,ON,43.0,Simcoe,52.0,Orillia,31166.0,30586.0,1.9,14287.0,13477.0,1090.3,28.58,45.1,25565.0,5710.0,7885.0,11970.0,370.0,3845.0,25565.0,24710.0,29620.0,29955.0,27180.0,2725.0
218,"orleans ,ON, Canada",-75.52745676,45.40683715,3506008,Ottawa,CV,35,ON,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3506008.0,35.0,ON,6.0,Ottawa,8.0,Ottawa,934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0
219,"orono ,ON, Canada",-78.616447,43.975028,3518017,Clarington,MU,35,ON,3518,Durham,RM,3518017,Clarington,3530,Toronto,532,1,532.0,35532.0,Oshawa,B,3518017.0,35.0,ON,18.0,Durham,17.0,Clarington,92013.0,84548.0,8.8,33384.0,32838.0,150.5,611.4,38.9,74065.0,12385.0,21735.0,39940.0,1260.0,11395.0,74060.0,70680.0,41820.0,91190.0,79890.0,11045.0
220,"oshawa ,ON, Canada",-78.8635324,43.8975558,3518013,Oshawa,CY,35,ON,3518,Durham,RM,3518013,Oshawa,3530,Toronto,532,1,532.0,35532.0,Oshawa,B,3518013.0,35.0,ON,18.0,Durham,13.0,Oshawa,159458.0,149607.0,6.6,64883.0,62595.0,1094.9,145.64,40.9,131110.0,26395.0,42190.0,62520.0,1910.0,17775.0,131110.0,124950.0,33492.0,157630.0,129685.0,26975.0
221,"paris ,ON, Canada",-80.384281,43.193234,3529005,Brant,CY,35,ON,3529,Brant,CDR,3529005,Brant,3550,Hamilton--Niagara Peninsula,543,1,543.0,35543.0,Brantford,B,3529005.0,35.0,ON,29.0,Brant,5.0,Brant,36707.0,35638.0,3.0,13687.0,13315.0,43.5,843.25,42.3,29575.0,5345.0,8260.0,15975.0,535.0,4860.0,29570.0,28555.0,38751.0,35860.0,32300.0,3525.0
222,"pembroke ,ON, Canada",-77.1115433,45.8209741,3547064,Pembroke,CY,35,ON,3547,Renfrew,CTY,3547075,Laurentian Valley,3515,Kingston--Pembroke,515,3,515.0,35515.0,Pembroke,D,3547064.0,35.0,ON,47.0,Renfrew,64.0,Pembroke,13882.0,14360.0,-3.3,6685.0,6198.0,953.3,14.56,45.6,11090.0,2520.0,3470.0,5105.0,95.0,1375.0,11090.0,10725.0,28945.0,13055.0,12270.0,745.0
223,"perth ,ON, Canada",-81.0164111,43.4935991,3531030,Perth East,TP,35,ON,3531,Perth,CTY,3531030,Perth East,3580,Stratford--Bruce Peninsula,996,4,,,,,3531030.0,35.0,ON,31.0,Perth,30.0,Perth East,12261.0,12011.0,2.1,4080.0,3993.0,17.2,712.14,37.2,9175.0,3350.0,2375.0,3450.0,145.0,695.0,9175.0,8880.0,33253.0,12055.0,11185.0,855.0
224,"petawawa ,ON, Canada",-77.2826645,45.8984286,3547076,Petawawa,T,35,ON,3547,Renfrew,CTY,3547090,Laurentian Hills,3515,Kingston--Pembroke,516,3,516.0,35516.0,Petawawa,D,3547076.0,35.0,ON,47.0,Renfrew,76.0,Petawawa,17187.0,15988.0,7.5,6747.0,6334.0,103.1,166.69,33.0,12520.0,1635.0,4410.0,6475.0,135.0,2020.0,12520.0,12080.0,50371.0,16320.0,15395.0,905.0
225,"peterborough ,ON, Canada",-78.3199496,44.3048009,3515014,Peterborough,CY,35,ON,3515,Peterborough,CTY,3515015,Selwyn,3520,Muskoka--Kawarthas,529,1,529.0,35529.0,Peterborough,B,3515014.0,35.0,ON,15.0,Peterborough,14.0,Peterborough,81032.0,78777.0,2.9,36785.0,34710.0,1261.2,64.25,43.5,66790.0,11300.0,19685.0,35805.0,920.0,13385.0,66775.0,64460.0,30040.0,78530.0,70750.0,7085.0
226,"petrolia ,ON, Canada",-82.149582,42.882002,3538019,Petrolia,T,35,ON,3538,Lambton,CTY,3538016,Enniskillen,3570,Windsor--Sarnia,996,4,,,,,3538019.0,35.0,ON,38.0,Lambton,19.0,Petrolia,5742.0,5528.0,3.9,2323.0,2277.0,452.8,12.68,42.8,4405.0,765.0,1325.0,2315.0,75.0,545.0,4480.0,4310.0,35176.0,5500.0,5210.0,280.0
227,"picton ,ON, Canada",-77.1411741,44.0077067,3513020,Prince Edward County,CY,35,ON,3513,Prince Edward,CDR,3513020,Prince Edward County,3515,Kingston--Pembroke,996,4,,,,,3513020.0,35.0,ON,13.0,Prince Edward,20.0,Prince Edward County,24735.0,25258.0,-2.1,12899.0,10728.0,23.5,1050.49,49.4,21275.0,3545.0,5870.0,11855.0,495.0,3745.0,21275.0,20725.0,32133.0,24100.0,21580.0,2480.0
228,"prince edward ,ON, Canada",-77.246933,44.031827,3513020,Prince Edward County,CY,35,ON,3513,Prince Edward,CDR,3513020,Prince Edward County,3515,Kingston--Pembroke,996,4,,,,,3513020.0,35.0,ON,13.0,Prince Edward,20.0,Prince Edward County,24735.0,25258.0,-2.1,12899.0,10728.0,23.5,1050.49,49.4,21275.0,3545.0,5870.0,11855.0,495.0,3745.0,21275.0,20725.0,32133.0,24100.0,21580.0,2480.0
229,"port dover ,ON, Canada",-80.2005169,42.7845713,3528052,Norfolk County,CY,35,ON,3528,Haldimand-Norfolk,CDR,3528052,Norfolk County,3550,Hamilton--Niagara Peninsula,547,3,547.0,35547.0,Norfolk,D,3528052.0,35.0,ON,28.0,Haldimand-Norfolk,52.0,Norfolk County,64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0
230,"port perry ,ON, Canada",-78.9425076,44.1054151,3518020,Scugog,TP,35,ON,3518,Durham,RM,3518020,Scugog,3530,Toronto,996,4,,,,,3518020.0,35.0,ON,18.0,Durham,20.0,Scugog,21617.0,21569.0,0.2,8697.0,8218.0,45.5,474.71,44.5,18110.0,2935.0,5485.0,9695.0,305.0,3235.0,18115.0,17490.0,39190.0,21250.0,19035.0,2155.0
231,"prescott ,ON, Canada",-75.5191675,44.7184132,3507008,Prescott,T,35,ON,3507,Leeds and Grenville,UC,3507006,Augusta,3510,Ottawa,996,4,,,,,3507008.0,35.0,ON,7.0,Leeds and Grenville,8.0,Prescott,4222.0,4284.0,-1.4,2103.0,2016.0,856.2,4.93,47.1,3500.0,800.0,1150.0,1545.0,40.0,290.0,3500.0,3345.0,27520.0,4100.0,3820.0,280.0
232,"quinte west ,ON, Canada",-77.5666791,44.191211,3512015,Quinte West,CY,35,ON,3512,Hastings,CTY,3512015,Quinte West,3515,Kingston--Pembroke,522,1,522.0,35522.0,Belleville,B,3512015.0,35.0,ON,12.0,Hastings,15.0,Quinte West,43577.0,43086.0,1.1,18646.0,17828.0,88.2,494.02,42.7,35880.0,7615.0,11840.0,16425.0,410.0,3330.0,35900.0,34505.0,32750.0,42865.0,39845.0,2985.0
233,"rainy river ,ON, Canada",-92.6997993,48.8208533,3559090,"Rainy River, Unorganized",NO,35,ON,3559,Rainy River,DIS,3559090,"Rainy River, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3559090.0,35.0,ON,59.0,Rainy River,90.0,"Rainy River, Unorganized",1385.0,1159.0,19.5,2048.0,593.0,0.1,12257.85,49.4,1145.0,220.0,305.0,620.0,40.0,190.0,1185.0,1150.0,41109.0,1300.0,1200.0,70.0
234,"windsor ,ON, Canada",-83.0373389,42.3167397,3537039,Windsor,CY,35,ON,3537,Essex,CTY,3537039,Windsor,3570,Windsor--Sarnia,559,1,559.0,35559.0,Windsor,B,3537039.0,35.0,ON,37.0,Essex,39.0,Windsor,217188.0,210891.0,3.0,97777.0,91632.0,1483.8,146.38,41.2,178585.0,33830.0,57110.0,87645.0,3370.0,37355.0,178620.0,169325.0,28862.0,213980.0,150605.0,59485.0
235,"renfrew ,ON, Canada",-77.2793698,45.7300564,3547075,Laurentian Valley,TP,35,ON,3547,Renfrew,CTY,3547075,Laurentian Valley,3515,Kingston--Pembroke,515,3,515.0,35515.0,Pembroke,D,3547075.0,35.0,ON,47.0,Renfrew,75.0,Laurentian Valley,9387.0,9657.0,-2.8,3877.0,3717.0,17.0,551.43,42.5,7870.0,1420.0,2270.0,4175.0,130.0,1075.0,7870.0,7585.0,37593.0,9375.0,9035.0,340.0
236,"westport ,ON, Canada",-76.397463,44.678462,3507033,Westport,VL,35,ON,3507,Leeds and Grenville,UC,3507040,Rideau Lakes,3510,Ottawa,997,5,,,,,3507033.0,35.0,ON,7.0,Leeds and Grenville,33.0,Westport,590.0,628.0,-6.1,354.0,300.0,350.8,1.68,51.2,500.0,70.0,180.0,250.0,0.0,60.0,525.0,505.0,28843.0,570.0,510.0,60.0
237,"richmond hill ,ON, Canada",-79.4392925,43.8801166,3519038,Richmond Hill,T,35,ON,3519,York,RM,3519048,Newmarket,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519038.0,35.0,ON,19.0,York,38.0,Richmond Hill,195022.0,185541.0,5.1,66465.0,64116.0,1928.8,101.11,40.4,161260.0,20965.0,37720.0,102580.0,5375.0,66005.0,161260.0,152050.0,30038.0,193805.0,79505.0,111225.0
238,"thornhill ,ON, Canada",-79.4245925,43.8161477,3519028,Vaughan,CY,35,ON,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519028.0,35.0,ON,19.0,York,28.0,Vaughan,306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
239,"rockland ,ON, Canada",-75.2915629,45.5485795,3502036,Clarence-Rockland,C,35,ON,3502,Prescott and Russell,UC,3502036,Clarence-Rockland,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3502036.0,35.0,ON,2.0,Prescott and Russell,36.0,Clarence-Rockland,24512.0,23185.0,5.7,9537.0,9329.0,82.3,297.71,40.6,19680.0,3520.0,6240.0,9925.0,320.0,2735.0,19680.0,18945.0,43331.0,24020.0,22795.0,1185.0
240,"russell ,ON, Canada",-75.3583264,45.2573172,3502048,Russell,TP,35,ON,3502,Prescott and Russell,UC,3502048,Russell,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3502048.0,35.0,ON,2.0,Prescott and Russell,48.0,Russell,16520.0,15247.0,8.3,6008.0,5873.0,83.0,199.11,39.0,12955.0,1930.0,3810.0,7215.0,295.0,2615.0,12955.0,12445.0,47966.0,16220.0,15250.0,930.0
241,"welland ,ON, Canada",-79.2484192,42.9922181,3526032,Welland,CY,35,ON,3526,Niagara,RM,3526037,Thorold,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526032.0,35.0,ON,26.0,Niagara,32.0,Welland,52293.0,50631.0,3.3,23323.0,22490.0,645.3,81.04,43.7,43745.0,9145.0,14340.0,20260.0,580.0,5170.0,43745.0,42075.0,29856.0,51500.0,45615.0,5435.0
242,"caledonia ,ON, Canada",-79.4653558,43.6923702,3520005,Toronto,C,35,ON,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3520005.0,35.0,ON,20.0,Toronto,5.0,Toronto,2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
243,"sault ste. marie ,ON, Canada",-84.320068,46.52391,3557061,Sault Ste. Marie,CY,35,ON,3557,Algoma,DIS,3557061,Sault Ste. Marie,3590,Northeast / Nord-est,590,2,590.0,35590.0,Sault Ste. Marie,K,3557061.0,35.0,ON,57.0,Algoma,61.0,Sault Ste. Marie,73368.0,75141.0,-2.4,34485.0,32634.0,328.6,223.24,44.6,61445.0,11680.0,18435.0,31330.0,870.0,10575.0,61445.0,59470.0,33171.0,71880.0,65285.0,6230.0
244,"scarborough ,ON, Canada",-79.2576479,43.7729744,3520005,Toronto,C,35,ON,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3520005.0,35.0,ON,20.0,Toronto,5.0,Toronto,2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
245,"shelburne ,ON, Canada",-80.203431,44.078473,3522021,Shelburne,T,35,ON,3522,Dufferin,CTY,3522019,Melancthon,3540,Kitchener--Waterloo--Barrie,996,4,,,,,3522021.0,35.0,ON,22.0,Dufferin,21.0,Shelburne,8126.0,5846.0,39.0,2825.0,2787.0,1238.1,6.56,37.3,6035.0,1310.0,2065.0,2665.0,80.0,605.0,6035.0,5750.0,35654.0,7875.0,6765.0,1105.0
246,"port elgin ,ON, Canada",-81.3889458,44.4358826,3541045,Saugeen Shores,T,35,ON,3541,Bruce,CTY,3541045,Saugeen Shores,3580,Stratford--Bruce Peninsula,997,5,,,,,3541045.0,35.0,ON,41.0,Bruce,45.0,Saugeen Shores,13715.0,12661.0,8.3,7655.0,6025.0,80.2,171.05,45.7,11460.0,1555.0,2810.0,7095.0,280.0,2300.0,11455.0,11230.0,40042.0,13430.0,11975.0,1440.0
247,"tecumseh ,ON, Canada",-82.8861974,42.3117951,3537048,Tecumseh,T,35,ON,3537,Essex,CTY,3537048,Tecumseh,3570,Windsor--Sarnia,559,1,559.0,35559.0,Windsor,B,3537048.0,35.0,ON,37.0,Essex,48.0,Tecumseh,23229.0,23610.0,-1.6,8987.0,8884.0,245.4,94.64,43.3,19545.0,2610.0,5555.0,11380.0,440.0,4660.0,19515.0,18745.0,42440.0,23070.0,18985.0,4015.0
248,"st. clair beach ,ON, Canada",-82.8588507,42.3202229,3537048,Tecumseh,T,35,ON,3537,Essex,CTY,3537048,Tecumseh,3570,Windsor--Sarnia,559,1,559.0,35559.0,Windsor,B,3537048.0,35.0,ON,37.0,Essex,48.0,Tecumseh,23229.0,23610.0,-1.6,8987.0,8884.0,245.4,94.64,43.3,19545.0,2610.0,5555.0,11380.0,440.0,4660.0,19515.0,18745.0,42440.0,23070.0,18985.0,4015.0
249,"simcoe ,ON, Canada",-79.7038708,44.5014007,3543009,Springwater,TP,35,ON,3543,Simcoe,CTY,3543009,Springwater,3540,Kitchener--Waterloo--Barrie,568,1,568.0,35568.0,Barrie,B,3543009.0,35.0,ON,43.0,Simcoe,9.0,Springwater,19059.0,18223.0,4.6,7234.0,6694.0,35.5,536.28,40.8,15535.0,2300.0,4435.0,8795.0,260.0,3110.0,15535.0,14980.0,40120.0,18950.0,17205.0,1735.0
250,"sioux lookout ,ON, Canada",-92.19624323,50.11345465,3560034,Sioux Lookout,MU,35,ON,3560,Kenora,DIS,3560090,"Kenora, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,,3560034.0,35.0,ON,60.0,Kenora,34.0,Sioux Lookout,5272.0,5037.0,4.7,2257.0,2019.0,13.9,378.12,37.1,4165.0,1020.0,1040.0,2100.0,95.0,670.0,4165.0,4045.0,43173.0,5200.0,4890.0,300.0
251,"smiths falls ,ON, Canada",-76.0212062,44.9013316,3509004,Smiths Falls,T,35,ON,3509,Lanark,CTY,3509001,Montague,3510,Ottawa,997,5,,,,,3509004.0,35.0,ON,9.0,Lanark,4.0,Smiths Falls,8780.0,8978.0,-2.2,4387.0,4066.0,909.1,9.66,44.7,7255.0,1830.0,2275.0,3155.0,90.0,650.0,7230.0,6945.0,27281.0,8590.0,8175.0,415.0
252,"1000 islands ,ON, Canada",-75.8853212,44.4318712,3507021,Leeds and the Thousand Islands,TP,35,ON,3507,Leeds and Grenville,UC,3507021,Leeds and the Thousand Islands,3510,Ottawa,996,4,,,,,3507021.0,35.0,ON,7.0,Leeds and Grenville,21.0,Leeds and the Thousand Islands,9465.0,9277.0,2.0,4903.0,3861.0,15.5,612.45,46.1,8010.0,1215.0,2490.0,4295.0,160.0,1175.0,8005.0,7780.0,35912.0,9335.0,8640.0,685.0
253,"dufferin  ,ON, Canada",-80.1691941,44.0497496,3522008,Amaranth,TP,35,ON,3522,Dufferin,CTY,3522008,Amaranth,3540,Kitchener--Waterloo--Barrie,996,4,,,,,3522008.0,35.0,ON,22.0,Dufferin,8.0,Amaranth,4079.0,3963.0,2.9,1376.0,1335.0,15.4,264.58,40.4,3380.0,675.0,1040.0,1665.0,60.0,450.0,3375.0,3240.0,35418.0,4075.0,3485.0,565.0
254,"georgina ,ON, Canada",-79.34615813,44.34159575,3519070,Georgina,T,35,ON,3519,York,RM,3519070,Georgina,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519070.0,35.0,ON,19.0,York,70.0,Georgina,45418.0,43517.0,4.4,18687.0,16821.0,157.8,287.75,40.7,37275.0,7550.0,12525.0,17195.0,650.0,4395.0,37275.0,35725.0,35140.0,44765.0,38700.0,6010.0
255,"haldimand-norfolk ,ON, Canada",-80.27101841,42.83163935,3528052,Norfolk County,CY,35,ON,3528,Haldimand-Norfolk,CDR,3528052,Norfolk County,3550,Hamilton--Niagara Peninsula,547,3,547.0,35547.0,Norfolk,D,3528052.0,35.0,ON,28.0,Haldimand-Norfolk,52.0,Norfolk County,64044.0,63175.0,1.4,28720.0,26007.0,39.8,1607.55,44.5,52730.0,12725.0,15815.0,24195.0,785.0,5580.0,52730.0,51245.0,32301.0,62430.0,55260.0,6855.0
256,"waterloo ,ON, Canada",-80.5222961,43.4652699,3530016,Waterloo,CY,35,ON,3530,Waterloo,RM,3530013,Kitchener,3540,Kitchener--Waterloo--Barrie,541,1,541.0,35541.0,Kitchener - Cambridge - Waterloo,B,3530016.0,35.0,ON,30.0,Waterloo,16.0,Waterloo,104986.0,98780.0,6.3,46096.0,40381.0,1639.8,64.02,39.0,86985.0,10510.0,23385.0,53090.0,1615.0,33295.0,86985.0,83135.0,35691.0,103390.0,72255.0,26155.0
257,"niagara falls ,ON, Canada",-79.0639039,43.1065603,3526043,Niagara Falls,CY,35,ON,3526,Niagara,RM,3526043,Niagara Falls,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526043.0,35.0,ON,26.0,Niagara,43.0,Niagara Falls,88071.0,82997.0,6.1,37265.0,35773.0,419.9,209.73,43.4,72765.0,14180.0,23925.0,34665.0,1340.0,10700.0,72770.0,70580.0,29275.0,85975.0,67310.0,17845.0
258,"northumberland west ,ON, Canada",-77.5988284,44.0959943,3512015,Quinte West,CY,35,ON,3512,Hastings,CTY,3512015,Quinte West,3515,Kingston--Pembroke,522,1,522.0,35522.0,Belleville,B,3512015.0,35.0,ON,12.0,Hastings,15.0,Quinte West,43577.0,43086.0,1.1,18646.0,17828.0,88.2,494.02,42.7,35880.0,7615.0,11840.0,16425.0,410.0,3330.0,35900.0,34505.0,32750.0,42865.0,39845.0,2985.0
259,"south simcoe ,ON, Canada",-80.1812131,44.8944812,3543069,Christian Island 30,IRI,35,ON,3543,Simcoe,CTY,3543068,Tiny,3540,Kitchener--Waterloo--Barrie,997,5,,,,,3543069.0,35.0,ON,43.0,Simcoe,69.0,Christian Island 30,614.0,1249.0,-50.8,457.0,217.0,11.7,52.38,34.0,465.0,95.0,85.0,275.0,30.0,15.0,465.0,435.0,15616.0,0.0,0.0,0.0
260,"st. catharines ,ON, Canada",-79.2441003,43.1579812,3526053,St. Catharines,CY,35,ON,3526,Niagara,RM,3526053,St. Catharines,3550,Hamilton--Niagara Peninsula,539,1,539.0,35539.0,St. Catharines - Niagara,B,3526053.0,35.0,ON,26.0,Niagara,53.0,St. Catharines,133113.0,131400.0,1.3,59879.0,56873.0,1384.8,96.13,43.7,111060.0,20160.0,34445.0,56455.0,1740.0,20990.0,111055.0,107290.0,30110.0,129845.0,102935.0,24545.0
261,"st. lawrence ,ON, Canada",-79.3714278,43.649422,3520005,Toronto,C,35,ON,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3520005.0,35.0,ON,20.0,Toronto,5.0,Toronto,2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
262,"stouffville ,ON, Canada",-79.2454446,43.9717581,3519044,Whitchurch-Stouffville,T,35,ON,3519,York,RM,3519044,Whitchurch-Stouffville,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519044.0,35.0,ON,19.0,York,44.0,Whitchurch-Stouffville,45837.0,37628.0,21.8,15712.0,15355.0,222.3,206.22,39.6,36040.0,5265.0,10130.0,20640.0,945.0,10540.0,36040.0,34610.0,40915.0,45345.0,30315.0,14740.0
263,"uxbridge ,ON, Canada",-79.1226768,44.1088502,3518029,Uxbridge,TP,35,ON,3518,Durham,RM,3518029,Uxbridge,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3518029.0,35.0,ON,18.0,Durham,29.0,Uxbridge,21176.0,20623.0,2.7,7946.0,7663.0,50.3,420.95,42.7,17655.0,2520.0,5305.0,9840.0,390.0,3990.0,17655.0,17000.0,39625.0,20975.0,18280.0,2660.0
264,"vaughan ,ON, Canada",-79.5268023,43.7941544,3519028,Vaughan,CY,35,ON,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519028.0,35.0,ON,19.0,York,28.0,Vaughan,306233.0,288301.0,6.2,96657.0,94253.0,1119.4,273.56,39.2,246655.0,43720.0,61895.0,141050.0,7015.0,79310.0,246655.0,234815.0,35540.0,304145.0,159300.0,140960.0
265,"whitby ,ON, Canada",-78.9421751,43.87982,3518009,Whitby,T,35,ON,3518,Durham,RM,3518009,Whitby,3530,Toronto,532,1,532.0,35532.0,Oshawa,B,3518009.0,35.0,ON,18.0,Durham,9.0,Whitby,128377.0,122022.0,5.2,44195.0,43529.0,875.4,146.66,38.4,101285.0,13870.0,28780.0,58640.0,2015.0,25530.0,101285.0,96110.0,42242.0,126780.0,96505.0,29550.0
266,"st. thomas ,ON, Canada",-81.1929882,42.779022,3534021,St. Thomas,CY,35,ON,3534,Elgin,CTY,3534020,Central Elgin,3560,London,555,1,555.0,35555.0,London,B,3534021.0,35.0,ON,34.0,Elgin,21.0,St. Thomas,38909.0,37905.0,2.6,17114.0,16586.0,1092.1,35.63,42.0,31330.0,6670.0,9835.0,14825.0,350.0,3230.0,31330.0,30070.0,32402.0,38130.0,34490.0,3550.0
267,"elgin ,ON, Canada",-81.3660384,42.7269522,3534024,Southwold,TP,35,ON,3534,Elgin,CTY,3534024,Southwold,3560,London,555,1,555.0,35555.0,London,B,3534024.0,35.0,ON,34.0,Elgin,24.0,Southwold,4421.0,4494.0,-1.6,1655.0,1607.0,14.7,301.74,42.4,3560.0,600.0,985.0,1980.0,65.0,440.0,3560.0,3450.0,38214.0,4330.0,4025.0,305.0
268,"stayner ,ON, Canada",-80.0904451,44.4194642,3543005,Clearview,TP,35,ON,3543,Simcoe,CTY,3543005,Clearview,3540,Kitchener--Waterloo--Barrie,996,4,,,,,3543005.0,35.0,ON,43.0,Simcoe,5.0,Clearview,14151.0,13734.0,3.0,6040.0,5335.0,25.4,557.1,42.6,11620.0,2300.0,3510.0,5805.0,240.0,1775.0,11625.0,11215.0,34179.0,13905.0,12920.0,975.0
269,"northeast ,ON, Canada",-81.40476769,46.2897445,3553005,Greater Sudbury / Grand Sudbury,CV,35,ON,3553,Greater Sudbury / Grand Sudbury,CDR,3553005,Greater Sudbury / Grand Sudbury,3590,Northeast / Nord-est,580,1,580.0,35580.0,Greater Sudbury / Grand Sudbury,B,3553005.0,35.0,ON,53.0,Greater Sudbury / Grand Sudbury,5.0,Greater Sudbury / Grand Sudbury,161531.0,160274.0,0.8,75029.0,69152.0,50.0,3228.35,42.2,133640.0,26555.0,34955.0,72130.0,1585.0,22720.0,133645.0,128980.0,37896.0,158665.0,148665.0,9295.0
270,"stittsville ,ON, Canada",-75.91290007,45.2700872,3506008,Ottawa,CV,35,ON,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3506008.0,35.0,ON,6.0,Ottawa,8.0,Ottawa,934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0
