,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population, 2011","Population and dwelling counts / Population percentage change, 2011 to 2016",Population and dwelling counts / Total private dwellings,Population and dwelling counts / Private dwellings occupied by usual residents,Population and dwelling counts / Population density per square kilometre,Population and dwelling counts / Land area in square kilometres,Age & Sex / Both sexes / Average age of the population ; Both sexes,"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / No certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Secondary (high) school diploma or equivalency certificate","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate or diploma below bachelor level","Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Non-immigrants,Immigration / Total Sex / Total / Immigrant status and period of immigration for the population in private households / 25% sample data / Immigrants
141,"ingersoll ,ON, Canada",-80.88211,43.037725,3532018,Ingersoll,T,35,ON,3532,Oxford,CTY,3532012,South-West Oxford,3560,London,533,3,533.0,35533.0,Ingersoll,D,3532018.0,35.0,ON,32.0,Oxford,18.0,Ingersoll,12757.0,12146.0,5.0,5192.0,5088.0,1000.7,12.75,40.3,10245.0,2220.0,3310.0,4715.0,90.0,1090.0,10245.0,9875.0,37124.0,12575.0,11775.0,800.0
142,"innisfil ,ON, Canada",-79.5461073,44.3150892,3543017,Innisfil,T,35,ON,3543,Simcoe,CTY,3543017,Innisfil,3540,Kitchener--Waterloo--Barrie,568,1,568.0,35568.0,Barrie,B,3543017.0,35.0,ON,43.0,Simcoe,17.0,Innisfil,36566.0,32727.0,11.7,14875.0,13364.0,139.2,262.71,40.7,30115.0,6240.0,9660.0,14210.0,475.0,3485.0,30115.0,28890.0,35060.0,36440.0,30665.0,5745.0
143,"hornepayne ,ON, Canada",-84.7752864,49.2181387,3557096,Hornepayne,TP,35,ON,3557,Algoma,DIS,3557095,"Algoma, Unorganized, North Part",3590,Northeast / Nord-est,998,6,,,,,3557096.0,35.0,ON,57.0,Algoma,96.0,Hornepayne,980.0,1050.0,-6.7,514.0,408.0,4.8,204.07,40.5,800.0,255.0,275.0,270.0,15.0,40.0,810.0,775.0,49920.0,965.0,945.0,10.0
144,"wheatley ,ON, Canada",-82.4630203,42.0950707,3536020,Chatham-Kent,MU,35,ON,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556.0,35556.0,Chatham-Kent,D,3536020.0,35.0,ON,36.0,Chatham-Kent,20.0,Chatham-Kent,101647.0,103671.0,-2.0,46103.0,43026.0,41.4,2457.9,43.4,82760.0,19870.0,24930.0,37955.0,1040.0,9385.0,82760.0,80280.0,30923.0,99385.0,90410.0,8620.0
145,"kanata ,ON, Canada",-75.8940505,45.3128048,3506008,Ottawa,CV,35,ON,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3506008.0,35.0,ON,6.0,Ottawa,8.0,Ottawa,934243.0,883391.0,5.8,395985.0,373756.0,334.8,2790.3,40.1,761420.0,93230.0,183110.0,485080.0,14950.0,286700.0,761420.0,728275.0,41857.0,916855.0,685260.0,216505.0
146,"kemptville ,ON, Canada",-75.644567,45.0154164,3507065,North Grenville,MU,35,ON,3507,Leeds and Grenville,UC,3507065,North Grenville,3510,Ottawa,505,1,505.0,35505.0,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,3507065.0,35.0,ON,7.0,Leeds and Grenville,65.0,North Grenville,16451.0,15085.0,9.1,6658.0,6439.0,46.7,352.18,42.6,13570.0,1920.0,3745.0,7900.0,315.0,2715.0,13565.0,13000.0,43092.0,16245.0,15130.0,1090.0
147,"kenora ,ON, Canada",-89.1618188,54.0245941,3560090,"Kenora, Unorganized",NO,35,ON,3560,Kenora,DIS,3560090,"Kenora, Unorganized",3595,Northwest / Nord-ouest,997,5,,,,,3560090.0,35.0,ON,60.0,Kenora,90.0,"Kenora, Unorganized",6737.0,7031.0,-4.2,6630.0,2824.0,0.0,400813.46,46.8,5725.0,1175.0,1490.0,3060.0,115.0,790.0,5720.0,5575.0,38843.0,6600.0,6220.0,345.0
148,"kincardine ,ON, Canada",-81.6348713,44.1776378,3541024,Kincardine,MU,35,ON,3541,Bruce,CTY,3541024,Kincardine,3580,Stratford--Bruce Peninsula,998,6,,,,,3541024.0,35.0,ON,41.0,Bruce,24.0,Kincardine,11389.0,11174.0,1.9,5883.0,4855.0,21.2,537.94,44.0,9320.0,1475.0,2330.0,5520.0,160.0,1705.0,9325.0,9060.0,39424.0,11165.0,9835.0,1310.0
149,"king township ,ON, Canada",-79.51742858,43.93160955,3519049,King,TP,35,ON,3519,York,RM,3519049,King,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3519049.0,35.0,ON,19.0,York,49.0,King,24512.0,19899.0,23.2,8736.0,8144.0,73.6,333.25,40.4,19930.0,3005.0,5330.0,11595.0,415.0,5825.0,19930.0,19110.0,43274.0,24365.0,18225.0,5985.0
150,"king ,ON, Canada",-79.3777538,43.6489494,3520005,Toronto,C,35,ON,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535.0,35535.0,Toronto,B,3520005.0,35.0,ON,20.0,Toronto,5.0,Toronto,2731571.0,2615060.0,4.5,1179057.0,1112929.0,4334.4,630.2,40.6,2294785.0,377340.0,561090.0,1356360.0,65015.0,835255.0,2294790.0,2187030.0,30089.0,2691665.0,1332085.0,1266000.0
