,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2503,"waterdown ,ON, Canada",-79.8956803,43.3314156,3525005,Hamilton,C,35,Ontario,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
2543,"fonthill ,ON, Canada",-79.2859628,43.0307817,3526028,Pelham,T,35,Ontario,3526,Niagara,RM,3526028,Pelham,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
2231,"forest ,ON, Canada",-82.0003357,43.1007795,3538040,Lambton Shores,MU,35,Ontario,3538,Lambton,CTY,3538040,Lambton Shores,3570,Windsor--Sarnia,997,5,,,,
2504,"fort erie ,ON, Canada",-78.918611,42.91308,3526003,Fort Erie,T,35,Ontario,3526,Niagara,RM,3526003,Fort Erie,3550,Hamilton--Niagara Peninsula,539,1,539,35539,St. Catharines - Niagara,B
3357,"fort frances ,ON, Canada",-93.3967615,48.6114425,3559012,Fort Frances,T,35,Ontario,3559,Rainy River,DIS,3559090,"Rainy River, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2182,"frontenac ,ON, Canada",-76.6330415,44.6102902,3510020,South Frontenac,TP,35,Ontario,3510,Frontenac,CTY,3510020,South Frontenac,3515,Kingston--Pembroke,521,1,521,35521,Kingston,B
1814,"gananoque ,ON, Canada",-76.1646638,44.3352722,3507024,Gananoque,T,35,Ontario,3507,Leeds and Grenville,UC,3507021,Leeds and the Thousand Islands,3510,Ottawa,996,4,,,,
2176,"nipigon ,ON, Canada",-88.2610663,49.0155918,3558044,Nipigon,TP,35,Ontario,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,997,5,,,,
2175,"red rock ,ON, Canada",-88.2592117,48.9425393,3558041,Red Rock,TP,35,Ontario,3558,Thunder Bay,DIS,3558090,"Thunder Bay, Unorganized",3595,Northwest / Nord-ouest,997,5,,,,
2661,"norwich ,ON, Canada",-80.59756,42.987699,3532002,Norwich,TP,35,Ontario,3532,Oxford,CTY,3532002,Norwich,3560,London,996,4,,,,
