,Address,Longitude,Latitude,CSDUID,CSDNAME,CSDTYPE,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE
2633,"london ,ON, Canada",-81.243372,42.9832406,3539036,London,CY,35,Ontario,3539,Middlesex,CTY,3539036,London,3560,London,555,1,555,35555,London,B
2223,"sarnia ,ON, Canada",-82.4065585,42.9746137,3538030,Sarnia,CY,35,Ontario,3538,Lambton,CTY,3538030,Sarnia,3570,Windsor--Sarnia,562,2,562,35562,Sarnia,K
2699,"woodstock ,ON, Canada",-80.7562977,43.1301111,3532042,Woodstock,CY,35,Ontario,3532,Oxford,CTY,3532045,Blandford-Blenheim,3560,London,544,3,544,35544,Woodstock,D
2651,"flesherton ,ON, Canada",-80.5457496,44.2610602,3542015,Grey Highlands,MU,35,Ontario,3542,Grey,CTY,3542015,Grey Highlands,3580,Stratford--Bruce Peninsula,997,5,,,,
2315,"woodbridge ,ON, Canada",-79.5923855,43.7848982,3519028,Vaughan,CY,35,Ontario,3519,York,RM,3519028,Vaughan,3530,Toronto,535,1,535,35535,Toronto,B
2686,"mitchell ,ON, Canada",-81.197899,43.467942,3531025,West Perth,MU,35,Ontario,3531,Perth,CTY,3531025,West Perth,3580,Stratford--Bruce Peninsula,997,5,,,,
2627,"strathroy ,ON, Canada",-81.59100834,42.966146,3539015,Strathroy-Caradoc,MU,35,Ontario,3539,Middlesex,CTY,3539015,Strathroy-Caradoc,3560,London,555,1,555,35555,London,B
2631,"middlesex ,ON, Canada",-80.9305313,42.9791385,3539027,Thames Centre,MU,35,Ontario,3539,Middlesex,CTY,3539027,Thames Centre,3560,London,555,1,555,35555,London,B
2393,"alliston ,ON, Canada",-79.8692321,44.1539369,3543007,New Tecumseth,T,35,Ontario,3543,Simcoe,CTY,3543007,New Tecumseth,3540,Kitchener--Waterloo--Barrie,535,1,535,35535,Toronto,B
2475,"burks falls ,ON, Canada",-79.4118686,45.619853,3549022,Burk's Falls,VL,35,Ontario,3549,Parry Sound,DIS,3549019,Armour,3590,Northeast / Nord-est,997,5,,,,
2404,"amherstburg ,ON, Canada",-83.1086458,42.1013315,3537028,Amherstburg,T,35,Ontario,3537,Essex,CTY,3537028,Amherstburg,3570,Windsor--Sarnia,559,1,559,35559,Windsor,B
2503,"ancaster ,ON, Canada",-79.976692,43.225693,3525005,Hamilton,C,35,Ontario,3525,Hamilton,CDR,3525005,Hamilton,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
1829,"toronto ,ON, Canada",-79.3839347,43.6534817,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2342,"arnprior ,ON, Canada",-76.3543692,45.433515,3547002,Arnprior,T,35,Ontario,3547,Renfrew,CTY,3547003,McNab/Braeside,3515,Kingston--Pembroke,507,3,507,35507,Arnprior,D
2535,"arthur ,ON, Canada",-80.5355526,43.8309446,3523050,Wellington North,TP,35,Ontario,3523,Wellington,CTY,3523050,Wellington North,3540,Kitchener--Waterloo--Barrie,997,5,,,,
2917,"atikokan ,ON, Canada",-91.624603,48.762526,3559001,Atikokan,T,35,Ontario,3559,Rainy River,DIS,3559090,"Rainy River, Unorganized",3595,Northwest / Nord-ouest,998,6,,,,
2022,"aurora ,ON, Canada",-79.467545,43.99973,3519046,Aurora,T,35,Ontario,3519,York,RM,3519048,Newmarket,3530,Toronto,535,1,535,35535,Toronto,B
2703,"aylmer ,ON, Canada",-80.983658,42.773227,3534011,Aylmer,T,35,Ontario,3534,Elgin,CTY,3534010,Malahide,3560,London,996,4,,,,
2530,"ayr ,ON, Canada",-80.4507012,43.2855122,3530004,North Dumfries,TP,35,Ontario,3530,Waterloo,RM,3530004,North Dumfries,3540,Kitchener--Waterloo--Barrie,541,1,541,35541,Kitchener - Cambridge - Waterloo,B
2198,"bancroft ,ON, Canada",-77.8537127,45.0570769,3512061,Bancroft,T,35,Ontario,3512,Hastings,CTY,3512061,Bancroft,3515,Kingston--Pembroke,997,5,,,,
2140,"barrhaven ,ON, Canada",-75.759707,45.280172,3506008,Ottawa,CV,35,Ontario,3506,Ottawa,CDR,3506008,Ottawa,3510,Ottawa,505,1,505,35505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B
2405,"barrie ,ON, Canada",-79.6901736,44.3893113,3543042,Barrie,CY,35,Ontario,3543,Simcoe,CTY,3543009,Springwater,3540,Kitchener--Waterloo--Barrie,568,1,568,35568,Barrie,B
2347,"barry's bay ,ON, Canada",-77.679176,45.488298,3547030,Madawaska Valley,TP,35,Ontario,3547,Renfrew,CTY,3547030,Madawaska Valley,3515,Kingston--Pembroke,997,5,,,,
1829,"east york ,ON, Canada",-79.33251996,43.699971,3520005,Toronto,C,35,Ontario,3520,Toronto,CDR,3520005,Toronto,3530,Toronto,535,1,535,35535,Toronto,B
2481,"parry sound ,ON, Canada",-80.1055284,45.6675279,3549039,Whitestone,MU,35,Ontario,3549,Parry Sound,DIS,3549039,Whitestone,3590,Northeast / Nord-est,997,5,,,,
2499,"oakville ,ON, Canada",-79.666672,43.447436,3524001,Oakville,T,35,Ontario,3524,Halton,RM,3524001,Oakville,3530,Toronto,535,1,535,35535,Toronto,B
2049,"belleville ,ON, Canada",-77.3852556,44.1633264,3512005,Belleville,CY,35,Ontario,3512,Hastings,CTY,3512005,Belleville,3515,Kingston--Pembroke,522,1,522,35522,Belleville,B
2049,"quinte ,ON, Canada",-77.3403039,44.1884744,3512005,Belleville,CY,35,Ontario,3512,Hastings,CTY,3512005,Belleville,3515,Kingston--Pembroke,522,1,522,35522,Belleville,B
2535,"mount forest ,ON, Canada",-80.7338237,43.9806979,3523050,Wellington North,TP,35,Ontario,3523,Wellington,CTY,3523050,Wellington North,3540,Kitchener--Waterloo--Barrie,997,5,,,,
2708,"blenheim ,ON, Canada",-81.9974055,42.3354182,3536020,Chatham-Kent,MU,35,Ontario,3536,Chatham-Kent,CDR,3536020,Chatham-Kent,3570,Windsor--Sarnia,556,3,556,35556,Chatham-Kent,D
2531,"blue mountains ,ON, Canada",-80.3417924,44.4992906,3542045,The Blue Mountains,T,35,Ontario,3542,Grey,CTY,3542045,The Blue Mountains,3580,Stratford--Bruce Peninsula,996,4,,,,
2545,"blyth ,ON, Canada",-81.4294024,43.7365991,3540055,North Huron,TP,35,Ontario,3540,Huron,CTY,3540055,North Huron,3580,Stratford--Bruce Peninsula,998,6,,,,
2649,"brussels ,ON, Canada",-81.2506263,43.7433558,3540040,Huron East,MU,35,Ontario,3540,Huron,CTY,3540040,Huron East,3580,Stratford--Bruce Peninsula,997,5,,,,
1373,"bracebridge ,ON, Canada",-79.310989,45.041508,3544018,Bracebridge,T,35,Ontario,3544,Muskoka,DM,3544018,Bracebridge,3520,Muskoka--Kawarthas,997,5,,,,
2672,"bradford ,ON, Canada",-79.5560133,44.1171265,3543014,Bradford West Gwillimbury,T,35,Ontario,3543,Simcoe,CTY,3543014,Bradford West Gwillimbury,3540,Kitchener--Waterloo--Barrie,535,1,535,35535,Toronto,B
2672,"bradford west gwillimbury ,ON, Canada",-79.5647069,44.1143279,3543014,Bradford West Gwillimbury,T,35,Ontario,3543,Simcoe,CTY,3543014,Bradford West Gwillimbury,3540,Kitchener--Waterloo--Barrie,535,1,535,35535,Toronto,B
1831,"brampton ,ON, Canada",-79.7599366,43.685832,3521010,Brampton,CY,35,Ontario,3521,Peel,RM,3521010,Brampton,3530,Toronto,535,1,535,35535,Toronto,B
2549,"brantford ,ON, Canada",-80.2631733,43.1408157,3529006,Brantford,CY,35,Ontario,3529,Brant,CDR,3529005,Brant,3550,Hamilton--Niagara Peninsula,543,1,543,35543,Brantford,B
2216,"brighton ,ON, Canada",-77.7370071,44.0422275,3514004,Brighton,MU,35,Ontario,3514,Northumberland,CTY,3514004,Brighton,3520,Muskoka--Kawarthas,996,4,,,,
2220,"warkworth ,ON, Canada",-77.8868553,44.2019073,3514045,Trent Hills,MU,35,Ontario,3514,Northumberland,CTY,3514045,Trent Hills,3520,Muskoka--Kawarthas,997,5,,,,
2220,"campbellford ,ON, Canada",-77.798084,44.3085912,3514045,Trent Hills,MU,35,Ontario,3514,Northumberland,CTY,3514045,Trent Hills,3520,Muskoka--Kawarthas,997,5,,,,
2314,"brock ,ON, Canada",-79.10016491,44.34768505,3518039,Brock,TP,35,Ontario,3518,Durham,RM,3518039,Brock,3530,Toronto,996,4,,,,
1811,"brockville ,ON, Canada",-75.6843332,44.5895925,3507015,Brockville,CY,35,Ontario,3507,Leeds and Grenville,UC,3507014,Elizabethtown-Kitley,3510,Ottawa,512,3,512,35512,Brockville,D
2615,"tobermory ,ON, Canada",-81.64304911,45.23469705,3541069,Northern Bruce Peninsula,MU,35,Ontario,3541,Bruce,CTY,3541069,Northern Bruce Peninsula,3580,Stratford--Bruce Peninsula,997,5,,,,
2548,"burford ,ON, Canada",-80.4292701,43.1032142,3529005,Brant,CY,35,Ontario,3529,Brant,CDR,3529005,Brant,3550,Hamilton--Niagara Peninsula,543,1,543,35543,Brantford,B
2500,"burlington ,ON, Canada",-79.7966835,43.3248924,3524002,Burlington,CY,35,Ontario,3524,Halton,RM,3524002,Burlington,3550,Hamilton--Niagara Peninsula,537,1,537,35537,Hamilton,B
1832,"caledon ,ON, Canada",-79.9061037,43.82706015,3521024,Caledon,T,35,Ontario,3521,Peel,RM,3521024,Caledon,3530,Toronto,535,1,535,35535,Toronto,B
2666,"cambridge ,ON, Canada",-80.3123023,43.3600536,3530010,Cambridge,CY,35,Ontario,3530,Waterloo,RM,3530010,Cambridge,3540,Kitchener--Waterloo--Barrie,541,1,541,35541,Kitchener - Cambridge - Waterloo,B
2431,"northwest ,ON, Canada",-81.6294098,45.8946323,3551017,Northeastern Manitoulin and the Islands,MU,35,Ontario,3551,Manitoulin,DIS,3551017,Northeastern Manitoulin and the Islands,3590,Northeast / Nord-est,998,6,,,,
2501,"milton ,ON, Canada",-79.882817,43.513671,3524009,Milton,T,35,Ontario,3524,Halton,RM,3524009,Milton,3530,Toronto,535,1,535,35535,Toronto,B
2149,"kawartha lakes ,ON, Canada",-78.8486034,44.575616,3516010,Kawartha Lakes,CY,35,Ontario,3516,Kawartha Lakes,CDR,3516010,Kawartha Lakes,3520,Muskoka--Kawarthas,530,3,530,35530,Kawartha Lakes,D
2378,"north durham ,ON, Canada",-79.00681681,43.89321,3518005,Ajax,T,35,Ontario,3518,Durham,RM,3518009,Whitby,3530,Toronto,535,1,535,35535,Toronto,B
2195,"almonte ,ON, Canada",-76.1945277,45.226049,3509030,Mississippi Mills,T,35,Ontario,3509,Lanark,CTY,3509030,Mississippi Mills,3510,Ottawa,509,3,509,35509,Carleton Place,D
2194,"carleton place ,ON, Canada",-76.1465672,45.1403366,3509028,Carleton Place,T,35,Ontario,3509,Lanark,CTY,3509024,Beckwith,3510,Ottawa,509,3,509,35509,Carleton Place,D
2105,"stirling ,ON, Canada",-77.5473774,44.2962217,3512020,Stirling-Rawdon,TP,35,Ontario,3512,Hastings,CTY,3512020,Stirling-Rawdon,3515,Kingston--Pembroke,522,1,522,35522,Belleville,B
2669,"cfb borden ,ON, Canada",-79.9123591,44.2716234,3543003,Adjala-Tosorontio,TP,35,Ontario,3543,Simcoe,CTY,3543003,Adjala-Tosorontio,3540,Kitchener--Waterloo--Barrie,996,4,,,,
