AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvID,AdvID2,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner
barrhaven independent,,1.11,,353.0,6.0,168.0,5.0,2018,2016,2,Friday,18,14,,1.11,,353.0,barrhaven independent,both,,,
barrhaven independent,,1.11,,353.0,6.0,168.0,5.0,2019,2016,3,Friday,18,14,,1.11,,353.0,barrhaven independent,both,,,
barrie advance,52243.0,3.41,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Thursday,19,15,52243.0,3.41,335.0,1160.0,barrie advance,both,,,
barrie advance,52221.0,3.72,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Thursday,19,15,52221.0,3.72,1160.0,1160.0,barrie advance,both,,,
barrie advance,52359.0,3.72,1160.0,1160.0,10.0,161.0,10.0,2015,2014,1,Thursday,19,15,52359.0,3.72,1160.0,1160.0,barrie advance,both,,,
barrie advance,52317.0,3.72,,1160.0,10.0,161.0,10.0,2016,2015,1,Thursday,19,15,52317.0,3.72,,1160.0,barrie advance,both,,,
barrie advance,52759.0,3.72,,1160.0,10.0,161.0,10.0,2017,2016,1,Thursday,19,15,52759.0,3.72,,1160.0,barrie advance,both,,,
barrie advance,52277.0,3.72,,1160.0,10.0,161.0,10.0,2018,2017,1,Thursday,19,15,52277.0,3.72,,1160.0,barrie advance,both,,,
barrie advance,51148.0,3.72,,1160.0,10.0,161.0,10.0,2019,2018,1,Thursday,19,15,51148.0,3.72,,1160.0,barrie advance,both,,,
barrie advance,52243.0,3.41,335.0,1160.0,10.0,175.0,10.0,2013,2012,1,Tuesday,20,15,52243.0,3.41,335.0,1160.0,barrie advance,both,,,
barrie advance,52221.0,3.72,1160.0,1160.0,10.0,161.0,10,2014,2013,1,Tuesday,20,15,52221.0,3.72,1160.0,1160.0,barrie advance,both,,,
barrys bay the valley gazette,1174.0,0.73,118.0,176.0,6.0,217.0,5.0,2013,2012,1,Wednesday,22,17,1174.0,0.73,118.0,176.0,barry's bay the valley gazette,both,,,
barrys bay the valley gazette,1308.0,0.73,118.0,176.0,6.0,217.0,5,2014,2013,1,Wednesday,22,17,1308.0,0.73,118.0,176.0,barry's bay the valley gazette,both,,,
barrys bay the valley gazette,1468.5,0.79,176.0,176.0,6.0,217.0,5.0,2015,2013,2,Wednesday,22,17,1468.5,0.79,176.0,176.0,barry's bay the valley gazette,both,,,
barrys bay the valley gazette,1629.0,0.81,,176.0,6.0,217.0,5.0,2016,2015,1,Wednesday,22,17,1629.0,0.81,,176.0,barry's bay the valley gazette,both,,,
barrys bay the valley gazette,1633.5,0.85,,176.0,6.0,217.0,5.0,2017,2015,2,Wednesday,22,17,1633.5,0.85,,176.0,barry's bay the valley gazette,both,,,
barrys bay the valley gazette,1638.0,0.86,,176.0,6.0,217.0,5.0,2018,2017,1,Wednesday,22,17,1638.0,0.86,,176.0,barry's bay the valley gazette,both,,,
barrys bay the valley gazette,1526.0,0.88,,176.0,6.0,217.0,5.0,2019,2018,1,Wednesday,22,17,1526.0,0.88,,176.0,barry's bay the valley gazette,both,,,
barrys bay this week,1291.0,0.8,171.0,235.0,9.0,158.0,3.0,2013,2012,1,Wednesday,23,18,1291.0,0.8,171.0,235.0,barrys bay this week,both,,,
barrys bay this week,,0.8,171.0,235.0,9.0,158.0,3,2014,2012,2,Wednesday,23,18,,0.8,171.0,235.0,barrys bay this week,both,,,
beeton new tecumseth times,2092.0,1.02,158.0,473.0,6.0,210.0,5.0,2013,2012,1,Thursday,24,19,2092.0,1.02,158.0,473.0,beeton new tecumseth times,both,,,
beeton new tecumseth times,1853.0,1.02,88.0,176.0,6.0,210.0,5,2014,2013,1,Thursday,24,19,1853.0,1.02,88.0,176.0,beeton new tecumseth times,both,,,
beeton new tecumseth times,1409.0,1.02,88.0,176.0,6.0,210.0,5.0,2015,2014,1,Thursday,24,19,1409.0,1.02,88.0,176.0,beeton new tecumseth times,both,,,
beeton new tecumseth times,,1.02,,176.0,6.0,210.0,5.0,2016,2014,2,Thursday,24,19,,1.02,,176.0,beeton new tecumseth times,both,,,
beeton new tecumseth times,,1.02,,176.0,6.0,210.0,5.0,2017,2015,2,Thursday,24,19,,1.02,,176.0,beeton new tecumseth times,both,,,
beeton new tecumseth times,,1.02,,176.0,6.0,210.0,5.0,2018,2015,3,Thursday,24,19,,1.02,,176.0,beeton new tecumseth times,both,,,
beeton new tecumseth times,,0.84,,176.0,6.0,210.0,5.0,2019,2016,3,Thursday,24,19,,0.84,,176.0,beeton new tecumseth times,both,,,
belle river lakeshore news,9429.0,0.91,129.0,388.0,6.0,204.0,5.0,2013,2012,1,Thursday,25,20,9429.0,0.91,129.0,388.0,belle river lakeshore news,both,,,
belle river lakeshore news,9407.0,0.91,129.0,388.0,6.0,204.0,5,2014,2012,2,Thursday,25,20,9407.0,0.91,129.0,388.0,belle river lakeshore news,both,,,
belle river lakeshore news,9385.0,0.95,136.0,408.0,6.0,204.0,5.0,2015,2014,1,Thursday,25,20,9385.0,0.95,136.0,408.0,belle river lakeshore news,both,,,
belle river lakeshore news,,0.95,,408.0,6.0,204.0,5.0,2016,2014,2,Thursday,25,20,,0.95,,408.0,belle river lakeshore news,both,,,
belle river lakeshore news,,1.0,,428.0,6.0,204.0,5.0,2017,2015,2,Thursday,25,20,,1.0,,428.0,belle river lakeshore news,both,,,
belle river lakeshore news,,1.09,,428.0,6.0,204.0,5.0,2018,2016,2,Thursday,25,20,,1.09,,428.0,belle river lakeshore news,both,,,
belle river lakeshore news,,1.09,,428.0,6.0,287.0,5.0,2019,2016,3,Thursday,25,20,,1.09,,428.0,belle river lakeshore news,both,,,
belleville news,23146.0,1.47,335.0,1160.0,6.0,218.0,5.0,2013,2012,1,Thursday,26,21,23146.0,1.47,335.0,1160.0,belleville news,both,,,
belleville news,,1.28,1160.0,1160.0,10.0,189.0,10,2014,2012,2,Thursday,26,21,,1.28,1160.0,1160.0,belleville news,both,,,
belleville news,,1.51,1160.0,1160.0,10.0,161.0,10.0,2015,2013,2,Thursday,26,21,,1.51,1160.0,1160.0,belleville news,both,,,
belleville news,,1.51,,1160.0,10.0,161.0,10.0,2016,2014,2,Thursday,26,21,,1.51,,1160.0,belleville news,both,,,
belleville news,,1.51,,1160.0,10.0,161.0,10.0,2017,2015,2,Thursday,26,21,,1.51,,1160.0,belleville news,both,,,
