,AdvNewspaper,AdvCirc,NatlLineRate,SpotColour,ProcessColour,Columns,Lines,MaterialCode,Year,AuditYear,AuditDiff,SplitIssue,AdvCircAllEds,NatlLineRateAllEds,SpotColourAllEds,ProcessColourAllEds,MarketAndNewspaper,_merge1,Removable,ADVCSD,ADVOwner,EDITION,FreeCirculation,Format,Market,Newspaper,Owner,PaidCirculation,Prov,TotalCirculation,Lowner,Address,GPS,StdName2,StdOwner2,double,StdMarket2,RemovableSlash,Swap2017,MarketChange1,Daily,SwapNotInclude,Swap2017Affected,CSDs,first_year,equal_to_previous,FreeCircAllEds,PaidCircAllEds,TotalCircAllEds,EDITION2,_merge2,ID,ID2,EverPaidEDITION,EverFreeEDITION,EverPaid,EverFree,OpCross2017ID,OpCross2017ID2,FreeCirc_Cross17_ID2,PaidCirc_Cross17_ID2,Rate_Cross17_ID2,TotalCirc_Cross17_ID2,OpPost2017,CDs,postmedia,metroland,MetrolandOrPostmedia,Unnamed: 0,GEO UID,Province code,Province name,CD code,CD name,CSD code,CSD name,"Population and dwelling counts / Population, 2016","Population and dwelling counts / Population percentage change, 2011 to 2016",Age & Sex / Both sexes / Average age of the population ; Both sexes,Income / Total Sex / Total / Income statistics in 2015 for the population aged 15 years and over in private households / 100% data / Number of total income recipients aged 15 years and over in private households / 100% data / Median total income in 2015 among recipients ($),"Education / Total Sex / Total / Highest certificate, diploma or degree for the population aged 15 years and over in private households / 25% sample data / Postsecondary certificate, diploma or degree / University certificate, diploma or degree at bachelor level or above",NofID2,MeanMarketRate
2883,stirling northeast emc,11559.0,1.13,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,11559.0,1.13,335.0,1160.0,stirling northeast emc,both,,[nan],,Thursday,11564.0,T,stirling&northeast,stirling northeast emc,metroland media group ltd.,0.0,ON,11564.0,metroland media group ltd.,"['stirling ,ON, Canada', 'northeast ,ON, Canada']","[(44.2962217, -77.5473774), (46.2897445, -81.40476769489881)]",,,,,,0.0,stirling northeast,0.0,0.0,1,Greater Sudbury / Grand Sudbury,2013.0,0.0,11564.0,0.0,11564.0,Thursday,perfect_match,475,366,0,1,0,1,0,0,0,0,0,0,0,"['Hastings', 'Greater Sudbury / Grand Sudbury']",0,1,1,2512,3553005,35,ON,53,Greater Sudbury / Grand Sudbury,5,Greater Sudbury / Grand Sudbury,11.992458544432093,0.5877866649021191,3.765840495250065,10.542627232264719,10.031044885951003,4,1.8
1165,,,,,,,,,2013-01-01,,,,,,,,hamilton niagara kitchener welland le regional,,,[nan],,Wednesday,4164.0,B,hamilton&niagara&kitchener&welland,le regional,altomedia inc.,76.0,ON,4240.0,altomedia inc.,"['hamilton ,ON, Canada', 'niagara ,ON, Canada', 'kitchener ,ON, Canada', 'welland ,ON, Canada']","[(43.2560802, -79.8728583), (43.0631891, -79.3098089), (43.451291, -80.4927815), (42.9922181, -79.2484192)]",le regional,,,,,0.0,hamilton niagara kitchener welland,0.0,0.0,1,Hamilton,2013.0,0.0,4164.0,76.0,4240.0,Wednesday,right_only,181,133,1,1,1,1,1,1,0,0,0,0,1,"['Hamilton', 'Niagara', 'Waterloo', 'Niagara']",0,0,0,2206,3514019,35,ON,14,Northumberland,19,Hamilton,9.300455261418444,1.1631508098056809,3.817712325956905,10.572982204430845,7.255591274253665,9,1.8800000000000001
5,,,,,,,,,2013-01-01,,,,,,,,Innisfil Examiner,,,[nan],,,0.0,,Innisfil,Examiner,postmedia network inc.,0.0,,0.0,,,,,,,,,1.0,,0.0,1.0,1,Innisfil,2013.0,0.0,0.0,0.0,0.0,,right_only,2,2,0,0,0,0,0,0,0,0,0,0,0,['Simcoe'],1,0,1,2389,3543017,35,ON,43,Simcoe,17,Innisfil,10.506901473323946,2.5416019934645457,3.730501128804756,10.464844680601267,8.156510226079966,3,1.385
1436,kingston emc,44717.0,1.41,335.0,1160.0,6.0,218.0,5.0,2013-01-01,2012.0,1.0,Thursday,44717.0,1.41,335.0,1160.0,kingston emc,left_only,,['Kingston'],,Thursday,,,,,,,,,,,,,,,,,0.0,,,,1,Kingston,,,,,,,left_only,225,167,0,0,0,0,0,0,0,0,0,0,0,['Frontenac'],0,0,0,2178,3510010,35,ON,10,Frontenac,10,Kingston,11.726414561655583,0.3364722366212129,3.768152635008444,10.464102840804633,10.251535389774341,3,2.665
1168,,,,,,,,,2013-01-01,,,,,,,,hamilton niagara kitchener welland le regional,,,[nan],,Wednesday,4164.0,B,hamilton&niagara&kitchener&welland,le regional,altomedia inc.,76.0,ON,4240.0,altomedia inc.,"['hamilton ,ON, Canada', 'niagara ,ON, Canada', 'kitchener ,ON, Canada', 'welland ,ON, Canada']","[(43.2560802, -79.8728583), (43.0631891, -79.3098089), (43.451291, -80.4927815), (42.9922181, -79.2484192)]",le regional,,,,,0.0,hamilton niagara kitchener welland,0.0,0.0,1,Kitchener,2013.0,0.0,4164.0,76.0,4240.0,Wednesday,right_only,181,133,1,1,1,1,1,1,0,0,0,0,1,"['Hamilton', 'Niagara', 'Waterloo', 'Niagara']",0,0,0,2290,3530013,35,ON,30,Waterloo,13,Kitchener,12.359750356382381,2.0014800002101243,3.6888794541139363,10.449323113491568,10.647470422798568,4,2.9333333333333336
2556,,,,,,,,,2015-01-01,,,,,,,,snap 1000 islands,,,[nan],,Monthly,7000.0,T,1000%20islands&brockville,snap 1000 islands,snapd inc.,0.0,ON,7000.0,snapd inc.,"['1000 islands ,ON, Canada', 'brockville ,ON, Canada']","[(44.4318712, -75.8853212), (44.5895925, -75.6843332)]",,,,,,0.0,1000 islands brockville,0.0,0.0,1,Leeds and the Thousand Islands,2015.0,0.0,7000.0,0.0,7000.0,Monthly,right_only,415,308,0,1,0,1,1,1,0,0,0,0,1,"['Leeds and Grenville', 'Leeds and Grenville']",0,0,0,2161,3507021,35,ON,7,Leeds and Grenville,21,Leeds and the Thousand Islands,9.155461710466193,1.0986122886681098,3.8522730010223722,10.48885462591948,7.069874128458572,1,
1544,london community news,,2.15,335.0,1160.0,10.0,175.0,10.0,2013-01-01,0.0,2013.0,Thursday,,2.15,335.0,1160.0,london community news,both,,[nan],,Thursday,132000.0,B,london,london community news,metroland media group ltd.,0.0,ON,132000.0,metroland media group ltd.,"['london ,ON, Canada']","[(42.9832406, -81.243372)]",,,,,,0.0,london,0.0,0.0,1,London,2013.0,0.0,132000.0,0.0,132000.0,Thursday,perfect_match,247,183,0,1,0,1,0,0,0,0,0,0,0,['Middlesex'],0,1,1,2350,3539036,35,ON,39,Middlesex,36,London,12.857936787805519,1.7578579175523736,3.7256934272366524,10.392067567354799,11.291979497199506,4,2.545
1663,meaford express,,,,,10.0,161.0,10.0,2013-01-01,2014.0,1.0,Wednesday,,,,,meaford express,both,,[nan],,Wednesday,0.0,B,meaford,meaford express,metroland media group ltd.,1324.0,ON,1324.0,metroland media group ltd.,"['meaford ,ON, Canada']","[(44.6069298, -80.5916531)]",,,,,,1.0,meaford,0.0,0.0,1,Meaford,2013.0,0.0,0.0,1324.0,1324.0,Wednesday,right_only,263,197,1,1,1,1,0,0,0,0,0,0,0,['Grey'],0,1,1,2380,3542047,35,ON,42,Grey,47,Meaford,9.30492301446213,-inf,3.8897773964808264,10.379690675149634,7.421177528595393,1,
1876,niagara advance,7427.0,0.73,88.0,206.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Wednesday,7427.0,0.73,88.0,206.0,niagara advance,both,,[nan],,Thursday,7424.0,T,niagara%20on%20the%20lake,niagara advance,sun media corporation,23.0,ON,7447.0,sun media corporation,"['niagara on the lake ,ON, Canada']","[(43.2556116, -79.0723264)]",niagara advance,,,,,1.0,niagara on the lake,0.0,0.0,1,Niagara-on-the-Lake,2013.0,0.0,7424.0,23.0,7447.0,Thursday,right_imperfect_match,305,224,1,1,1,1,0,0,0,0,0,0,0,['Niagara'],1,0,1,2276,3526047,35,ON,26,Niagara,47,Niagara-on-the-Lake,9.7706416392027,2.6878474937846906,3.92395157629342,10.52430594648344,8.38958706681109,2,0.73
698,delhi news record,542.0,1.07,135.0,400.0,9.0,160.0,3.0,2013-01-01,2012.0,1.0,Wednesday,542.0,1.07,135.0,400.0,delhi newsrecord,both,,[nan],,Wednesday,0.0,T,delhi,newsrecord,sun media corporation,506.0,ON,506.0,sun media corporation,"['delhi ,ON, Canada']","[(42.8544957, -80.4983709)]",newsrecord,,,,,0.0,delhi,0.0,0.0,1,Norfolk County,2013.0,0.0,0.0,506.0,506.0,Wednesday,perfect_match,106,78,1,0,1,0,1,1,0,0,1,0,1,['Haldimand-Norfolk'],1,0,1,2283,3528052,35,ON,28,Haldimand-Norfolk,52,Norfolk County,11.067341240265236,0.8754687373538999,3.817712325956905,10.382884426798459,8.627123250788433,2,0.8600000000000001
